group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6546696424484253,0.6256062984466553,0.6134101152420044,0.6145657300949097,0.6450000405311584
Gender: Male,0,0.6153735518455505,0.5730230212211609,0.566918134689331,0.566585123538971,0.5995851159095764
Gender: Female,0,0.6910855770111084,0.6759225130081177,0.6565707921981812,0.6594594717025757,0.6872586607933044
Age: <40,0,0.6303418874740601,0.6236733794212341,0.6235412359237671,0.6236008405685425,0.6261980533599854
Age: 40-50,0,0.7074829936027527,0.6986697316169739,0.6684132814407349,0.6687092781066895,0.6937984228134155
Age: 50-65,0,0.6203591823577881,0.5611110925674438,0.5483203530311584,0.5458201169967651,0.6293706297874451
Race: White,0,0.6756836175918579,0.6292617321014404,0.6209848523139954,0.6200182437896729,0.6324626803398132
Race: Black,0,0.6739234924316406,0.6007766723632812,0.5827751159667969,0.5876001119613647,0.7109375
Race: Other,0,0.5548163652420044,0.5866013169288635,0.5794602632522583,0.5772358179092407,0.5961538553237915
Overall,1,0.6275304555892944,0.5945521593093872,0.5844364762306213,0.5826484560966492,0.6100000143051147
Gender: Male,1,0.6318321228027344,0.5765342116355896,0.5710023045539856,0.5704748630523682,0.5957446694374084
Gender: Female,1,0.6237945556640625,0.6126688718795776,0.5968688130378723,0.5934585332870483,0.6226415038108826
Age: <40,1,0.6463179588317871,0.6329305171966553,0.6334537863731384,0.632508397102356,0.6328358054161072
Age: 40-50,1,0.6445136070251465,0.6086729168891907,0.5882352590560913,0.5810246467590332,0.6166666746139526
Age: 50-65,1,0.5996572971343994,0.5277324318885803,0.5191404819488525,0.503003716468811,0.5882352590560913
Race: White,1,0.6284340620040894,0.5863901972770691,0.5803571343421936,0.5753941535949707,0.585185170173645
Race: Black,1,0.6639883518218994,0.5718111991882324,0.5656565427780151,0.5678696632385254,0.689393937587738
Race: Other,1,0.5777361392974854,0.5786259770393372,0.5697177648544312,0.5581320524215698,0.5714285373687744
Overall,2,0.6244823932647705,0.5928421020507812,0.5855014324188232,0.5843291282653809,0.6050000190734863
Gender: Male,2,0.621184229850769,0.5816666483879089,0.5788640975952148,0.5792896747589111,0.5979167222976685
Gender: Female,2,0.6295703649520874,0.6068288683891296,0.5935757160186768,0.5889102816581726,0.6115384697914124
