group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6514015197753906,0.6230952739715576,0.6076191067695618,0.6079503893852234,0.6430000066757202
Gender: Male,0,0.6068786382675171,0.5720587968826294,0.5624820590019226,0.5601938962936401,0.6016597747802734
Gender: Female,0,0.6920301914215088,0.6696202754974365,0.6493937969207764,0.651885986328125,0.6814671754837036
Age: <40,0,0.6501479148864746,0.6229740977287292,0.6209730505943298,0.6211868524551392,0.6261980533599854
Age: 40-50,0,0.7025800943374634,0.6851063966751099,0.6492921710014343,0.6468376517295837,0.6782945990562439
Age: 50-65,0,0.6041918992996216,0.5665289759635925,0.5518538951873779,0.5493124723434448,0.634032666683197
Race: White,0,0.6763156652450562,0.6476221680641174,0.6335833072662354,0.631588339805603,0.6473880410194397
Race: Black,0,0.6491228342056274,0.5753787755966187,0.5646730661392212,0.5675583481788635,0.69140625
Race: Other,0,0.5639992952346802,0.5587412714958191,0.5511619448661804,0.5447458028793335,0.572115421295166
Overall,1,0.6268175840377808,0.6002552509307861,0.5859299302101135,0.5825015306472778,0.6150000095367432
Gender: Male,1,0.6325967311859131,0.588652491569519,0.5766899585723877,0.5738725662231445,0.6085106134414673
Gender: Female,1,0.6208900213241577,0.6106879711151123,0.594138503074646,0.5900721549987793,0.6207547187805176
Age: <40,1,0.6448866128921509,0.6310173273086548,0.6289451122283936,0.6290143728256226,0.6328358054161072
Age: 40-50,1,0.6644513607025146,0.605137825012207,0.5811651945114136,0.5705627799034119,0.612500011920929
Age: 50-65,1,0.5893301963806152,0.5519659519195557,0.5376589894294739,0.5266106724739075,0.6023529171943665
Race: White,1,0.6379808187484741,0.6083251237869263,0.595604419708252,0.5868195295333862,0.6018518209457397
Race: Black,1,0.6362870931625366,0.5718111991882324,0.5656565427780151,0.5678696632385254,0.689393937587738
Race: Other,1,0.5578465461730957,0.5563910007476807,0.5492033958435059,0.5353448390960693,0.5510203838348389
Overall,2,0.6259496212005615,0.6039316654205322,0.5929186344146729,0.5908395051956177,0.6150000095367432
Gender: Male,2,0.615944504737854,0.5825340151786804,0.575090765953064,0.5741181969642639,0.6020833849906921
Gender: Female,2,0.637107253074646,0.6242472529411316,0.6095317602157593,0.6059374809265137,0.6269230842590332
Age: <40,2,0.635905385017395,0.615084171295166,0.6143802404403687,0.6138569116592407,0.6144927740097046
Age: 40-50,2,0.6550866365432739,0.6315577030181885,0.604219913482666,0.5982683897018433,0.6375000476837158
Age: 50-65,2,0.5799635648727417,0.5567276477813721,0.544894814491272,0.538916826248169,0.6024096608161926
Race: White,2,0.6833333373069763,0.6349838972091675,0.6229166388511658,0.6155613660812378,0.625
Race: Black,2,0.5395225286483765,0.5219867825508118,0.5206454396247864,0.5208675265312195,0.6317991614341736
Race: Other,2,0.5125786066055298,0.554844856262207,0.5502060055732727,0.5462382435798645,0.5647668242454529
Overall,3,0.6138047575950623,0.5731508731842041,0.5656150579452515,0.5627543330192566,0.5890000462532043
Gender: Male,3,0.6184506416320801,0.5574434995651245,0.5523494482040405,0.549022376537323,0.5708245038986206
Gender: Female,3,0.6085972785949707,0.5873765349388123,0.5771744847297668,0.5748813152313232,0.6053130626678467
Age: <40,3,0.5860540866851807,0.571416974067688,0.5715054273605347,0.5697866082191467,0.5698005557060242
Age: 40-50,3,0.6152502298355103,0.5477210879325867,0.541429340839386,0.5358143448829651,0.568965494632721
Age: 50-65,3,0.5914479494094849,0.5404117107391357,0.5297619104385376,0.5222820043563843,0.6163069605827332
Race: White,3,0.6334155797958374,0.5902999639511108,0.5843138694763184,0.5767195820808411,0.5833333730697632
Race: Black,3,0.6368999481201172,0.5474138259887695,0.5413686633110046,0.5423805117607117,0.6603053212165833
Race: Other,3,0.5016580820083618,0.49426329135894775,0.49474942684173584,0.4898056387901306,0.5142857432365417
Overall,4,0.6591317653656006,0.6241803169250488,0.6104474663734436,0.6103863716125488,0.6390000581741333
Gender: Male,4,0.6356273889541626,0.5786224603652954,0.5697183012962341,0.5658297538757324,0.591269850730896
Gender: Female,4,0.6839284896850586,0.6708683967590332,0.6530517935752869,0.6565020084381104,0.6875
Age: <40,4,0.6588773727416992,0.6310204267501831,0.6287734508514404,0.626039981842041,0.6271676421165466
Age: 40-50,4,0.6471434831619263,0.591310977935791,0.5812949538230896,0.5817922949790955,0.625
Age: 50-65,4,0.6325018405914307,0.608095645904541,0.5832307934761047,0.5826885104179382,0.6558139324188232
Race: White,4,0.6714179515838623,0.617537260055542,0.6091136932373047,0.6015251874923706,0.6083788871765137
Race: Black,4,0.6901172399520874,0.6235632300376892,0.6250991821289062,0.6243127584457397,0.73828125
Race: Other,4,0.5545809268951416,0.57187819480896,0.5605912804603577,0.5555523633956909,0.5948718190193176
Overall,5,0.6444696187973022,0.6098685264587402,0.6003099083900452,0.600212812423706,0.625
Gender: Male,5,0.6481277346611023,0.6005765199661255,0.5994629859924316,0.5998807549476624,0.6131078004837036
Gender: Female,5,0.6376394033432007,0.6249180436134338,0.6014328598976135,0.5971332788467407,0.6356736421585083
Age: <40,5,0.6450481414794922,0.6292542219161987,0.6267709732055664,0.6252110004425049,0.6271676421165466
Age: 40-50,5,0.6190153360366821,0.5701937675476074,0.5614064931869507,0.5586763620376587,0.5951417088508606
Age: 50-65,5,0.6322453022003174,0.5950218439102173,0.5812450647354126,0.5822412967681885,0.6412776112556458
Race: White,5,0.660830020904541,0.6263407468795776,0.6175333261489868,0.6117621660232544,0.6192236542701721
Race: Black,5,0.6755584478378296,0.617427408695221,0.6028438806533813,0.6076413989067078,0.7049808502197266
Race: Other,5,0.5224976539611816,0.5115447044372559,0.5113285779953003,0.5112160444259644,0.5353535413742065
Overall,6,0.6637226343154907,0.6098573803901672,0.5993022918701172,0.5985051989555359,0.6230000257492065
Gender: Male,6,0.6645807027816772,0.6098901033401489,0.603073000907898,0.6027781963348389,0.6190476417541504
Gender: Female,6,0.6623355150222778,0.6089605093002319,0.5938423275947571,0.5921614766120911,0.6270161271095276
Age: <40,6,0.631534218788147,0.6022006273269653,0.6011147499084473,0.6008205413818359,0.6028571128845215
Age: 40-50,6,0.6951917409896851,0.6126623153686523,0.6014620065689087,0.5975757837295532,0.6144577860832214
Age: 50-65,6,0.6444354057312012,0.5917422771453857,0.5694898962974548,0.56717848777771,0.6458852887153625
Race: White,6,0.684402585029602,0.6239434480667114,0.6149267554283142,0.6076394319534302,0.6146789193153381
Race: Black,6,0.6345454454421997,0.5695762038230896,0.5666666626930237,0.567914605140686,0.6842105388641357
Race: Other,6,0.5863121747970581,0.5507413744926453,0.5472285151481628,0.5443137288093567,0.5608465671539307
Overall,7,0.6343387365341187,0.604761004447937,0.5962264537811279,0.5973721146583557,0.6310000419616699
Gender: Male,7,0.627745509147644,0.5813400149345398,0.5751644372940063,0.5754588842391968,0.6081632375717163
Gender: Female,7,0.6388275027275085,0.6276406049728394,0.6165345311164856,0.6186167001724243,0.6529412269592285
Age: <40,7,0.6060646176338196,0.5998345017433167,0.5994067192077637,0.5994963645935059,0.6017192006111145
Age: 40-50,7,0.6311260461807251,0.6097524166107178,0.5828584432601929,0.5771031379699707,0.6346863508224487
Age: 50-65,7,0.6374692916870117,0.5837197303771973,0.5753331780433655,0.5775305032730103,0.6552631855010986
Race: White,7,0.6503878235816956,0.6160867214202881,0.6046044826507568,0.6016809940338135,0.6199262142181396
Race: Black,7,0.6819325089454651,0.5991117358207703,0.5948477983474731,0.5967212915420532,0.6991869807243347
Race: Other,7,0.5426828861236572,0.5566393136978149,0.556378960609436,0.5564957857131958,0.5801886916160583
Overall,8,0.6435918807983398,0.5961130857467651,0.5828769207000732,0.5786323547363281,0.6080000400543213
Gender: Male,8,0.6288244724273682,0.5713778138160706,0.5657206177711487,0.5634503364562988,0.5833333134651184
Gender: Female,8,0.6579306125640869,0.6245112419128418,0.5984588861465454,0.591911792755127,0.6318897604942322
Age: <40,8,0.6363263130187988,0.5775903463363647,0.5770323872566223,0.5712974071502686,0.5714285969734192
Age: 40-50,8,0.6728753447532654,0.6205452680587769,0.5998226404190063,0.5874322056770325,0.6098654866218567
