group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6217552423477173,0.5754824280738831,0.5733329653739929,0.5738468766212463,0.5960000157356262
Gender: Male,0,0.5834231376647949,0.5434805154800415,0.5448275804519653,0.5428740382194519,0.5539419651031494
Gender: Female,0,0.6591567397117615,0.6149241924285889,0.6004939675331116,0.6002613306045532,0.6351351141929626
Age: <40,0,0.6299720406532288,0.5776998996734619,0.576984703540802,0.5770488381385803,0.5814696550369263
Age: 40-50,0,0.6784335374832153,0.639983594417572,0.6253907084465027,0.6249221563339233,0.6472868323326111
Age: 50-65,0,0.5662907361984253,0.5305017828941345,0.5308945178985596,0.5306458473205566,0.5757575631141663
Race: White,0,0.6277616024017334,0.5652880668640137,0.5643197298049927,0.5642892122268677,0.5708954930305481
Race: Black,0,0.6402711868286133,0.6084260940551758,0.6094896793365479,0.6089432239532471,0.69921875
Race: Other,0,0.5344827771186829,0.5200257301330566,0.518928050994873,0.5166614651679993,0.5336538553237915
Overall,1,0.5957119464874268,0.5439940690994263,0.541580080986023,0.5405645966529846,0.562000036239624
Gender: Male,1,0.5737994909286499,0.5218518376350403,0.5220046639442444,0.5218673944473267,0.5340425372123718
Gender: Female,1,0.6179853677749634,0.5702081918716431,0.5605757236480713,0.5553197264671326,0.5867924690246582
Age: <40,1,0.5936806797981262,0.5507789850234985,0.5508480668067932,0.5507938265800476,0.5522388219833374
Age: 40-50,1,0.6617647409439087,0.6027205586433411,0.5856900215148926,0.5797480344772339,0.612500011920929
Age: 50-65,1,0.5629723072052002,0.49618908762931824,0.496526300907135,0.4938158392906189,0.541176438331604
Race: White,1,0.5879807472229004,0.5369856953620911,0.5362637042999268,0.5350606441497803,0.5388888716697693
Race: Black,1,0.6049892902374268,0.5280634164810181,0.5277777910232544,0.5279096961021423,0.6477273106575012
Race: Other,1,0.547641396522522,0.509571373462677,0.5084869265556335,0.49500805139541626,0.5102040767669678
Overall,2,0.6235573291778564,0.5818105936050415,0.5790949463844299,0.5792146921157837,0.593000054359436
Gender: Male,2,0.6057153940200806,0.5668866634368896,0.5685098171234131,0.566365122795105,0.5729166865348816
Gender: Female,2,0.6469022035598755,0.6068288683891296,0.5935757160186768,0.5889102816581726,0.6115384697914124
Age: <40,2,0.6627570390701294,0.6086912751197815,0.6086839437484741,0.6086825132369995,0.6086956858634949
Age: 40-50,2,0.659278154373169,0.6410256624221802,0.6265984773635864,0.6266666650772095,0.6500000357627869
Age: 50-65,2,0.548859715461731,0.5079265236854553,0.5074619054794312,0.5064024925231934,0.5469879508018494
Race: White,2,0.6474206447601318,0.583241879940033,0.581845223903656,0.5805610418319702,0.5827464461326599
Race: Black,2,0.5865605473518372,0.5667992830276489,0.5667992830276489,0.5667992830276489,0.6569037437438965
Race: Other,2,0.5292778015136719,0.534802258014679,0.5333983898162842,0.531966507434845,0.5440414547920227
Overall,3,0.6081262826919556,0.5581484436988831,0.5550826787948608,0.5542681217193604,0.5730000138282776
Gender: Male,3,0.6004172563552856,0.5419905185699463,0.5417543649673462,0.5418105125427246,0.5496828556060791
Gender: Female,3,0.6176470518112183,0.5739229917526245,0.5648567080497742,0.561652660369873,0.5939278602600098
Age: <40,3,0.5840990543365479,0.5558153390884399,0.5560117363929749,0.5552631616592407,0.5555555820465088
Age: 40-50,3,0.6406925916671753,0.5781646370887756,0.5678590536117554,0.5636654496192932,0.5948275923728943
Age: 50-65,3,0.57987380027771,0.5128992795944214,0.5117521286010742,0.5105017423629761,0.5755395889282227
Race: White,3,0.6142168641090393,0.5646475553512573,0.5630918741226196,0.5600999593734741,0.5625
Race: Black,3,0.6267974376678467,0.5786452293395996,0.5757687091827393,0.5770068168640137,0.6717557311058044
Race: Other,3,0.49778926372528076,0.4557148218154907,0.4584561586380005,0.454365074634552,0.4761905074119568
Overall,4,0.6441320180892944,0.5835490226745605,0.5794422030448914,0.5797234773635864,0.6010000109672546
Gender: Male,4,0.610403299331665,0.5462585091590881,0.5457106232643127,0.5457632541656494,0.5555555820465088
Gender: Female,4,0.6737898588180542,0.6234859228134155,0.6098006367683411,0.6111372709274292,0.6471773982048035
Age: <40,4,0.6486811637878418,0.568417489528656,0.5677130222320557,0.5657630562782288,0.5664739608764648
Age: 40-50,4,0.6732120513916016,0.6256823539733887,0.6188743114471436,0.6208333373069763,0.6517857313156128
Age: 50-65,4,0.5944007635116577,0.5532053112983704,0.5493184328079224,0.549699604511261,0.6023255586624146
Race: White,4,0.6437463760375977,0.5779833793640137,0.5760272741317749,0.5730934143066406,0.5755919814109802
Race: Black,4,0.6316671371459961,0.5686795711517334,0.5774045586585999,0.5713488459587097,0.68359375
Race: Other,4,0.589776873588562,0.5383822321891785,0.534275472164154,0.5307323932647705,0.5641025900840759
Overall,5,0.6408113241195679,0.5875226259231567,0.5849323272705078,0.5854166746139526,0.6020000576972961
Gender: Male,5,0.6323843002319336,0.5861800909042358,0.5886209607124329,0.5841392874717712,0.5877378582954407
Gender: Female,5,0.6554431915283203,0.5983023643493652,0.582202136516571,0.5778059959411621,0.614800751209259
Age: <40,5,0.6507284045219421,0.5869230031967163,0.5865076184272766,0.5861209630966187,0.586705207824707
Age: 40-50,5,0.6340024471282959,0.5649600625038147,0.5606604814529419,0.5602220296859741,0.5870445370674133
Age: 50-65,5,0.6121610403060913,0.5858476161956787,0.5832850933074951,0.5842307806015015,0.624078631401062
Race: White,5,0.6490745544433594,0.5867217779159546,0.5850692987442017,0.5835601091384888,0.5859519243240356
Race: Black,5,0.6660052537918091,0.6092643737792969,0.6111111044883728,0.610135555267334,0.6858237385749817
Race: Other,5,0.527922511100769,0.5115447044372559,0.5113285779953003,0.5112160444259644,0.5353535413742065
Overall,6,0.668169379234314,0.6022956967353821,0.5979592204093933,0.598452627658844,0.6150000095367432
Gender: Male,6,0.6651568412780762,0.6149609088897705,0.6150767803192139,0.6150163412094116,0.6210317611694336
Gender: Female,6,0.6762523651123047,0.5876682996749878,0.5769540667533875,0.5750123858451843,0.6088709235191345
Age: <40,6,0.6542874574661255,0.6025934219360352,0.602683961391449,0.6025943756103516,0.6028571128845215
Age: 40-50,6,0.7333333492279053,0.6599851846694946,0.6405457854270935,0.6369031667709351,0.6546184420585632
Age: 50-65,6,0.6136661171913147,0.5500295162200928,0.5462356805801392,0.5465083122253418,0.6009975075721741
Race: White,6,0.6792582273483276,0.6060305833816528,0.6038030385971069,0.6016297340393066,0.6036697030067444
Race: Black,6,0.6387878656387329,0.5744552612304688,0.5794696807861328,0.5763633251190186,0.6729323267936707
Race: Other,6,0.6016968488693237,0.5562759637832642,0.5520362257957458,0.5488472580909729,0.5661375522613525
Overall,7,0.6304342746734619,0.591009259223938,0.5904855132102966,0.5907242298126221,0.612000048160553
Gender: Male,7,0.5971109867095947,0.5629602670669556,0.5644266605377197,0.5631387829780579,0.577551007270813
Gender: Female,7,0.6612667441368103,0.6206823587417603,0.6149584054946899,0.616619348526001,0.645098090171814
Age: <40,7,0.6192156076431274,0.6021711826324463,0.6025214195251465,0.6015098094940186,0.6017192006111145
Age: 40-50,7,0.6511853337287903,0.6110936403274536,0.6007237434387207,0.6016895174980164,0.6346863508224487
Age: 50-65,7,0.5926704406738281,0.5410256385803223,0.5414025187492371,0.541195809841156,0.6052631735801697
Race: White,7,0.6269391775131226,0.573693037033081,0.5728902816772461,0.5730042457580566,0.5793358087539673
Race: Black,7,0.665625810623169,0.6241709589958191,0.6315378546714783,0.6272727251052856,0.707317054271698
Race: Other,7,0.5680112838745117,0.5624765753746033,0.5624765753746033,0.5624765753746033,0.5849056839942932
Overall,8,0.6231986880302429,0.5720878839492798,0.5668362379074097,0.5653433799743652,0.5860000252723694
Gender: Male,8,0.6070014834403992,0.5573455095291138,0.5569645762443542,0.5570700168609619,0.565040647983551
Gender: Female,8,0.6405060887336731,0.5910714268684387,0.5743911266326904,0.5675859451293945,0.6062992215156555
Age: <40,8,0.5979727506637573,0.548241138458252,0.5483700037002563,0.5451546907424927,0.5451894998550415
Age: 40-50,8,0.7056926488876343,0.637824296951294,0.6130865812301636,0.6007672548294067,0.6233184337615967
Age: 50-65,8,0.5486880540847778,0.5299422740936279,0.5282312631607056,0.5284140110015869,0.599078357219696
Race: White,8,0.5969439744949341,0.5542910099029541,0.5527710914611816,0.5491886138916016,0.5520281791687012
Race: Black,8,0.5297581553459167,0.46099454164505005,0.4605841636657715,0.460781455039978,0.6007604598999023
Race: Other,8,0.7263026237487793,0.7059369087219238,0.6692073345184326,0.6584973931312561,0.6764705777168274
Overall,9,0.615556001663208,0.5516281127929688,0.5486201047897339,0.5469489693641663,0.5640000104904175
Gender: Male,9,0.6428947448730469,0.5670475959777832,0.5657724142074585,0.5659069418907166,0.5769980549812317
Gender: Female,9,0.589281439781189,0.5355892181396484,0.5315753221511841,0.5251953601837158,0.5503080487251282
Age: <40,9,0.6217806935310364,0.5595755577087402,0.5597653388977051,0.5571237802505493,0.5571847558021545
Age: 40-50,9,0.6105285882949829,0.5830641984939575,0.5720338821411133,0.5573384165763855,0.5720338821411133
Age: 50-65,9,0.5712941884994507,0.49771595001220703,0.4977879524230957,0.49754685163497925,0.5650117993354797
Race: White,9,0.6491310000419617,0.5534172058105469,0.5515975952148438,0.5480177402496338,0.5521023869514465
Race: Black,9,0.5961302518844604,0.5764706134796143,0.5798525810241699,0.5777344107627869,0.64000004529953
Race: Other,9,0.5127854943275452,0.48650795221328735,0.48838573694229126,0.4755327105522156,0.5024630427360535
Overall,10,0.6469844579696655,0.5838601589202881,0.5830479860305786,0.5833501815795898,0.597000002861023
Gender: Male,10,0.6419736742973328,0.5790441036224365,0.5807787179946899,0.5789499282836914,0.586345374584198
Gender: Female,10,0.658235490322113,0.5914385318756104,0.5857795476913452,0.5858346223831177,0.6075697541236877
Age: <40,10,0.6524398326873779,0.5999966263771057,0.5999966263771057,0.5999966263771057,0.6000000238418579
Age: 40-50,10,0.7166321277618408,0.6616666316986084,0.6488986015319824,0.6492999792098999,0.6652173399925232
Age: 50-65,10,0.5765262842178345,0.5112631320953369,0.5115557909011841,0.5112073421478271,0.5576470494270325
Race: White,10,0.6393306255340576,0.558019757270813,0.5572025179862976,0.5559107065200806,0.5577265024185181
Race: Black,10,0.6007971167564392,0.5691707730293274,0.5805898904800415,0.5706526637077332,0.6472868323326111
Race: Other,10,0.6739356517791748,0.633542001247406,0.6329180002212524,0.6332086324691772,0.6480446457862854
Overall,11,0.6290216445922852,0.5738170146942139,0.5719844102859497,0.5724184513092041,0.5920000076293945
Gender: Male,11,0.6082571744918823,0.5577921867370605,0.5589560270309448,0.5577830076217651,0.5680000185966492
