group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.606168270111084,0.5905733108520508,0.5903459191322327,0.5904539227485657,0.6070000529289246
Gender: Male,0,0.5859375,0.5730689764022827,0.5761135220527649,0.5705450773239136,0.5767635107040405
Gender: Female,0,0.6255245208740234,0.6153477430343628,0.6043651103973389,0.6050348281860352,0.6351351141929626
Age: <40,0,0.6026873588562012,0.5831493139266968,0.5835387706756592,0.5831284523010254,0.584664523601532
Age: 40-50,0,0.6638475060462952,0.6350070238113403,0.6230924725532532,0.6230226755142212,0.643410861492157
Age: 50-65,0,0.560845136642456,0.5656577348709106,0.5685657262802124,0.5663259625434875,0.6013985872268677
Race: White,0,0.6209638118743896,0.610822319984436,0.6104861497879028,0.6044555902481079,0.60447758436203
Race: Black,0,0.5874003171920776,0.5555005669593811,0.5581339597702026,0.5565158128738403,0.65234375
Race: Other,0,0.5609070062637329,0.533707857131958,0.5168665647506714,0.466488242149353,0.5576923489570618
Overall,1,0.5789913535118103,0.5630173683166504,0.5619143843650818,0.5621263980865479,0.5760000348091125
Gender: Male,1,0.5723636150360107,0.5503525733947754,0.5517948865890503,0.5484821200370789,0.5531914830207825
Gender: Female,1,0.5875450372695923,0.5818013548851013,0.5731526613235474,0.5703787803649902,0.5962264537811279
Age: <40,1,0.5566807389259338,0.5525237321853638,0.552726686000824,0.5519154071807861,0.5522388219833374
Age: 40-50,1,0.6176470518112183,0.6066666841506958,0.6018099784851074,0.6020474433898926,0.6166666746139526
Age: 50-65,1,0.5708351135253906,0.5353383421897888,0.5330939292907715,0.5326170921325684,0.5717647075653076
Race: White,1,0.5651373863220215,0.5451019406318665,0.5446428656578064,0.542025625705719,0.5425925850868225
Race: Black,1,0.6282522082328796,0.5828372836112976,0.5883838534355164,0.5849900841712952,0.6780303120613098
Race: Other,1,0.5430594682693481,0.5566513538360596,0.5269186496734619,0.4573904573917389,0.5306122303009033
Overall,2,0.6160953044891357,0.5943108201026917,0.5934402942657471,0.5937367677688599,0.6030000448226929
Gender: Male,2,0.6216670274734497,0.6003576517105103,0.6033727526664734,0.5972027778625488,0.6000000238418579
Gender: Female,2,0.623857855796814,0.5993657112121582,0.5899642705917358,0.5869481563568115,0.6057692170143127
Age: <40,2,0.6569766998291016,0.6121894121170044,0.6116917729377747,0.611198902130127,0.6115942001342773
Age: 40-50,2,0.629724383354187,0.6492674350738525,0.6389599442481995,0.6401140689849854,0.6583333611488342
Age: 50-65,2,0.5636605024337769,0.532837986946106,0.5320519208908081,0.5321716070175171,0.5638554096221924
Race: White,2,0.6496155261993408,0.6143146753311157,0.6119543313980103,0.6092574596405029,0.61091548204422
Race: Black,2,0.5198938846588135,0.49948209524154663,0.4995136857032776,0.49908876419067383,0.6150627732276917
Race: Other,2,0.5189763307571411,0.5571023225784302,0.5326935648918152,0.49210527539253235,0.5647668242454529
Overall,3,0.6158336400985718,0.6020674109458923,0.6002473831176758,0.6007310152053833,0.612000048160553
Gender: Male,3,0.6197024583816528,0.6216517686843872,0.6226052045822144,0.6218990683555603,0.6257928013801575
Gender: Female,3,0.6060538291931152,0.5830889344215393,0.5779286026954651,0.5777259469032288,0.5996204614639282
Age: <40,3,0.6216683387756348,0.6115807294845581,0.6118279695510864,0.6116245985031128,0.6125355958938599
Age: 40-50,3,0.5769727230072021,0.5711166858673096,0.5667957663536072,0.5660509467124939,0.5862069129943848
Age: 50-65,3,0.6067612767219543,0.5830996036529541,0.5813874006271362,0.5820999145507812,0.6258993148803711
Race: White,3,0.6192675828933716,0.6035016179084778,0.6017907857894897,0.6004151105880737,0.6022727489471436
Race: Black,3,0.6273136138916016,0.5846176147460938,0.5846176147460938,0.5846176147460938,0.6717557311058044
Race: Other,3,0.49861830472946167,0.5369318127632141,0.5203573703765869,0.478458046913147,0.561904788017273
Overall,4,0.6339466571807861,0.6031048893928528,0.6021665334701538,0.6025437116622925,0.6160000562667847
Gender: Male,4,0.5997118949890137,0.568211555480957,0.5693022012710571,0.5671114325523376,0.569444477558136
Gender: Female,4,0.652983546257019,0.6425219774246216,0.6285758018493652,0.6308849453926086,0.6633064150810242
Age: <40,4,0.6541303396224976,0.6218231916427612,0.6217864751815796,0.6213841438293457,0.621387243270874
Age: 40-50,4,0.5996614694595337,0.6130114793777466,0.6168853044509888,0.6138813495635986,0.629464328289032
Age: 50-65,4,0.607322096824646,0.560960590839386,0.5585715770721436,0.5592561960220337,0.604651153087616
Race: White,4,0.6271036267280579,0.5909836292266846,0.5898630619049072,0.5887668132781982,0.5901639461517334
Race: Black,4,0.6359869241714478,0.5662280321121216,0.5798730850219727,0.5683139562606812,0.66796875
