group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.678961992263794,0.6109745502471924,0.5947381258010864,0.593702495098114,0.6330000162124634
Gender: Male,0,0.6646552085876465,0.596320390701294,0.5876796245574951,0.5880130529403687,0.6203320026397705
Gender: Female,0,0.6913643479347229,0.6281613111495972,0.6016165614128113,0.5984293222427368,0.644787609577179
Age: <40,0,0.639916181564331,0.5660582780838013,0.5624589323997498,0.5602088570594788,0.5718849897384644
Age: 40-50,0,0.7141631841659546,0.6773876547813416,0.6548078656196594,0.6550301909446716,0.6782945990562439
Age: 50-65,0,0.6638752818107605,0.5869715213775635,0.5642213821411133,0.5616246461868286,0.6503496766090393
Race: White,0,0.6771162748336792,0.6129761934280396,0.6066306829452515,0.605665922164917,0.6175373196601868
Race: Black,0,0.682296633720398,0.5433483123779297,0.5254386067390442,0.5178907513618469,0.69921875
Race: Other,0,0.6180659532546997,0.5824717879295349,0.5650299787521362,0.5528917908668518,0.5913462042808533
Overall,1,0.6738940477371216,0.6087029576301575,0.5926267504692078,0.5893428921699524,0.6220000386238098
Gender: Male,1,0.6947505474090576,0.6188369989395142,0.6052214503288269,0.6047253012657166,0.6340425610542297
Gender: Female,1,0.6556000709533691,0.5999894142150879,0.5820988416671753,0.5754790306091309,0.6113207340240479
Age: <40,1,0.6412366628646851,0.5573270320892334,0.5555177927017212,0.5541865825653076,0.5611940622329712
Age: 40-50,1,0.7099829912185669,0.6713688373565674,0.639140248298645,0.6356736421585083,0.6666666865348816
Age: 50-65,1,0.6694362163543701,0.6139072179794312,0.5825470685958862,0.5770308375358582,0.6447058320045471
Race: White,1,0.6474313139915466,0.5913957357406616,0.5865384340286255,0.5831222534179688,0.5907407402992249
Race: Black,1,0.6988827586174011,0.6061776280403137,0.5757575631141663,0.5809524059295654,0.7272727489471436
Race: Other,1,0.6497969627380371,0.5885507464408875,0.5636259317398071,0.5321145057678223,0.5663264989852905
Overall,2,0.669617235660553,0.6176190376281738,0.6006618142127991,0.5970591902732849,0.6260000467300415
Gender: Male,2,0.6657308340072632,0.6273589730262756,0.6154974102973938,0.6160428524017334,0.6416667103767395
Gender: Female,2,0.6757936477661133,0.6105618476867676,0.5891343355178833,0.5792745351791382,0.6115384697914124
