group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6511850357055664,0.5956705212593079,0.5965595245361328,0.5960240364074707,0.6100000143051147
Gender: Male,0,0.6503591537475586,0.5858801007270813,0.5890265703201294,0.5851031541824341,0.5933610200881958
Gender: Female,0,0.6487511396408081,0.6075539588928223,0.6040166616439819,0.6049842834472656,0.6254826188087463
Age: <40,0,0.6386423110961914,0.5879878997802734,0.588551938533783,0.5872527360916138,0.5878593921661377
Age: 40-50,0,0.694612979888916,0.6040884256362915,0.6036036014556885,0.6038084030151367,0.6124030947685242
Age: 50-65,0,0.6180599331855774,0.582645833492279,0.5829178690910339,0.5827780961990356,0.6247086524963379
Race: White,0,0.6647143363952637,0.5971903204917908,0.5980421304702759,0.5962053537368774,0.5970149040222168
Race: Black,0,0.5864434242248535,0.552740216255188,0.5488835573196411,0.5501809120178223,0.66796875
Race: Other,0,0.5958583354949951,0.5637016296386719,0.5624063014984131,0.5623950958251953,0.572115421295166
Overall,1,0.6488726139068604,0.5874393582344055,0.5862618088722229,0.5866281986236572,0.5990000367164612
Gender: Male,1,0.6354871988296509,0.5610185265541077,0.5614452362060547,0.5611659288406372,0.5723404288291931
Gender: Female,1,0.6615109443664551,0.6125345826148987,0.608690619468689,0.6092828512191772,0.6226415038108826
Age: <40,1,0.6220568418502808,0.5926779508590698,0.592803955078125,0.5927197337150574,0.5940298438072205
Age: 40-50,1,0.712104082107544,0.6208276152610779,0.6184954643249512,0.6191087365150452,0.6291667222976685
Age: 50-65,1,0.6298173666000366,0.5548712015151978,0.5527977347373962,0.5531660318374634,0.585882306098938
Race: White,1,0.6368268728256226,0.5845291018486023,0.5844780206680298,0.5844955444335938,0.585185170173645
Race: Black,1,0.6012396812438965,0.551562488079071,0.5505050420761108,0.5509856939315796,0.6666666865348816
Race: Other,1,0.612829327583313,0.5463200807571411,0.5450900793075562,0.5424764752388,0.545918345451355
Overall,2,0.6358201503753662,0.5998048782348633,0.5981677174568176,0.598595142364502,0.609000027179718
Gender: Male,2,0.6375113725662231,0.5873292684555054,0.5888159275054932,0.5875558257102966,0.5958333611488342
Gender: Female,2,0.6343855857849121,0.6154101490974426,0.6091504096984863,0.608635663986206,0.6211538314819336
Age: <40,2,0.6140609979629517,0.5739495754241943,0.5739346742630005,0.5738987326622009,0.573913037776947
Age: 40-50,2,0.7227905988693237,0.6666666269302368,0.6598465442657471,0.6614583730697632,0.675000011920929
Age: 50-65,2,0.5804068446159363,0.5692488551139832,0.5661109089851379,0.5667295455932617,0.6000000238418579
Race: White,2,0.6283606290817261,0.5879104137420654,0.5876488089561462,0.5875167846679688,0.5880281329154968
Race: Black,2,0.5782493352890015,0.5632215142250061,0.5619805455207825,0.5625446438789368,0.6569037437438965
Race: Other,2,0.6197137236595154,0.6057130098342896,0.6019301414489746,0.601777195930481,0.6113989353179932
Overall,3,0.6531583070755005,0.60302734375,0.5993900895118713,0.5998573303222656,0.6140000224113464
Gender: Male,3,0.6556603908538818,0.5909091234207153,0.5898040533065796,0.5900838971138,0.5983086824417114
Gender: Female,3,0.647739052772522,0.6141931414604187,0.6068376302719116,0.6073861122131348,0.6280834674835205
Age: <40,3,0.6004887819290161,0.5719298124313354,0.5721407532691956,0.5718677043914795,0.5726495981216431
Age: 40-50,3,0.6978811025619507,0.6277991533279419,0.6235284805297852,0.6244218349456787,0.6379310488700867
Age: 50-65,3,0.6441035866737366,0.5822911262512207,0.5723061561584473,0.5734819173812866,0.6354916095733643
Race: White,3,0.62078857421875,0.5770257711410522,0.576163649559021,0.5747263431549072,0.575757622718811
Race: Black,3,0.6413244009017944,0.5998263955116272,0.5932822227478027,0.5958868861198425,0.6908397078514099
Race: Other,3,0.638080358505249,0.6059671640396118,0.6028923988342285,0.6032652854919434,0.6142857670783997
Overall,4,0.6831420660018921,0.6236463785171509,0.6204390525817871,0.6213982105255127,0.6370000243186951
Gender: Male,4,0.6681817770004272,0.6017628312110901,0.5975672006607056,0.5977064371109009,0.6111111640930176
Gender: Female,4,0.6966785192489624,0.6459960341453552,0.645166277885437,0.6455551385879517,0.6633064150810242
Age: <40,4,0.6654297113418579,0.6156775951385498,0.615735650062561,0.6155780553817749,0.6156069040298462
