group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6429793834686279,0.6015999913215637,0.5991365909576416,0.5999258756637573,0.6200000047683716
Gender: Male,0,0.6304059028625488,0.5850551724433899,0.5862787365913391,0.5854511260986328,0.5995851159095764
Gender: Female,0,0.6546661853790283,0.6202720403671265,0.6114724278450012,0.6126893758773804,0.6389961242675781
Age: <40,0,0.6427514553070068,0.602351725101471,0.602831244468689,0.6023686528205872,0.6038338541984558
Age: 40-50,0,0.6803333759307861,0.6436781883239746,0.6309983730316162,0.6312178373336792,0.6511628031730652
Age: 50-65,0,0.6087177991867065,0.564283549785614,0.5624788403511047,0.5631471872329712,0.6130536198616028
Race: White,0,0.6592227220535278,0.6237179636955261,0.6246927976608276,0.6235731244087219,0.625
Race: Black,0,0.5871610641479492,0.5681159496307373,0.5524721145629883,0.5542857050895691,0.6953125
Race: Other,0,0.5586581230163574,0.4943696856498718,0.49494004249572754,0.4882962107658386,0.5144230723381042
Overall,1,0.6441445350646973,0.5890600085258484,0.5833384394645691,0.5830806493759155,0.6040000319480896
Gender: Male,1,0.6496410369873047,0.5719236135482788,0.5704429149627686,0.5707883834838867,0.5872340202331543
Gender: Female,1,0.6372720003128052,0.6076797246932983,0.5957069993019104,0.5936631560325623,0.6188679337501526
Age: <40,1,0.6412366628646851,0.5741935968399048,0.5740714073181152,0.5741118788719177,0.5761194229125977
Age: 40-50,1,0.6776725053787231,0.6443494558334351,0.6289592981338501,0.6282911896705627,0.6500000357627869
Age: 50-65,1,0.615523636341095,0.5595628619194031,0.5511664748191833,0.5489336848258972,0.5999999642372131
Race: White,1,0.6365659236907959,0.5843254327774048,0.5840659141540527,0.5840668678283691,0.585185170173645
Race: Black,1,0.6363636255264282,0.6061776280403137,0.5757575631141663,0.5809524059295654,0.7272727489471436
Race: Other,1,0.5569093227386475,0.48546332120895386,0.48776423931121826,0.4676227569580078,0.4897959232330322
Overall,2,0.6518608331680298,0.620517373085022,0.6149908304214478,0.6155300736427307,0.6300000548362732
Gender: Male,2,0.6322358846664429,0.6119019985198975,0.6100609302520752,0.6106985807418823,0.6250000596046448
Gender: Female,2,0.6740440726280212,0.6304961442947388,0.6209418177604675,0.6199941635131836,0.6346153616905212
Age: <40,2,0.678619384765625,0.646438717842102,0.6463402509689331,0.6463025212287903,0.6463768482208252
Age: 40-50,2,0.7142654657363892,0.676230788230896,0.6658141613006592,0.6677353382110596,0.6833333969116211
Age: 50-65,2,0.5702852010726929,0.5428672432899475,0.5373713374137878,0.5348503589630127,0.5855422019958496
Race: White,2,0.6527281999588013,0.6178557872772217,0.6178075075149536,0.6178144216537476,0.6179577112197876
Race: Black,2,0.626702070236206,0.6234922409057617,0.5742263793945312,0.576423168182373,0.723849356174469
Race: Other,2,0.5560615658760071,0.536821722984314,0.5329646468162537,0.5268141031265259,0.5492227673530579
Overall,3,0.6674055457115173,0.6108271479606628,0.6043664216995239,0.6045611500740051,0.6220000386238098
Gender: Male,3,0.6732220649719238,0.6051007509231567,0.6019774675369263,0.6022927165031433,0.6131078004837036
Gender: Female,3,0.6581935882568359,0.6159682273864746,0.6053293347358704,0.6052131056785583,0.6299810409545898
Age: <40,3,0.6860866546630859,0.6327160596847534,0.6324046850204468,0.6296025514602661,0.6296296119689941
Age: 40-50,3,0.6637046933174133,0.6186846494674683,0.6147186160087585,0.6154794692993164,0.6293103694915771
Age: 50-65,3,0.6234483122825623,0.5494818091392517,0.5425060987472534,0.5414471626281738,0.6115108132362366
Race: White,3,0.6667336225509644,0.5970126390457153,0.5967830419540405,0.5964157581329346,0.5965909361839294
Race: Black,3,0.6321805715560913,0.572966992855072,0.5534621477127075,0.5543375611305237,0.6908397078514099
