group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6383665204048157,0.6088922619819641,0.6090699434280396,0.6089785099029541,0.6240000128746033
Gender: Male,0,0.6264907121658325,0.6003031730651855,0.6027837991714478,0.6007583141326904,0.6120332479476929
Gender: Female,0,0.6487666368484497,0.6183657646179199,0.6152041554450989,0.6162195801734924,0.6351351141929626
Age: <40,0,0.6203155517578125,0.577317476272583,0.576840877532959,0.5717757344245911,0.5718849897384644
Age: 40-50,0,0.7016608715057373,0.6909090876579285,0.6750321388244629,0.6769018173217773,0.6937984228134155
Age: 50-65,0,0.588992714881897,0.5740247964859009,0.572752833366394,0.5732958316802979,0.6200466156005859
Race: White,0,0.6434640884399414,0.6073761582374573,0.6082810163497925,0.6069777607917786,0.608208954334259
Race: Black,0,0.6333333253860474,0.574999988079071,0.5669856071472168,0.569567084312439,0.6875
Race: Other,0,0.5607196092605591,0.578341007232666,0.5764617919921875,0.5765151381492615,0.5865384936332703
Overall,1,0.6103388071060181,0.5825333595275879,0.5816135406494141,0.581917405128479,0.5940000414848328
Gender: Male,1,0.6063402891159058,0.586837112903595,0.5881584882736206,0.5871016979217529,0.5957446694374084
Gender: Female,1,0.6135848760604858,0.5801514983177185,0.5768270492553711,0.576777458190918,0.5924528241157532
Age: <40,1,0.5838402509689331,0.5637036561965942,0.5615472793579102,0.5532974004745483,0.5552238821983337
Age: 40-50,1,0.6613404750823975,0.6348528265953064,0.6204751133918762,0.6194409728050232,0.6416667103767395
Age: 50-65,1,0.598343014717102,0.5602608323097229,0.5540064573287964,0.5532338619232178,0.5976470112800598
Race: White,1,0.5915659666061401,0.568084180355072,0.5681318640708923,0.5680904388427734,0.5685185194015503
Race: Black,1,0.6234313249588013,0.5858585834503174,0.5858585834503174,0.5858585834503174,0.689393937587738
Race: Other,1,0.5445173978805542,0.5361799001693726,0.5346766710281372,0.5303225517272949,0.5357142686843872
Overall,2,0.6310601234436035,0.6025811433792114,0.6031559705734253,0.6027936339378357,0.609000027179718
Gender: Male,2,0.6398540735244751,0.6011056900024414,0.6039986610412598,0.5998244881629944,0.6041666865348816
Gender: Female,2,0.6258168816566467,0.6075410842895508,0.6050081253051758,0.6052497625350952,0.6134615540504456
Age: <40,2,0.6615471839904785,0.6430313587188721,0.637955367565155,0.6345369815826416,0.6376811861991882
Age: 40-50,2,0.6596333980560303,0.6315943002700806,0.6283035278320312,0.6292037963867188,0.6416667103767395
Age: 50-65,2,0.5694724917411804,0.532838761806488,0.5315593481063843,0.5315322279930115,0.5662650465965271
Race: White,2,0.6453249454498291,0.6101973652839661,0.6096726655960083,0.608844518661499,0.6091549396514893
Race: Black,2,0.5718833208084106,0.5359189510345459,0.5321397185325623,0.5326815843582153,0.6485355496406555
Race: Other,2,0.5338321328163147,0.5541175603866577,0.5537301898002625,0.5537875890731812,0.559585452079773
Overall,3,0.6238962411880493,0.5867753028869629,0.5862368941307068,0.5864452123641968,0.5960000157356262
Gender: Male,3,0.6571298837661743,0.6087465286254883,0.6080007553100586,0.6082726716995239,0.6152219772338867
Gender: Female,3,0.5884127616882324,0.5665898323059082,0.5662392973899841,0.5663805603981018,0.5787476301193237
Age: <40,3,0.6151515245437622,0.5754629373550415,0.5717008709907532,0.5692537426948547,0.5783475637435913
Age: 40-50,3,0.6108453273773193,0.5515493154525757,0.5478848218917847,0.5461658835411072,0.568965494632721
Age: 50-65,3,0.5886243581771851,0.5745623707771301,0.5682616233825684,0.5694429874420166,0.6258993148803711
Race: White,3,0.6198128461837769,0.5871211886405945,0.5871262550354004,0.5871152877807617,0.5871212482452393
Race: Black,3,0.6366786956787109,0.5514876246452332,0.547599732875824,0.5487945079803467,0.6564885377883911
Race: Other,3,0.5313190817832947,0.5357406139373779,0.5357406139373779,0.5357406139373779,0.5428571701049805
Overall,4,0.6589215397834778,0.6251366138458252,0.6227102279663086,0.6235377788543701,0.6380000114440918
Gender: Male,4,0.6353393197059631,0.6058031916618347,0.604961633682251,0.6052615642547607,0.6130952835083008
Gender: Female,4,0.6810097694396973,0.643934965133667,0.6387144327163696,0.6404720544815063,0.6633064150810242
Age: <40,4,0.6567378044128418,0.6328293085098267,0.6321499347686768,0.6320597529411316,0.6329479813575745
Age: 40-50,4,0.6892932653427124,0.6326389312744141,0.6293271780014038,0.6306242942810059,0.65625
Age: 50-65,4,0.6089075803756714,0.5859424471855164,0.5771725177764893,0.578494131565094,0.6325581073760986
Race: White,4,0.6433084011077881,0.6068181991577148,0.6066650748252869,0.6064516305923462,0.6065573692321777
Race: Black,4,0.6582032442092896,0.5860714316368103,0.5849863290786743,0.5855124592781067,0.71484375
Race: Other,4,0.6058046817779541,0.6105713844299316,0.6047758460044861,0.605558454990387,0.6256410479545593
Overall,5,0.6367582082748413,0.5896509289741516,0.5894662737846375,0.5895530581474304,0.6010000109672546
Gender: Male,5,0.6577466726303101,0.6066648960113525,0.6096428036689758,0.6051449775695801,0.6088795065879822
Gender: Female,5,0.6150296926498413,0.5767109394073486,0.5717697143554688,0.5713297128677368,0.5939278602600098
Age: <40,5,0.6528334617614746,0.5993832945823669,0.598536491394043,0.5975094437599182,0.5982658863067627
Age: 40-50,5,0.6173199415206909,0.5782895088195801,0.5766648650169373,0.5771127343177795,0.5951417088508606
Age: 50-65,5,0.6040273904800415,0.5637653470039368,0.5606870055198669,0.5614460110664368,0.6068795919418335
Race: White,5,0.6353235244750977,0.5821851491928101,0.5821851491928101,0.5821851491928101,0.5822550654411316
Race: Black,5,0.6391828060150146,0.5886699557304382,0.5767195820808411,0.5800235271453857,0.6858237385749817
Race: Other,5,0.5416444540023804,0.5314815044403076,0.5325497388839722,0.5303286910057068,0.5404040217399597
Overall,6,0.665823221206665,0.6204277276992798,0.6213803887367249,0.6207780838012695,0.628000020980835
Gender: Male,6,0.6927496194839478,0.6502926349639893,0.652464747428894,0.6502318382263184,0.6527777910232544
Gender: Female,6,0.6353243589401245,0.5883146524429321,0.5873287916183472,0.587697446346283,0.6028225421905518
Age: <40,6,0.6364052295684814,0.5928571224212646,0.5892477631568909,0.582850456237793,0.5857142806053162
Age: 40-50,6,0.7346328496932983,0.6683024168014526,0.6649122834205627,0.6654980182647705,0.6706827282905579
Age: 50-65,6,0.6165847778320312,0.5957260727882385,0.5896890163421631,0.5914057493209839,0.6384040117263794
Race: White,6,0.6603102684020996,0.6202139258384705,0.6201653480529785,0.6201374530792236,0.6201834678649902
Race: Black,6,0.6647727489471436,0.6116225719451904,0.6249242424964905,0.6160385012626648,0.6954887509346008
Race: Other,6,0.6055430173873901,0.5493826866149902,0.5488687753677368,0.5488747358322144,0.555555522441864
Overall,7,0.6463717818260193,0.6021704077720642,0.604851484298706,0.6028120517730713,0.6170000433921814
Gender: Male,7,0.6659513711929321,0.6248217821121216,0.6298389434814453,0.6245466470718384,0.6326530575752258
Gender: Female,7,0.6250325441360474,0.5797749161720276,0.5799265503883362,0.5798482894897461,0.6019608378410339
Age: <40,7,0.6257416009902954,0.609960675239563,0.6086848974227905,0.6041913032531738,0.6045845746994019
Age: 40-50,7,0.6951789855957031,0.6240005493164062,0.6131182909011841,0.6146462559700012,0.6457564830780029
Age: 50-65,7,0.6004010438919067,0.5614645481109619,0.5665998458862305,0.5620054006576538,0.607894778251648
Race: White,7,0.6298960447311401,0.5804630517959595,0.5812520980834961,0.5798062086105347,0.5811808109283447
Race: Black,7,0.6749067306518555,0.6159250736236572,0.6159250736236572,0.6159250736236572,0.707317054271698
Race: Other,7,0.5909005403518677,0.5903985500335693,0.593621015548706,0.5906206369400024,0.6037735939025879
Overall,8,0.6691608428955078,0.6369627118110657,0.6342918872833252,0.6350646018981934,0.6450000405311584
Gender: Male,8,0.660980224609375,0.6212212443351746,0.621880054473877,0.6214561462402344,0.6260162591934204
Gender: Female,8,0.6769247651100159,0.6546623706817627,0.6451357007026672,0.6465087532997131,0.663385808467865
Age: <40,8,0.6411889791488647,0.6292219758033752,0.6260358691215515,0.6262195110321045,0.6326530575752258
Age: 40-50,8,0.7039993405342102,0.6448711156845093,0.6350588798522949,0.632195234298706,0.6412556171417236
Age: 50-65,8,0.6140427589416504,0.5961717963218689,0.5875850319862366,0.5900235176086426,0.656682014465332
Race: White,8,0.6298931837081909,0.598006010055542,0.597976803779602,0.5978723764419556,0.5978835821151733
Race: Black,8,0.6125156879425049,0.5729417204856873,0.5713725090026855,0.5721032023429871,0.6882129311561584
Race: Other,8,0.7454268932342529,0.747292697429657,0.7310144305229187,0.7294429540634155,0.7352941036224365
Overall,9,0.642203688621521,0.5958911180496216,0.5956980586051941,0.5957847833633423,0.6020000576972961
