group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5623503923416138,0.5430063009262085,0.5368652939796448,0.5323481559753418,0.5770000219345093
Gender: Male,0,0.5290589332580566,0.4868679642677307,0.48739224672317505,0.48633110523223877,0.5165975093841553
Gender: Female,0,0.5853734016418457,0.6147878170013428,0.5833913683891296,0.5747861266136169,0.6332046389579773
Age: <40,0,0.5810732841491699,0.5498936176300049,0.5481796264648438,0.5469578504562378,0.5559105277061462
Age: 40-50,0,0.5888949632644653,0.561904788017273,0.5466078519821167,0.5317604541778564,0.5813953280448914
Age: 50-65,0,0.5115445852279663,0.5082748532295227,0.506679892539978,0.5008990168571472,0.5897436141967773
Race: White,0,0.5759631395339966,0.5482085943222046,0.5442984104156494,0.5401906371116638,0.5578358173370361
Race: Black,0,0.5227272510528564,0.5188520550727844,0.5142743587493896,0.5111320614814758,0.66796875
Race: Other,0,0.501686692237854,0.4853607416152954,0.4881933927536011,0.4719352126121521,0.5144230723381042
Overall,1,0.554900050163269,0.5328525304794312,0.5279386043548584,0.5206058025360107,0.5590000152587891
Gender: Male,1,0.5297902226448059,0.4948396682739258,0.49510490894317627,0.4933798909187317,0.5191489458084106
Gender: Female,1,0.5735303163528442,0.579703688621521,0.5586005449295044,0.5434165000915527,0.5943396091461182
Age: <40,1,0.5567880868911743,0.5385571718215942,0.5371609926223755,0.5352664589881897,0.5432835817337036
Age: 40-50,1,0.6071832180023193,0.5212201476097107,0.5158371329307556,0.49685537815093994,0.550000011920929
Age: 50-65,1,0.5091770887374878,0.5201238393783569,0.5155611634254456,0.5055072903633118,0.5764705538749695
Race: White,1,0.5414422750473022,0.526444673538208,0.5240384340286255,0.5155684947967529,0.529629647731781
Race: Black,1,0.5329813361167908,0.537320613861084,0.5328282713890076,0.5336162447929382,0.6704545617103577
Race: Other,1,0.5420181751251221,0.4835699796676636,0.48734772205352783,0.4572441279888153,0.4897959232330322
Overall,2,0.5720731019973755,0.5410080552101135,0.5356839895248413,0.5294339656829834,0.5610000491142273
Gender: Male,2,0.5477029085159302,0.4998244643211365,0.49983012676239014,0.49909257888793945,0.5208333730697632
Gender: Female,2,0.5926036834716797,0.5966199040412903,0.5724977850914001,0.5566235184669495,0.5980769395828247
Age: <40,2,0.595207691192627,0.5618842840194702,0.5591141581535339,0.5542938709259033,0.5594202876091003
Age: 40-50,2,0.5875248908996582,0.5468466877937317,0.5385763049125671,0.5296714305877686,0.5708333849906921
Age: 50-65,2,0.5269418358802795,0.4977407455444336,0.49817758798599243,0.4889709949493408,0.5566264986991882
Race: White,2,0.6032862663269043,0.5700320601463318,0.5650297403335571,0.558135986328125,0.5669013857841492
Race: Black,2,0.460742712020874,0.44715315103530884,0.4571618139743805,0.44950902462005615,0.6025104522705078
Race: Other,2,0.5242897272109985,0.4623989164829254,0.46974626183509827,0.45081302523612976,0.4922279715538025
Overall,3,0.5619021654129028,0.553646445274353,0.5466772317886353,0.5412701368331909,0.5730000138282776
Gender: Male,3,0.539931058883667,0.5155452489852905,0.5142507553100586,0.5099824666976929,0.5327695608139038
Gender: Female,3,0.5785348415374756,0.5913071036338806,0.5747863054275513,0.568869948387146,0.6091081500053406
Age: <40,3,0.5354512929916382,0.528956949710846,0.528494656085968,0.5234583616256714,0.5242165327072144
Age: 40-50,3,0.6218576431274414,0.6203593015670776,0.5992253422737122,0.5944715142250061,0.6293103694915771
Age: 50-65,3,0.5103276371955872,0.49463212490081787,0.49591729044914246,0.48587095737457275,0.5827338099479675
Race: White,3,0.5555013418197632,0.5468779802322388,0.5427882671356201,0.5319697856903076,0.5416666865348816
Race: Black,3,0.5893371105194092,0.5846812129020691,0.5729665756225586,0.5761521458625793,0.6870229244232178
Race: Other,3,0.4710758924484253,0.4835543632507324,0.4857221841812134,0.476157009601593,0.5095238089561462
Overall,4,0.5883002877235413,0.5705420970916748,0.5603535175323486,0.5561560988426208,0.5940000414848328
Gender: Male,4,0.560915470123291,0.5333130359649658,0.5306978225708008,0.527503252029419,0.5496032238006592
