group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6204063892364502,0.5715929865837097,0.5606080889701843,0.5570480823516846,0.6010000109672546
Gender: Male,0,0.560326874256134,0.5214872360229492,0.5212464332580566,0.521281361579895,0.54356849193573
Gender: Female,0,0.6795342564582825,0.6539115905761719,0.5980938673019409,0.585698127746582,0.65444016456604
Age: <40,0,0.6391764879226685,0.5932643413543701,0.5907503366470337,0.5904162526130676,0.5974440574645996
Age: 40-50,0,0.6466875076293945,0.6295102834701538,0.5985475182533264,0.5892752408981323,0.6317829489707947
Age: 50-65,0,0.5736967325210571,0.49093663692474365,0.49319908022880554,0.4825020432472229,0.5850815773010254
Race: White,0,0.6362589597702026,0.5849970579147339,0.57049959897995,0.5604133605957031,0.5895522236824036
Race: Black,0,0.5848485231399536,0.4871278405189514,0.48700159788131714,0.48705536127090454,0.60546875
Race: Other,0,0.6086956262588501,0.6215201020240784,0.6030734777450562,0.5978982448577881,0.625
Overall,1,0.5787250399589539,0.535435676574707,0.5288809537887573,0.5188236832618713,0.5630000233650208
Gender: Male,1,0.5409790277481079,0.4983416795730591,0.49841493368148804,0.49712541699409485,0.521276593208313
Gender: Female,1,0.6210787296295166,0.5917857885360718,0.5581939220428467,0.5335823893547058,0.6000000238418579
Age: <40,1,0.5966864824295044,0.5883713960647583,0.5847348570823669,0.5831857919692993,0.5910447835922241
Age: 40-50,1,0.629666268825531,0.5041797161102295,0.5033936500549316,0.48994308710098267,0.5333333611488342
Age: 50-65,1,0.5124630331993103,0.46819859743118286,0.480202317237854,0.4514472484588623,0.5576470494270325
Race: White,1,0.5777198076248169,0.5396825075149536,0.5333791375160217,0.5177112817764282,0.5407407283782959
Race: Black,1,0.575757622718811,0.5027284026145935,0.502525269985199,0.5021339654922485,0.6401515603065491
Race: Other,1,0.5487868785858154,0.5228922367095947,0.5180672407150269,0.4924517869949341,0.5204081535339355
Overall,2,0.5887699127197266,0.5666882991790771,0.55782151222229,0.5525170564651489,0.5830000042915344
Gender: Male,2,0.5693234801292419,0.5359121561050415,0.5361594557762146,0.5359756946563721,0.5479167103767395
Gender: Female,2,0.6305572986602783,0.6322553157806396,0.5849471092224121,0.5603355169296265,0.6153846383094788
Age: <40,2,0.6179593801498413,0.6004222631454468,0.5998958349227905,0.5994312763214111,0.6000000238418579
Age: 40-50,2,0.6140949130058289,0.6200716495513916,0.5856777429580688,0.5726495981216431,0.6250000596046448
Age: 50-65,2,0.526498556137085,0.46946167945861816,0.47747868299484253,0.4602935314178467,0.5445783138275146
Race: White,2,0.6336061954498291,0.5833815336227417,0.5732638835906982,0.5612775087356567,0.5757042169570923
Race: Black,2,0.4823165535926819,0.4770021438598633,0.4774535596370697,0.47718751430511475,0.589958131313324
Race: Other,2,0.5458685755729675,0.5903743505477905,0.577477753162384,0.5703767538070679,0.5958548784255981
Overall,3,0.6213244199752808,0.5900251865386963,0.5787498950958252,0.5752896070480347,0.6040000319480896
Gender: Male,3,0.615221381187439,0.5629425644874573,0.5609579086303711,0.5606838464736938,0.5729386806488037
Gender: Female,3,0.6292994022369385,0.6236517429351807,0.5918803215026855,0.5826475024223328,0.6318785548210144
Age: <40,3,0.5811339616775513,0.5890467166900635,0.5880253911018372,0.5836366415023804,0.5840455889701843
Age: 40-50,3,0.6491987705230713,0.5669276714324951,0.55517578125,0.5473170876502991,0.5862069129943848
Age: 50-65,3,0.5995116233825684,0.5643645524978638,0.5489544868469238,0.5449662804603577,0.6306954622268677
Race: White,3,0.6393990516662598,0.5975961089134216,0.5865092277526855,0.573651909828186,0.5852273106575012
Race: Black,3,0.5945726633071899,0.5277458429336548,0.5284639596939087,0.5280138254165649,0.6221374273300171
