group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5752853155136108,0.5629938840866089,0.5629938840866089,0.5629629492759705,0.5629629492759705
Gender: Female,0,0.5752853155136108,0.5629938840866089,0.5629938840866089,0.5629629492759705,0.5629629492759705
Age: <40,0,0.6851851940155029,0.625,0.625,0.6000000238418579,0.6000000238418579
Age: 40-50,0,0.47333329916000366,0.5349650382995605,0.5333333611488342,0.5126944780349731,0.5142857432365417
Age: 50-65,0,0.5115089416503906,0.5538846850395203,0.5549871921539307,0.5488722324371338,0.550000011920929
Race: White,0,0.47697368264198303,0.5106908082962036,0.5106908082962036,0.5106908082962036,0.5142857432365417
Race: Other,0,0.7560096383094788,0.6379310488700867,0.6394230723381042,0.6369597911834717,0.6379310488700867
Overall,1,0.4594356417655945,0.4761905074119568,0.4761905074119568,0.4740740656852722,0.4740740656852722
Gender: Female,1,0.4594356417655945,0.4761905074119568,0.4761905074119568,0.4740740656852722,0.4740740656852722
Age: <40,1,0.49919480085372925,0.4830917716026306,0.4830917716026306,0.47999998927116394,0.47999998927116394
Age: 40-50,1,0.4224599003791809,0.43589746952056885,0.4331550896167755,0.4256410300731659,0.4285714626312256
Age: 50-65,1,0.4049999713897705,0.5031969547271729,0.503125011920929,0.49060094356536865,0.4912280738353729
Race: White,1,0.3653225898742676,0.5008013248443604,0.500806450843811,0.5007032155990601,0.5070422291755676
Race: Black,1,0.0,0.0625,0.1666666716337204,0.09090909361839294,0.10000000149011612
Race: Other,1,0.656551718711853,0.49289774894714355,0.4931034445762634,0.49145448207855225,0.5
Overall,2,0.6031818389892578,0.5791827440261841,0.5744317770004272,0.5745798349380493,0.5999999642372131
Gender: Female,2,0.6031818389892578,0.5791827440261841,0.5744317770004272,0.5745798349380493,0.5999999642372131
Age: <40,2,0.7521367073059082,0.6846153736114502,0.6367521286010742,0.614619255065918,0.6415094137191772
Age: 40-50,2,0.5866667032241821,0.5066666603088379,0.5066666603088379,0.5066666603088379,0.5675675868988037
Age: 50-65,2,0.4852941036224365,0.5750988125801086,0.5798319578170776,0.570135772228241,0.5777778029441833
Race: White,2,0.46206897497177124,0.5059523582458496,0.5051723718643188,0.4981818199157715,0.5362318754196167
Race: Black,2,0.4761905074119568,0.6875,0.6428571343421936,0.4949495196342468,0.5
Race: Other,2,0.8181818723678589,0.6885964870452881,0.6699604988098145,0.6729645729064941,0.6964285969734192
Overall,3,0.6349031925201416,0.6067648530006409,0.6021126508712769,0.6003016829490662,0.6074073910713196
Gender: Female,3,0.6349031925201416,0.6067648530006409,0.6021126508712769,0.6003016829490662,0.6074073910713196
Age: <40,3,0.8100358247756958,0.7121794819831848,0.6482974886894226,0.6042995452880859,0.6268656849861145
Age: 40-50,3,0.75,0.6990950107574463,0.6964285373687744,0.696969747543335,0.7000000476837158
Age: 50-65,3,0.425595223903656,0.5461538434028625,0.5446428656578064,0.49965351819992065,0.5
Race: White,3,0.46875,0.5466595888137817,0.5458333492279053,0.5460993051528931,0.578125
Race: Other,3,0.8398398160934448,0.6933197975158691,0.6911911964416504,0.6717948913574219,0.671875
Overall,4,0.6141501665115356,0.5709876418113708,0.5701853632926941,0.5704545378684998,0.585185170173645
Gender: Female,4,0.6141501665115356,0.5709876418113708,0.5701853632926941,0.5704545378684998,0.585185170173645
Age: <40,4,0.8657635450363159,0.6835547685623169,0.636083722114563,0.607926607131958,0.6315789222717285
Age: 40-50,4,0.5882352590560913,0.5641025900840759,0.5668449401855469,0.5625,0.5714285969734192
Age: 50-65,4,0.5036764740943909,0.554750382900238,0.5625,0.5308037400245667,0.5399999618530273
Race: White,4,0.3708333373069763,0.46274039149284363,0.45694443583488464,0.45075756311416626,0.48275861144065857
Race: Black,4,0.75,0.75,0.875,0.761904776096344,0.800000011920929
Race: Other,4,0.769713282585144,0.6656976938247681,0.6532257795333862,0.6378378868103027,0.641791045665741
Overall,5,0.6747359037399292,0.6319444179534912,0.6317121386528015,0.6296093463897705,0.6296296119689941
Gender: Female,5,0.6747359037399292,0.6319444179534912,0.6317121386528015,0.6296093463897705,0.6296296119689941
Age: <40,5,0.9069767594337463,0.7161110639572144,0.7512919902801514,0.6677559614181519,0.6721311211585999
Age: 40-50,5,0.5789473652839661,0.5128676891326904,0.5131579041481018,0.5111111402511597,0.5151515007019043
Age: 50-65,5,0.6269841194152832,0.6710526347160339,0.6891534328460693,0.6533816456794739,0.6585365533828735
Race: White,5,0.6228571534156799,0.6437621712684631,0.6404762268066406,0.6407113671302795,0.6461538672447205
Race: Black,5,0.523809552192688,0.6333333253860474,0.5952380895614624,0.5751634240150452,0.6153846383094788
Race: Other,5,0.7531969547271729,0.6234490871429443,0.627237856388092,0.6129629611968994,0.6140350699424744
Overall,6,0.6774479150772095,0.6176470518112183,0.6107665300369263,0.6098929047584534,0.6222221851348877
Gender: Female,6,0.6774479150772095,0.6176470518112183,0.6107665300369263,0.6098929047584534,0.6222221851348877
Age: <40,6,0.8276190757751465,0.7566666603088379,0.6833333373069763,0.6425000429153442,0.6615384817123413
Age: 40-50,6,0.6333333253860474,0.5,0.5,0.5,0.5199999809265137
Age: 50-65,6,0.5603448152542114,0.6399999856948853,0.6508620977401733,0.6192135214805603,0.6222222447395325
Race: White,6,0.5894649028778076,0.6086956262588501,0.6086956262588501,0.6086956262588501,0.6388888955116272
Race: Other,6,0.7927272319793701,0.6409938335418701,0.6375757455825806,0.6202380657196045,0.6206896305084229
Overall,7,0.5472112894058228,0.5507165193557739,0.549736499786377,0.546555757522583,0.5481481552124023
Gender: Female,7,0.5472112894058228,0.5507165193557739,0.549736499786377,0.546555757522583,0.5481481552124023
Age: <40,7,0.7924298048019409,0.670634925365448,0.6575091481208801,0.5822890996932983,0.5833333730697632
Age: 40-50,7,0.469565212726593,0.5333333611488342,0.539130449295044,0.5037593841552734,0.5151515007019043
Age: 50-65,7,0.4522727429866791,0.5249999761581421,0.5249999761581421,0.523809552192688,0.523809552192688
Race: White,7,0.5068627595901489,0.5583333373069763,0.5549019575119019,0.5515515804290771,0.5625
Race: Other,7,0.609533429145813,0.5575757622718811,0.5578093528747559,0.555443525314331,0.5555555820465088
Overall,8,0.5783926248550415,0.5479751825332642,0.5457839369773865,0.5417107343673706,0.5481481552124023
Gender: Female,8,0.5783926248550415,0.5479751825332642,0.5457839369773865,0.5417107343673706,0.5481481552124023
Age: <40,8,0.7493691444396973,0.6598639488220215,0.638351559638977,0.5947064161300659,0.6000000238418579
