group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.4702947735786438,0.4721485376358032,0.4761905074119568,0.45221447944641113,0.46808508038520813
Gender: Male,0,0.6971514225006104,0.668749988079071,0.6619189977645874,0.6629812717437744,0.6730769276618958
Gender: Female,0,0.3389423191547394,0.17676767706871033,0.26923078298568726,0.19183672964572906,0.2142857164144516
Age: 50-65,0,0.4702947735786438,0.4721485376358032,0.4761905074119568,0.45221447944641113,0.46808508038520813
Race: White,0,0.44077134132385254,0.3787878751754761,0.3787878751754761,0.3636363744735718,0.3636363446712494
Race: Other,0,0.4266666769981384,0.546583890914917,0.5333333611488342,0.49760764837265015,0.5333333611488342
Overall,1,0.49010586738586426,0.5125448107719421,0.5112747550010681,0.48351651430130005,0.4893616735935211
Gender: Male,1,0.6209876537322998,0.6337838172912598,0.6222222447395325,0.6081249713897705,0.6140350699424744
Gender: Female,1,0.33850932121276855,0.3164335787296295,0.33695653080940247,0.2926470637321472,0.29729729890823364
Age: 50-65,1,0.49010586738586426,0.5125448107719421,0.5112747550010681,0.48351651430130005,0.4893616735935211
Race: White,1,0.3697916865348816,0.3502415418624878,0.3385416865348816,0.3333333432674408,0.3400000035762787
Race: Black,1,0.0,0.4583333432674408,0.5,0.47826087474823,0.9166666865348816
Race: Other,1,0.6833333373069763,0.6666666865348816,0.6333333253860474,0.5555555820465088,0.5625
Overall,2,0.6213152408599854,0.5871975421905518,0.5784580707550049,0.5710775852203369,0.585106372833252
Gender: Male,2,0.7638888955116272,0.788095235824585,0.7800925970077515,0.7812865972518921,0.7843137383460999
Gender: Female,2,0.5541125535964966,0.29403409361839294,0.3430735766887665,0.30324074625968933,0.3488371968269348
Age: 50-65,2,0.6213152408599854,0.5871975421905518,0.5784580707550049,0.5710775852203369,0.585106372833252
Race: White,2,0.5092838406562805,0.4035714268684387,0.4104774594306946,0.4021739065647125,0.41818180680274963
Race: Other,2,0.8518518805503845,0.8571428656578064,0.8333333730697632,0.8166666626930237,0.8181818723678589
Overall,3,0.6031818389892578,0.6284210681915283,0.5831817984580994,0.5306296348571777,0.563829779624939
Gender: Male,3,0.9259259700775146,0.8255578279495239,0.8128654956817627,0.817460298538208,0.8260869979858398
Gender: Female,3,0.6261860132217407,0.16304348409175873,0.44117647409439087,0.2380952388048172,0.3125
Age: 50-65,3,0.6031818389892578,0.6284210681915283,0.5831817984580994,0.5306296348571777,0.563829779624939
Race: White,3,0.5059523582458496,0.49444445967674255,0.4960317611694336,0.4171539843082428,0.43478262424468994
Race: Other,3,0.7727272510528564,0.7831541299819946,0.6994949579238892,0.6925227046012878,0.7250000238418579
Overall,4,0.6358276605606079,0.5822916626930237,0.5716553330421448,0.5524329543113708,0.563829779624939
Gender: Male,4,0.7942177057266235,0.7353448271751404,0.7321428656578064,0.7141666412353516,0.714285671710968
Gender: Female,4,0.482142835855484,0.3285714387893677,0.380952388048172,0.3357025682926178,0.4000000059604645
Age: 50-65,4,0.6358276605606079,0.5822916626930237,0.5716553330421448,0.5524329543113708,0.563829779624939
Race: White,4,0.4864515960216522,0.4194444417953491,0.42516130208969116,0.405978798866272,0.4107142984867096
Race: Other,4,0.889423131942749,0.8421052694320679,0.8125,0.790865421295166,0.7931034564971924
Overall,5,0.6680653095245361,0.6005305051803589,0.5883449912071228,0.5480769276618958,0.5531914830207825
Gender: Male,5,0.7851428985595703,0.7106227278709412,0.6971428394317627,0.6651785373687744,0.6666666865348816
Gender: Female,5,0.6000000238418579,0.36057692766189575,0.39642858505249023,0.3321428596973419,0.3529411852359772
Age: 50-65,5,0.6680653095245361,0.6005305051803589,0.5883449912071228,0.5480769276618958,0.5531914830207825
Race: White,5,0.5753968358039856,0.5141891837120056,0.5138888955116272,0.4735221564769745,0.4736842215061188
Race: Other,5,0.8009259700775146,0.70634925365448,0.6805555820465088,0.6296296119689941,0.6333333849906921
Overall,6,0.6370269060134888,0.6098790168762207,0.5994071960449219,0.5793459415435791,0.585106372833252
Gender: Male,6,0.7271364331245422,0.7257575988769531,0.7233883142471313,0.7114317417144775,0.7115384936332703
Gender: Female,6,0.5840909481048584,0.41874998807907104,0.44090908765792847,0.39423078298568726,0.4285714328289032
Age: 50-65,6,0.6370269060134888,0.6098790168762207,0.5994071960449219,0.5793459415435791,0.585106372833252
Race: White,6,0.45962733030319214,0.44117647409439087,0.44720494747161865,0.42339181900024414,0.4313725531101227
Race: Other,6,0.843478262424469,0.7710144519805908,0.7710144519805908,0.7368420958518982,0.7368420958518982
Overall,7,0.5932971239089966,0.5795755982398987,0.5679347515106201,0.549081563949585,0.563829779624939
Gender: Male,7,0.7528735995292664,0.7431818246841431,0.7306034564971924,0.7153598070144653,0.7169811725616455
