group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5708955526351929,0.51865154504776,0.5176690220832825,0.5116589665412903,0.5185185074806213
Gender: Female,0,0.5708955526351929,0.51865154504776,0.5176690220832825,0.5116589665412903,0.5185185074806213
Age: <40,0,0.7060185670852661,0.5486111044883728,0.5486111044883728,0.5486111044883728,0.5666667222976685
Age: 40-50,0,0.5199999809265137,0.5641025900840759,0.550000011920929,0.4995794892311096,0.5142857432365417
Age: 50-65,0,0.40409207344055176,0.4536340832710266,0.4526854157447815,0.44862157106399536,0.45000001788139343
Race: White,0,0.3955591917037964,0.40416666865348816,0.40542763471603394,0.3995097875595093,0.4000000059604645
Race: Other,0,0.786057710647583,0.6711711883544922,0.6598557829856873,0.6601911783218384,0.6724137663841248
Overall,1,0.5191799402236938,0.5138822793960571,0.5128968358039856,0.49830830097198486,0.5037037134170532
Gender: Female,1,0.5191799402236938,0.5138822793960571,0.5128968358039856,0.49830830097198486,0.5037037134170532
Age: <40,1,0.5780998468399048,0.5534805059432983,0.5507246255874634,0.5484400391578674,0.5600000023841858
Age: 40-50,1,0.5133689641952515,0.5240641832351685,0.5240641832351685,0.5,0.5
Age: 50-65,1,0.45249998569488525,0.4736842215061188,0.4762499928474426,0.45004671812057495,0.45614033937454224
Race: White,1,0.33870968222618103,0.3569711446762085,0.3560483753681183,0.3519841432571411,0.35211268067359924
Race: Black,1,0.0,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.20000000298023224
Race: Other,1,0.7586206793785095,0.7927631139755249,0.7455172538757324,0.7444484829902649,0.7592592835426331
Overall,2,0.5893181562423706,0.558205246925354,0.5585227012634277,0.5407155752182007,0.5407407283782959
Gender: Female,2,0.5893181562423706,0.558205246925354,0.5585227012634277,0.5407155752182007,0.5407407283782959
Age: <40,2,0.7150996923446655,0.6056034564971924,0.6047008633613586,0.6032085418701172,0.6037735939025879
Age: 40-50,2,0.5800000429153442,0.5310559272766113,0.5333333611488342,0.4849817156791687,0.4864864945411682
Age: 50-65,2,0.4642857313156128,0.5370370149612427,0.5378151535987854,0.510869562625885,0.5111111402511597
Race: White,2,0.4275861978530884,0.4461206793785095,0.4461206793785095,0.43478259444236755,0.43478262424468994
Race: Black,2,0.0952380895614624,0.15000000596046448,0.5,0.23076923191547394,0.30000001192092896
Race: Other,2,0.8445322513580322,0.71775221824646,0.7246376872062683,0.7128205299377441,0.7142857313156128
Overall,3,0.6459066867828369,0.576248288154602,0.5746038556098938,0.5692121386528015,0.5703703761100769
Gender: Female,3,0.6459066867828369,0.576248288154602,0.5746038556098938,0.5692121386528015,0.5703703761100769
