group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5779192447662354,0.5481661558151245,0.5478489995002747,0.5472538471221924,0.5481481552124023
Gender: Female,0,0.5779192447662354,0.5481661558151245,0.5478489995002747,0.5472538471221924,0.5481481552124023
Age: <40,0,0.6863425970077515,0.6333333253860474,0.6388888955116272,0.6296296119689941,0.6333333849906921
Age: 40-50,0,0.6333333253860474,0.5349650382995605,0.5333333611488342,0.5126944780349731,0.5142857432365417
Age: 50-65,0,0.45524299144744873,0.4536340832710266,0.4526854157447815,0.44862157106399536,0.45000001788139343
Race: White,0,0.40460526943206787,0.4115478992462158,0.4111841917037964,0.4112820625305176,0.41428571939468384
Race: Other,0,0.8052884340286255,0.7613636255264282,0.7487980723381042,0.751225471496582,0.7586206793785095
Overall,1,0.5745149850845337,0.4810924530029297,0.4821428656578064,0.46988552808761597,0.4740740656852722
Gender: Female,1,0.5745149850845337,0.4810924530029297,0.4821428656578064,0.46988552808761597,0.4740740656852722
Age: <40,1,0.5780998468399048,0.4878472089767456,0.488727867603302,0.483257532119751,0.5
Age: 40-50,1,0.6417112350463867,0.5794872045516968,0.5828877091407776,0.5692307949066162,0.5714285969734192
Age: 50-65,1,0.5737500190734863,0.4141891896724701,0.4206250011920929,0.3988833725452423,0.4035087823867798
Race: White,1,0.3725806474685669,0.3350556492805481,0.3326612710952759,0.3332667350769043,0.3380281627178192
Race: Black,1,0.0,0.15000000596046448,0.5,0.23076923191547394,0.30000001192092896
Race: Other,1,0.838620662689209,0.7178571224212646,0.6682758331298828,0.6588628888130188,0.6851851940155029
Overall,2,0.6645454168319702,0.6169301271438599,0.6210227012634277,0.6122403740882874,0.614814817905426
Gender: Female,2,0.6645454168319702,0.6169301271438599,0.6210227012634277,0.6122403740882874,0.614814817905426
Age: <40,2,0.7094017267227173,0.6414285898208618,0.6410256624221802,0.6409982442855835,0.6415094137191772
Age: 40-50,2,0.7200000286102295,0.6196969747543335,0.6316666603088379,0.6209613680839539,0.6486486792564392
Age: 50-65,2,0.638655424118042,0.5991379022598267,0.5966386795043945,0.5553359985351562,0.5555555820465088
Race: White,2,0.5301724672317505,0.46465516090393066,0.46465516090393066,0.46465516090393066,0.47826087474823
Race: Black,2,0.2857142686843872,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.20000000298023224
Race: Other,2,0.9104083776473999,0.8709677457809448,0.8787878751754761,0.8569604158401489,0.8571429252624512
Overall,3,0.7055457830429077,0.6417394876480103,0.6355633735656738,0.6271542310714722,0.6296296119689941
Gender: Female,3,0.7055457830429077,0.6417394876480103,0.6355633735656738,0.6271542310714722,0.6296296119689941
