group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6744399070739746,0.529411792755127,0.5061728358268738,0.38461539149284363,0.5061728358268738
Gender: Male,0,0.6744399070739746,0.529411792755127,0.5061728358268738,0.38461539149284363,0.5061728358268738
Age: <40,0,0.6498820185661316,0.2753623127937317,0.46341463923454285,0.34545454382896423,0.5277777910232544
Age: 40-50,0,0.7217391729354858,0.8194444179534912,0.5666666626930237,0.5074775815010071,0.6578947305679321
Age: 50-65,0,0.6403361558914185,0.5416666865348816,0.5134453773498535,0.32307693362236023,0.36538463830947876
Race: White,0,0.6629711389541626,0.32258063554763794,0.4878048896789551,0.3883495032787323,0.6349206566810608
Race: Black,0,0.4375,0.5588235259056091,0.53125,0.16408668458461761,0.1666666716337204
Race: Other,0,0.6566707491874695,0.5222007632255554,0.5070379376411438,0.39249998331069946,0.48148149251937866
Overall,1,0.6323970556259155,0.5096153616905212,0.501589834690094,0.4358367919921875,0.6728395223617554
Gender: Male,1,0.6323970556259155,0.5096153616905212,0.501589834690094,0.4358367919921875,0.6728395223617554
Age: <40,1,0.5069444179534912,0.32608696818351746,0.46875,0.38461539149284363,0.625
Age: 40-50,1,0.9623655676841736,0.4189189076423645,0.5,0.45588234066963196,0.8378378748893738
Age: 50-65,1,0.5773809552192688,0.6433333158493042,0.5319940447807312,0.461382120847702,0.6226415038108826
Race: White,1,0.5936768054962158,0.4054054021835327,0.49180328845977783,0.4444444477558136,0.800000011920929
Race: Black,1,0.8461538553237915,0.0357142873108387,0.5,0.06666667014360428,0.0714285746216774
Race: Other,1,0.5544217824935913,0.5382353067398071,0.5110544562339783,0.4621279239654541,0.6575342416763306
Overall,2,0.6669551134109497,0.568332314491272,0.5196468830108643,0.47427883744239807,0.6666666865348816
Gender: Male,2,0.6669551134109497,0.568332314491272,0.5196468830108643,0.47427883744239807,0.6666666865348816
Age: <40,2,0.5805555582046509,0.3181818127632141,0.46666666865348816,0.37837839126586914,0.6086956858634949
Age: 40-50,2,0.8105263710021973,0.6590908765792847,0.5736842155456543,0.5818815231323242,0.7916666865348816
Age: 50-65,2,0.692307710647583,0.6798780560493469,0.5597165822982788,0.5035691261291504,0.6222222447395325
Race: White,2,0.7931034564971924,0.6571428775787354,0.5270935893058777,0.5078125,0.8055555820465088
Race: Black,2,0.5641025304794312,0.6000000238418579,0.5384615659713745,0.2380952537059784,0.25
Race: Other,2,0.5328525304794312,0.5132575631141663,0.5056089758872986,0.46542826294898987,0.6216216087341309
Overall,3,0.7389285564422607,0.5993589758872986,0.5166071057319641,0.46028783917427063,0.6913580298423767
Gender: Male,3,0.7389285564422607,0.5993589758872986,0.5166071057319641,0.46028783917427063,0.6913580298423767
Age: <40,3,0.6850000023841858,0.3529411852359772,0.47999998927116394,0.4067796468734741,0.6857143044471741
Age: 40-50,3,0.9444444179534912,0.921875,0.5833333134651184,0.6004842519760132,0.8484848737716675
Age: 50-65,3,0.6892856955528259,0.636904776096344,0.5273809432983398,0.4477004408836365,0.6101694703102112
Race: White,3,0.7850267291069031,0.8873239755630493,0.529411792755127,0.4920634925365448,0.7777777910232544
Race: Black,3,0.9076923131942749,0.6470588445663452,0.5384615659713745,0.29870131611824036,0.3333333432674408
Race: Other,3,0.6038461923599243,0.4852941036224365,0.496153861284256,0.44999998807907104,0.694444477558136
Overall,4,0.6360902786254883,0.3196202516555786,0.4809523820877075,0.38403043150901794,0.6234567761421204
Gender: Male,4,0.6360902786254883,0.3196202516555786,0.4809523820877075,0.38403043150901794,0.6234567761421204
Age: <40,4,0.5649350881576538,0.3196721374988556,0.4642857015132904,0.3786407709121704,0.609375
Age: 40-50,4,0.6935484409332275,0.4166666567325592,0.4838709533214569,0.447761207818985,0.8108108043670654
Age: 50-65,4,0.6584051847457886,0.26229506731033325,0.5,0.34408602118492126,0.5245901346206665
Race: White,4,0.7244898080825806,0.3636363744735718,0.4897959232330322,0.417391300201416,0.7164179086685181
Race: Black,4,0.5757575631141663,0.1071428582072258,0.5,0.1764705926179886,0.2142857313156128
Race: Other,4,0.5727763175964355,0.3205128312110901,0.4716981053352356,0.38167938590049744,0.6172839403152466
Overall,5,0.6320346593856812,0.5352197289466858,0.509379506111145,0.43956756591796875,0.604938268661499
Gender: Male,5,0.6320346593856812,0.5352197289466858,0.509379506111145,0.43956756591796875,0.604938268661499
Age: <40,5,0.5790424346923828,0.2985074520111084,0.4878048896789551,0.37037035822868347,0.5882353186607361
Age: 40-50,5,0.5949821472167969,0.563725471496582,0.5465949773788452,0.5487179756164551,0.7250000238418579
Age: 50-65,5,0.7462277412414551,0.6349999904632568,0.5370370745658875,0.43443652987480164,0.5370370149612427
Race: White,5,0.7543209791183472,0.8629032373428345,0.5277777910232544,0.47319233417510986,0.7301587462425232
Race: Black,5,0.8999999761581421,0.6000000238418579,0.6000000238418579,0.3333333432674408,0.3333333432674408
Race: Other,5,0.5148351192474365,0.41613924503326416,0.47087910771369934,0.39765664935112,0.5517241358757019
