group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.4176870584487915,0.2393617033958435,0.5,0.32374101877212524,0.4787233769893646
Gender: Male,0,0.52173912525177,0.2788461446762085,0.5,0.3580246865749359,0.5576923489570618
Gender: Female,0,0.2884615659713745,0.190476194024086,0.5,0.27586206793785095,0.380952388048172
Age: 50-65,0,0.4176870584487915,0.2393617033958435,0.5,0.32374101877212524,0.4787233769893646
Race: White,0,0.3154270052909851,0.20000000298023224,0.5,0.2857142984867096,0.3999999761581421
Race: Other,0,0.47111111879348755,0.25,0.5,0.3333333432674408,0.5
Overall,1,0.5315232276916504,0.21808511018753052,0.5,0.3037036955356598,0.43617019057273865
Gender: Male,1,0.5567901134490967,0.2368421107530594,0.5,0.3214285671710968,0.4736842215061188
Gender: Female,1,0.48447203636169434,0.18918919563293457,0.5,0.27450981736183167,0.37837839126586914
Age: 50-65,1,0.5315232276916504,0.21808511018753052,0.5,0.3037036955356598,0.43617019057273865
Race: White,1,0.5590277910232544,0.18000000715255737,0.5,0.2647058963775635,0.35999998450279236
Race: Black,1,0.8181818127632141,0.4583333432674408,0.5,0.47826087474823,0.9166666865348816
Race: Other,1,0.3499999940395355,0.1875,0.5,0.27272728085517883,0.375
Overall,2,0.5904761552810669,0.2606382966041565,0.5,0.3426573574542999,0.521276593208313
Gender: Male,2,0.6404321193695068,0.2647058963775635,0.5,0.3461538553237915,0.529411792755127
Gender: Female,2,0.5454545617103577,0.25581395626068115,0.5,0.3384615480899811,0.5116279125213623
Age: 50-65,2,0.5904761552810669,0.2606382966041565,0.5,0.3426573574542999,0.521276593208313
Race: White,2,0.6100795269012451,0.26363635063171387,0.5,0.3452380895614624,0.5272727012634277
Race: Other,2,0.414814829826355,0.22727273404598236,0.5,0.3125,0.4545454680919647
Overall,3,0.5349999666213989,0.23404255509376526,0.5,0.3188405930995941,0.46808508038520813
Gender: Male,3,0.48927873373031616,0.29347825050354004,0.5,0.36986300349235535,0.5869565606117249
Gender: Female,3,0.6356736421585083,0.1770833283662796,0.5,0.26153847575187683,0.3541666865348816
Age: 50-65,3,0.5349999666213989,0.23404255509376526,0.5,0.3188405930995941,0.46808508038520813
Race: White,3,0.5138888359069824,0.19565217196941376,0.5,0.28125,0.3913043439388275
Race: Other,3,0.5303030014038086,0.2750000059604645,0.5,0.35483869910240173,0.550000011920929
Overall,4,0.43900227546691895,0.2393617033958435,0.5,0.32374101877212524,0.4787233769893646
Gender: Male,4,0.4897959232330322,0.2142857164144516,0.5,0.30000001192092896,0.4285714328289032
Gender: Female,4,0.3769841194152832,0.2666666805744171,0.5,0.3478260934352875,0.5333333611488342
Age: 50-65,4,0.43900227546691895,0.2393617033958435,0.5,0.32374101877212524,0.4787233769893646
Race: White,4,0.3896774351596832,0.2232142835855484,0.5,0.3086419701576233,0.4464285969734192
Race: Other,4,0.42788463830947876,0.22413793206214905,0.5,0.3095238208770752,0.4482758641242981
Overall,5,0.6344988346099854,0.20744681358337402,0.5,0.29323309659957886,0.41489359736442566
Gender: Male,5,0.6251428127288818,0.2083333283662796,0.5,0.29411765933036804,0.4166666865348816
Gender: Female,5,0.6035714149475098,0.20588235557079315,0.5,0.2916666567325592,0.4117647111415863
