group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5732426643371582,0.5407509207725525,0.5403628349304199,0.5400022864341736,0.542553186416626
Gender: Male,0,0.6236881613731384,0.5681818127632141,0.5674662590026855,0.5575286746025085,0.5576923489570618
Gender: Female,0,0.572115421295166,0.5181818008422852,0.5192307829856873,0.5138888955116272,0.523809552192688
Age: 50-65,0,0.5732426643371582,0.5407509207725525,0.5403628349304199,0.5400022864341736,0.542553186416626
Race: White,0,0.5468319654464722,0.558355450630188,0.560606062412262,0.5564516186714172,0.5636363625526428
Race: Other,0,0.5244444608688354,0.460317462682724,0.46666669845581055,0.444444477558136,0.46666669845581055
Overall,1,0.6401288509368896,0.5394673347473145,0.5375057458877563,0.5361841917037964,0.5531914830207825
Gender: Male,1,0.7037037014961243,0.5816176533699036,0.5685185194015503,0.5558441877365112,0.5789473652839661
Gender: Female,1,0.568323016166687,0.5102338790893555,0.510869562625885,0.5044642686843872,0.5135135054588318
Age: 50-65,1,0.6401288509368896,0.5394673347473145,0.5375057458877563,0.5361841917037964,0.5531914830207825
Race: White,1,0.4739583134651184,0.46434634923934937,0.4635416865348816,0.4637494683265686,0.5
Race: Black,1,0.0,0.4444444477558136,0.3636363744735718,0.4000000059604645,0.6666666865348816
Race: Other,1,0.7708333134651184,0.5342857241630554,0.5249999761581421,0.5134502649307251,0.59375
Overall,2,0.5405895709991455,0.5202252864837646,0.517913818359375,0.49953705072402954,0.5106382966041565
Gender: Male,2,0.6759259104728699,0.6840909123420715,0.625,0.5805920958518982,0.6078431606292725
Gender: Female,2,0.3722943663597107,0.395652174949646,0.3961039185523987,0.3950216472148895,0.39534884691238403
Age: 50-65,2,0.5405895709991455,0.5202252864837646,0.517913818359375,0.49953705072402954,0.5106382966041565
Race: White,2,0.47347480058670044,0.47857141494750977,0.4801061153411865,0.46637672185897827,0.4727272689342499
Race: Other,2,0.5222222208976746,0.5277777910232544,0.5166666507720947,0.4761905074119568,0.5454545617103577
Overall,3,0.6068181991577148,0.540127694606781,0.5399999618530273,0.5400022864341736,0.542553186416626
Gender: Male,3,0.824561357498169,0.6806526780128479,0.6510721445083618,0.6019231081008911,0.6086956858634949
Gender: Female,3,0.5692600011825562,0.5166666507720947,0.5170778036117554,0.47894051671028137,0.4791666865348816
