group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5703012943267822,0.5329670310020447,0.5301291346549988,0.5288084745407104,0.5714285969734192
Gender: Male,0,0.678839921951294,0.5489417910575867,0.5397422313690186,0.5398646593093872,0.6617646813392639
Gender: Female,0,0.4223484992980957,0.4753860831260681,0.47585228085517883,0.47380954027175903,0.4769230782985687
Age: <40,0,0.4887218177318573,0.4409722089767456,0.43609023094177246,0.4378378391265869,0.5384615659713745
Age: 40-50,0,0.8721804618835449,0.804511308670044,0.804511308670044,0.804511308670044,0.8461538553237915
Age: 50-65,0,0.48799997568130493,0.4853801131248474,0.4866666793823242,0.46637672185897827,0.4727272689342499
Race: White,0,0.5703012943267822,0.5329670310020447,0.5301291346549988,0.5288084745407104,0.5714285969734192
Overall,1,0.6145385503768921,0.6680445671081543,0.6117886304855347,0.6070225834846497,0.6766917705535889
Gender: Male,1,0.6119929552078247,0.4571428596973419,0.48677247762680054,0.44168734550476074,0.6800000071525574
Gender: Female,1,0.5535714626312256,0.691763162612915,0.6773809790611267,0.6675716638565063,0.6724137663841248
Age: <40,1,0.5399999618530273,0.6048387289047241,0.5649999976158142,0.5595238208770752,0.6756756901741028
Age: 40-50,1,0.7218935489654541,0.8009259700775146,0.7884615659713745,0.7939622402191162,0.8205128312110901
Age: 50-65,1,0.6079404354095459,0.5982142686843872,0.5477667450904846,0.49705880880355835,0.5789473652839661
Race: White,1,0.6145385503768921,0.6680445671081543,0.6117886304855347,0.6070225834846497,0.6766917705535889
Overall,2,0.5023547410964966,0.5044275522232056,0.5036630034446716,0.4996805787086487,0.6015037894248962
Gender: Male,2,0.6174602508544922,0.5416666865348816,0.5285714268684387,0.5249999761581421,0.6842105388641357
Gender: Female,2,0.4134542942047119,0.4739057123661041,0.47656840085983276,0.4729542136192322,0.5394737124443054
Age: <40,2,0.5246710777282715,0.45684802532196045,0.4621710479259491,0.45787864923477173,0.5740740895271301
Age: 40-50,2,0.7333333492279053,0.7453703880310059,0.6261904835700989,0.6309523582458496,0.7419354915618896
Age: 50-65,2,0.388671875,0.4663865566253662,0.46875,0.46666669845581055,0.5416666865348816
Race: White,2,0.5023547410964966,0.5044275522232056,0.5036630034446716,0.4996805787086487,0.6015037894248962
Overall,3,0.5799236297607422,0.5584677457809448,0.5593289732933044,0.5588573813438416,0.6315789818763733
Gender: Male,3,0.661556601524353,0.5983051061630249,0.5683962106704712,0.5734890103340149,0.739130437374115
Gender: Female,3,0.47932130098342896,0.5068627595901489,0.5074231624603271,0.5008804798126221,0.515625
Age: <40,3,0.6080585718154907,0.5417956709861755,0.5494505763053894,0.5416666865348816,0.6363636255264282
Age: 40-50,3,0.7380952835083008,0.7543859481811523,0.7301587462425232,0.7401247620582581,0.7999999523162842
Age: 50-65,3,0.4690402150154114,0.4959150552749634,0.4961300194263458,0.49523812532424927,0.5471698045730591
Race: White,3,0.5799236297607422,0.5584677457809448,0.5593289732933044,0.5588573813438416,0.6315789818763733
