group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5133889317512512,0.5529279112815857,0.5309481620788574,0.4778684973716736,0.5333333015441895
Gender: Female,0,0.5133889317512512,0.5529279112815857,0.5309481620788574,0.4778684973716736,0.5333333015441895
Age: <40,0,0.4861111044883728,0.5186335444450378,0.5138888955116272,0.4993581473827362,0.5666667222976685
Age: 40-50,0,0.5099999904632568,0.5520833730697632,0.5166666507720947,0.3848288655281067,0.4571428596973419
Age: 50-65,0,0.6445013284683228,0.6709957122802734,0.6010230183601379,0.5199999809265137,0.550000011920929
Race: White,0,0.43174341320991516,0.5178571343421936,0.5115131735801697,0.44930070638656616,0.48571428656578064
Race: Other,0,0.6850961446762085,0.5916666984558105,0.5528846383094788,0.5166666507720947,0.5862069129943848
Overall,1,0.5921516418457031,0.49591654539108276,0.4980158805847168,0.4115660786628723,0.4740740656852722
Gender: Female,1,0.5921516418457031,0.49591654539108276,0.4980158805847168,0.4115660786628723,0.4740740656852722
Age: <40,1,0.5056360960006714,0.23863635957241058,0.3888888955116272,0.2957746386528015,0.41999998688697815
Age: 40-50,1,0.529411792755127,0.5833333134651184,0.5427807569503784,0.4285714626312256,0.4642857313156128
Age: 50-65,1,0.7012499570846558,0.6284722089767456,0.5693750381469727,0.48580020666122437,0.5263158082962036
Race: White,1,0.4911290407180786,0.512005627155304,0.5068548321723938,0.4235042929649353,0.4647887349128723
Race: Black,1,0.5714285373687744,0.15000000596046448,0.5,0.23076923191547394,0.30000001192092896
Race: Other,1,0.7599999904632568,0.48024314641952515,0.49103447794914246,0.42269736528396606,0.5185185074806213
Overall,2,0.6447727680206299,0.6518181562423706,0.5948863625526428,0.5090909004211426,0.5333333015441895
Gender: Female,2,0.6447727680206299,0.6518181562423706,0.5948863625526428,0.5090909004211426,0.5333333015441895
Age: <40,2,0.6225070953369141,0.6721153855323792,0.6274928450584412,0.5984848737716675,0.6226415038108826
Age: 40-50,2,0.5566666126251221,0.5940859913825989,0.5583333373069763,0.4171042740345001,0.4324324429035187
Age: 50-65,2,0.7752101421356201,0.7179487347602844,0.6071428656578064,0.480042040348053,0.5111111402511597
Race: White,2,0.5551724433898926,0.6339869499206543,0.6060344576835632,0.5538793206214905,0.5652173757553101
Race: Black,2,0.5714285373687744,0.6875,0.6428571343421936,0.4949495196342468,0.5
Race: Other,2,0.7549407482147217,0.7254902124404907,0.5757575631141663,0.44238975644111633,0.5
Overall,3,0.6144366264343262,0.5602477788925171,0.5353212952613831,0.47218045592308044,0.5185185074806213
Gender: Female,3,0.6144366264343262,0.5602477788925171,0.5353212952613831,0.47218045592308044,0.5185185074806213
Age: <40,3,0.6030465364456177,0.5455127954483032,0.5318100452423096,0.5034584999084473,0.5522388219833374
Age: 40-50,3,0.5982142686843872,0.5740740895271301,0.5267857313156128,0.4223363399505615,0.5
Age: 50-65,3,0.699404776096344,0.6197916269302368,0.5684523582458496,0.4492753744125366,0.4736842215061188
Race: White,3,0.453125,0.5,0.5,0.4285714328289032,0.4375
Race: Other,3,0.7157156467437744,0.5839599370956421,0.53353351354599,0.47934916615486145,0.59375
Overall,4,0.5639692544937134,0.5485714673995972,0.5384267568588257,0.48380568623542786,0.4962962865829468
Gender: Female,4,0.5639692544937134,0.5485714673995972,0.5384267568588257,0.48380568623542786,0.4962962865829468
Age: <40,4,0.5849753618240356,0.5452702641487122,0.5412561893463135,0.5321969985961914,0.5438596606254578
Age: 40-50,4,0.5133689641952515,0.4375,0.4679144322872162,0.3523809611797333,0.392857164144516
Age: 50-65,4,0.6084558963775635,0.6468531489372253,0.6158088445663452,0.4949495196342468,0.5
Race: White,4,0.41388893127441406,0.46915584802627563,0.47361111640930176,0.37634408473968506,0.37931033968925476
Race: Black,4,0.875,0.75,0.875,0.761904776096344,0.800000011920929
Race: Other,4,0.6102150678634644,0.5455127954483032,0.5318100452423096,0.5034584999084473,0.5522388219833374
Overall,5,0.5266284942626953,0.49651092290878296,0.4974691867828369,0.4665948152542114,0.5111110806465149
Gender: Female,5,0.5266284942626953,0.49651092290878296,0.4974691867828369,0.4665948152542114,0.5111110806465149
Age: <40,5,0.5568475723266602,0.5291666984558105,0.5316537618637085,0.528884768486023,0.5901638865470886
Age: 40-50,5,0.5338345766067505,0.49725276231765747,0.4981203079223633,0.42884618043899536,0.4545454680919647
Age: 50-65,5,0.7037037014961243,0.6891891956329346,0.5740740895271301,0.40354207158088684,0.4390243887901306
Race: White,5,0.35904762148857117,0.374387264251709,0.40238094329833984,0.3589743673801422,0.38461539149284363
Race: Black,5,0.6666666269302368,0.8181818127632141,0.6666666865348816,0.6388888955116272,0.692307710647583
Race: Other,5,0.6368286609649658,0.5874125957489014,0.5639386177062988,0.5534188151359558,0.6140350699424744
Overall,6,0.6047850847244263,0.6048387289047241,0.5748781561851501,0.5246753096580505,0.5481481552124023
Gender: Female,6,0.6047850847244263,0.6048387289047241,0.5748781561851501,0.5246753096580505,0.5481481552124023
Age: <40,6,0.6038094758987427,0.5650118589401245,0.5523809790611267,0.5376016497612,0.5692307949066162
Age: 40-50,6,0.6800000667572021,0.6785714626312256,0.6499999761581421,0.5941558480262756,0.5999999642372131
Age: 50-65,6,0.6594827771186829,0.7051281929016113,0.6034482717514038,0.4623376727104187,0.4888888895511627
Race: White,6,0.5050166845321655,0.543850302696228,0.5342808961868286,0.44973546266555786,0.4583333432674408
Race: Other,6,0.7248485088348389,0.6485507488250732,0.5993939638137817,0.5833048224449158,0.6379310488700867
Overall,7,0.6776460409164429,0.5619713664054871,0.541831374168396,0.5046616792678833,0.5481481552124023
Gender: Female,7,0.6776460409164429,0.5619713664054871,0.541831374168396,0.5046616792678833,0.5481481552124023
Age: <40,7,0.6324785947799683,0.5905006527900696,0.5860806107521057,0.5874999761581421,0.6333333849906921
Age: 40-50,7,0.7956521511077881,0.6666666865348816,0.5652173757553101,0.36538460850715637,0.39393940567970276
Age: 50-65,7,0.7250000238418579,0.6142857074737549,0.5636363625526428,0.49968650937080383,0.5476190447807312
Race: White,7,0.5362745523452759,0.5208333134651184,0.5156862735748291,0.47487181425094604,0.5
Race: Other,7,0.7941176295280457,0.5759804248809814,0.5471602082252502,0.5119081735610962,0.5714285969734192
Overall,8,0.647562563419342,0.579285740852356,0.5609354376792908,0.530815601348877,0.555555522441864
Gender: Female,8,0.647562563419342,0.579285740852356,0.5609354376792908,0.530815601348877,0.555555522441864
Age: <40,8,0.6913372278213501,0.5800185203552246,0.5727502107620239,0.5716783404350281,0.6000000238418579
Age: 40-50,8,0.5707070827484131,0.5538461804389954,0.5353535413742065,0.37671959400177,0.3870967626571655
Age: 50-65,8,0.6423611044883728,0.70634925365448,0.6354166865348816,0.588837206363678,0.6176470518112183
Race: White,8,0.5951557159423828,0.606249988079071,0.5882352590560913,0.5700090527534485,0.5882353186607361
Race: Other,8,0.6995192170143127,0.5129870176315308,0.509615421295166,0.45962733030319214,0.48275861144065857
Overall,9,0.6043956279754639,0.6157407760620117,0.5741758346557617,0.5253560543060303,0.5629629492759705
Gender: Female,9,0.6043956279754639,0.6157407760620117,0.5741758346557617,0.5253560543060303,0.5629629492759705
Age: <40,9,0.6931034326553345,0.7263513803482056,0.6732758283615112,0.6751893758773804,0.714285671710968
Age: 40-50,9,0.4000000059604645,0.40689656138420105,0.4526315927505493,0.35606062412261963,0.4117647111415863
Age: 50-65,9,0.7004608511924744,0.6261904835700989,0.581413209438324,0.49670925736427307,0.5192307829856873
Race: White,9,0.4100610017776489,0.5241379737854004,0.5160061120986938,0.44960319995880127,0.4794520437717438
Race: Other,9,0.851332426071167,0.7619047164916992,0.6851332187652588,0.6829745769500732,0.7222222089767456
Overall,10,0.6122359037399292,0.5839452743530273,0.5553476810455322,0.5218612551689148,0.5703703761100769
Gender: Female,10,0.6122359037399292,0.5839452743530273,0.5553476810455322,0.5218612551689148,0.5703703761100769
Age: <40,10,0.5927889347076416,0.5356695652008057,0.5302226543426514,0.5272727012634277,0.59375
Age: 40-50,10,0.5460317134857178,0.7142857313156128,0.523809552192688,0.3454545736312866,0.4444444477558136
Age: 50-65,10,0.81333327293396,0.7300000190734863,0.6916666626930237,0.6499999761581421,0.6571428775787354
Race: White,10,0.4720497131347656,0.5098214149475098,0.5085403919219971,0.4804075360298157,0.4901961088180542
Race: Black,10,0.75,0.8500000238418579,0.625,0.6117647290229797,0.7272727489471436
