group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5715540051460266,0.5453422665596008,0.5282045602798462,0.4777562618255615,0.5259259343147278
Gender: Female,0,0.5715540051460266,0.5453422665596008,0.5282045602798462,0.4777562618255615,0.5259259343147278
Age: <40,0,0.6875,0.6269841194152832,0.6111111044883728,0.5622895956039429,0.5666667222976685
Age: 40-50,0,0.3700000047683716,0.25,0.375,0.30000001192092896,0.4285714328289032
Age: 50-65,0,0.5370843410491943,0.45045047998428345,0.4859335124492645,0.4000000059604645,0.550000011920929
Race: White,0,0.3955591917037964,0.4252873659133911,0.4572368562221527,0.40340909361839294,0.48571428656578064
Race: Other,0,0.7932692170143127,0.6995464563369751,0.6057692170143127,0.5284552574157715,0.568965494632721
Overall,1,0.4898589253425598,0.45780473947525024,0.4662698209285736,0.4441176652908325,0.4814814627170563
Gender: Female,1,0.4898589253425598,0.45780473947525024,0.4662698209285736,0.4441176652908325,0.4814814627170563
Age: <40,1,0.47826087474823,0.5365419387817383,0.533011257648468,0.5129870176315308,0.5199999809265137
Age: 40-50,1,0.5401069521903992,0.4000000059604645,0.41443851590156555,0.4025604724884033,0.4642857313156128
Age: 50-65,1,0.4637500047683716,0.38055557012557983,0.4193750023841858,0.37978237867355347,0.45614033937454224
Race: White,1,0.3701612949371338,0.32692307233810425,0.39475807547569275,0.34137290716171265,0.43661969900131226
Race: Black,1,0.238095223903656,0.3333333432674408,0.3095238208770752,0.2929292917251587,0.30000001192092896
Race: Other,1,0.6744827032089233,0.5972222089767456,0.586896538734436,0.5667945146560669,0.5740740895271301
Overall,2,0.6465909481048584,0.5816441774368286,0.5494318008422852,0.5258135199546814,0.6074073910713196
Gender: Female,2,0.6465909481048584,0.5816441774368286,0.5494318008422852,0.5258135199546814,0.6074073910713196
Age: <40,2,0.6638176441192627,0.6906976699829102,0.6168091297149658,0.579365074634552,0.6226415038108826
Age: 40-50,2,0.6733333468437195,0.543749988079071,0.5233333110809326,0.5036119818687439,0.6486486792564392
Age: 50-65,2,0.581932783126831,0.4722222089767456,0.4810924232006073,0.45913460850715637,0.5555555820465088
Race: White,2,0.5353448390960693,0.4296610355377197,0.4642241299152374,0.41025641560554504,0.52173912525177
Race: Black,2,0.7142857313156128,0.800000011920929,0.8571428656578064,0.7916666269302368,0.800000011920929
Race: Other,2,0.8023715615272522,0.7186760902404785,0.6218708753585815,0.606249988079071,0.6785714626312256
Overall,3,0.5814260244369507,0.658962607383728,0.5991417169570923,0.5666666626930237,0.614814817905426
Gender: Female,3,0.5814260244369507,0.658962607383728,0.5991417169570923,0.5666666626930237,0.614814817905426
Age: <40,3,0.5645161867141724,0.7021563053131104,0.6344085931777954,0.5852380990982056,0.6119402647018433
Age: 40-50,3,0.6383928060531616,0.7291666269302368,0.6473214626312256,0.625,0.6666666865348816
Age: 50-65,3,0.5625,0.4791666865348816,0.488095223903656,0.4571428596973419,0.5789473652839661
Race: White,3,0.421875,0.5714285373687744,0.5333333015441895,0.5,0.625
Race: Other,3,0.715715765953064,0.6979166269302368,0.6521521806716919,0.597484290599823,0.609375
Overall,4,0.5488245487213135,0.5967839956283569,0.572106659412384,0.5616883039474487,0.614814817905426
Gender: Female,4,0.5488245487213135,0.5967839956283569,0.572106659412384,0.5616883039474487,0.614814817905426
Age: <40,4,0.6034482717514038,0.7428571581840515,0.6884236335754395,0.666883111000061,0.6842105388641357
Age: 40-50,4,0.4224599003791809,0.4285714626312256,0.4438502788543701,0.42690056562423706,0.5
Age: 50-65,4,0.5349264144897461,0.48750001192092896,0.4908088147640228,0.48024946451187134,0.5999999642372131
Race: White,4,0.21944445371627808,0.3085106313228607,0.36250001192092896,0.3333333432674408,0.5
Race: Black,4,0.875,0.8333333730697632,0.9375,0.8666666746139526,0.9000000357627869
Race: Other,4,0.7517920732498169,0.740362823009491,0.6899641752243042,0.6587963104248047,0.6716417670249939
Overall,5,0.6054137349128723,0.6850000023841858,0.6424956321716309,0.6117119193077087,0.6296296119689941
Gender: Female,5,0.6054137349128723,0.6850000023841858,0.6424956321716309,0.6117119193077087,0.6296296119689941
Age: <40,5,0.6808785200119019,0.6952214241027832,0.7164082527160645,0.621322512626648,0.6229507923126221
Age: 40-50,5,0.4285714626312256,0.44999998807907104,0.48308271169662476,0.40576231479644775,0.5454545617103577
Age: 50-65,5,0.6164021492004395,0.6709677577018738,0.6402116417884827,0.6465517282485962,0.707317054271698
Race: White,5,0.35333335399627686,0.4636363387107849,0.4809523820877075,0.42222222685813904,0.5076923370361328
Race: Black,5,0.9047619104385376,0.9285714626312256,0.9285714626312256,0.9230769276618958,0.9230769872665405
Race: Other,5,0.8081841468811035,0.7631579041481018,0.7429667711257935,0.7002784013748169,0.7017543911933899
Overall,6,0.6829862594604492,0.6622103452682495,0.6209570169448853,0.6083172559738159,0.6444444060325623
Gender: Female,6,0.6829862594604492,0.6622103452682495,0.6209570169448853,0.6083172559738159,0.6444444060325623
Age: <40,6,0.7009522914886475,0.7807328701019287,0.726190447807312,0.6973780393600464,0.7076923251152039
Age: 40-50,6,0.7333333492279053,0.6515151262283325,0.5666666626930237,0.5322245359420776,0.6399999856948853
Age: 50-65,6,0.5926724076271057,0.4848484992980957,0.48706895112991333,0.481566846370697,0.5555555820465088
Race: White,6,0.5526756048202515,0.49753695726394653,0.49832776188850403,0.48076921701431274,0.5833333134651184
Race: Other,6,0.7806060314178467,0.7813765406608582,0.7527272701263428,0.7211538553237915,0.7241379022598267
Overall,7,0.5693895816802979,0.6000000238418579,0.5691699981689453,0.5295056104660034,0.5629629492759705
Gender: Female,7,0.5693895816802979,0.6000000238418579,0.5691699981689453,0.5295056104660034,0.5629629492759705
Age: <40,7,0.625152587890625,0.6534091234207153,0.6318681240081787,0.5468531847000122,0.550000011920929
Age: 40-50,7,0.5695651769638062,0.6120689511299133,0.5565217733383179,0.5467032790184021,0.696969747543335
Age: 50-65,7,0.47727274894714355,0.44999998807907104,0.4636363685131073,0.4296296238899231,0.4761904776096344
Race: White,7,0.3970588445663452,0.43653517961502075,0.4637254774570465,0.40790578722953796,0.484375
Race: Other,7,0.7292089462280273,0.7247340679168701,0.6713995933532715,0.6352631449699402,0.6507936716079712
Overall,8,0.6117698550224304,0.5783345103263855,0.5487483739852905,0.5053737163543701,0.555555522441864
Gender: Female,8,0.6117698550224304,0.5783345103263855,0.5487483739852905,0.5053737163543701,0.555555522441864
Age: <40,8,0.6223717331886292,0.6570477485656738,0.6190075874328613,0.5584524869918823,0.5714285969734192
Age: 40-50,8,0.616161584854126,0.3333333432674408,0.40909090638160706,0.36734694242477417,0.5806451439857483
Age: 50-65,8,0.5208333730697632,0.45862066745758057,0.4791666567325592,0.4143870174884796,0.5
Race: White,8,0.49653980135917664,0.5,0.5,0.4526515007019043,0.5
Race: Other,8,0.760817289352417,0.6950113773345947,0.603365421295166,0.5703703761100769,0.6379310488700867
Overall,9,0.5531867742538452,0.5666883587837219,0.5450549721717834,0.5103965401649475,0.555555522441864
Gender: Female,9,0.5531867742538452,0.5666883587837219,0.5450549721717834,0.5103965401649475,0.555555522441864
Age: <40,9,0.748275876045227,0.735714316368103,0.6991379261016846,0.6477801203727722,0.6530612111091614
Age: 40-50,9,0.35438597202301025,0.31216931343078613,0.3754386007785797,0.3280632495880127,0.4117647111415863
Age: 50-65,9,0.4516128897666931,0.4829545319080353,0.4907833933830261,0.4501149356365204,0.5576923489570618
Race: White,9,0.36128050088882446,0.420512855052948,0.45274388790130615,0.4057205617427826,0.4931506812572479
Race: Other,9,0.8204768896102905,0.7298311591148376,0.6718092560768127,0.6164772510528564,0.6296296119689941
Overall,10,0.6261003017425537,0.6169872283935547,0.5963908433914185,0.5704545378684998,0.585185170173645
Gender: Female,10,0.6261003017425537,0.6169872283935547,0.5963908433914185,0.5704545378684998,0.585185170173645
Age: <40,10,0.6892894506454468,0.7046307921409607,0.6733828186988831,0.5901477932929993,0.59375
Age: 40-50,10,0.6380952596664429,0.5927273035049438,0.5809524059295654,0.5785953402519226,0.6111111044883728
Age: 50-65,10,0.5733333826065063,0.5189393758773804,0.5166666507720947,0.5104895234107971,0.5428571701049805
Race: White,10,0.41149067878723145,0.4353281855583191,0.4479813575744629,0.42744284868240356,0.4705882668495178
Race: Black,10,0.7857142686843872,0.8035714626312256,0.8035714626312256,0.8035714626312256,0.8181818723678589
Race: Other,10,0.7431402206420898,0.7171717286109924,0.6638719439506531,0.6160140037536621,0.6301369667053223
Overall,11,0.610323429107666,0.6166666746139526,0.5814133882522583,0.5607464909553528,0.6074073910713196
Gender: Female,11,0.610323429107666,0.6166666746139526,0.5814133882522583,0.5607464909553528,0.6074073910713196
Age: <40,11,0.6242424249649048,0.6934840679168701,0.6469696760177612,0.6159554719924927,0.6349206566810608
Age: 40-50,11,0.7111111283302307,0.612500011920929,0.5833333134651184,0.5662285089492798,0.6060606241226196
Age: 50-65,11,0.5,0.4015151560306549,0.4423076808452606,0.4085637927055359,0.5641025900840759
Race: White,11,0.43448275327682495,0.4570136070251465,0.4719212055206299,0.4330011010169983,0.5
Race: Black,11,0.625,0.75,0.75,0.75,0.75
Race: Other,11,0.7701612710952759,0.770531415939331,0.6505376100540161,0.6320346593856812,0.6909090876579285
Overall,12,0.646164059638977,0.6553030014038086,0.6220238208770752,0.6092504262924194,0.6370370388031006
Gender: Female,12,0.646164059638977,0.6553030014038086,0.6220238208770752,0.6092504262924194,0.6370370388031006
Age: <40,12,0.7054698467254639,0.7191176414489746,0.708976149559021,0.6842105388641357,0.6851851940155029
Age: 40-50,12,0.6276041269302368,0.6038961410522461,0.5625,0.5423340797424316,0.625
Age: 50-65,12,0.550000011920929,0.5347222089767456,0.5249999761581421,0.5108771920204163,0.5853658318519592
Race: White,12,0.48124998807907104,0.44581282138824463,0.46562498807907104,0.4250221848487854,0.5
Race: Black,12,0.9142857193946838,0.9166666269302368,0.9285714626312256,0.9160839319229126,0.9166666865348816
Race: Other,12,0.818461537361145,0.8116071224212646,0.7684615254402161,0.7571429014205933,0.7647058963775635
Overall,13,0.5263389348983765,0.5843446254730225,0.5610184669494629,0.5295056104660034,0.5629629492759705
Gender: Female,13,0.5263389348983765,0.5843446254730225,0.5610184669494629,0.5295056104660034,0.5629629492759705
Age: <40,13,0.5708841681480408,0.6405677795410156,0.6169969439506531,0.5794930458068848,0.5890411138534546
Age: 40-50,13,0.5204678773880005,0.3199999928474426,0.42105263471603394,0.3636363744735718,0.5714285969734192
Age: 50-65,13,0.3702422082424164,0.5,0.5,0.4623255729675293,0.5
Race: White,13,0.34705883264541626,0.3987993001937866,0.4421568512916565,0.365997314453125,0.421875
Race: Black,13,0.2666666805744171,0.4749999940395355,0.46666669845581055,0.4583333432674408,0.5384615659713745
Race: Other,13,0.773809552192688,0.7901785373687744,0.7321428656578064,0.711801290512085,0.7241379022598267
Overall,14,0.7145686745643616,0.6464285850524902,0.612786054611206,0.5806488990783691,0.5999999642372131
Gender: Female,14,0.7145686745643616,0.6464285850524902,0.612786054611206,0.5806488990783691,0.5999999642372131
Age: <40,14,0.7651515007019043,0.6590908765792847,0.6590908765792847,0.6206896305084229,0.6206896305084229
Age: 40-50,14,0.6333333253860474,0.6133333444595337,0.5708333253860474,0.5319396257400513,0.5806451439857483
Age: 50-65,14,0.6403846740722656,0.5805860757827759,0.5423076748847961,0.5019943118095398,0.5869565606117249
Race: White,14,0.54758620262146,0.5052854418754578,0.5034483075141907,0.4441176652908325,0.48148149251937866
Race: Black,14,0.7666666507720947,0.7321428656578064,0.7166666984558105,0.7179487347602844,0.7272727489471436
Race: Other,14,0.8300653696060181,0.7430632710456848,0.6789215803146362,0.6508349180221558,0.6714285612106323
Overall,15,0.5617040395736694,0.5655181407928467,0.5530303120613098,0.5278366804122925,0.5481481552124023
Gender: Female,15,0.5617040395736694,0.5655181407928467,0.5530303120613098,0.5278366804122925,0.5481481552124023
Age: <40,15,0.5511696338653564,0.6284552812576294,0.6154971122741699,0.5164694786071777,0.5178571939468384
Age: 40-50,15,0.5714285373687744,0.4791666865348816,0.4821428656578064,0.4761905074119568,0.5454545617103577
Age: 50-65,15,0.5633528232574463,0.5625,0.5545808672904968,0.5511043071746826,0.5869565606117249
Race: White,15,0.36124998331069946,0.30398672819137573,0.35249999165534973,0.31794872879981995,0.38596493005752563
