group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6115700006484985,0.5723342895507812,0.5519760847091675,0.5365999937057495,0.5950000286102295
Gender: Female,0,0.6115700006484985,0.5723342895507812,0.5519760847091675,0.5365999937057495,0.5950000286102295
Age: <40,0,0.6419892311096191,0.5939054489135742,0.5852419137954712,0.5783462524414062,0.590673565864563
Age: 40-50,0,0.629723072052002,0.5879961252212524,0.5620377063751221,0.5505454540252686,0.6185185313224792
Age: 50-65,0,0.5360783338546753,0.42732447385787964,0.4721130132675171,0.41363638639450073,0.5813953280448914
Race: White,0,0.5858814716339111,0.5438131093978882,0.5370772480964661,0.5167170166969299,0.5337552428245544
Race: Black,0,0.5764654874801636,0.47702836990356445,0.48850980401039124,0.466796875,0.6858974695205688
Race: Other,0,0.6168643236160278,0.6102659106254578,0.5783047676086426,0.5558880567550659,0.5981308221817017
Overall,1,0.6373482942581177,0.6049838066101074,0.5689179301261902,0.553229808807373,0.6240000128746033
Gender: Female,1,0.6373482942581177,0.6049838066101074,0.5689179301261902,0.553229808807373,0.6240000128746033
Age: <40,1,0.6080373525619507,0.5866228342056274,0.5757091641426086,0.5587772130966187,0.5706214904785156
Age: 40-50,1,0.663199245929718,0.6318521499633789,0.5917418003082275,0.5861372351646423,0.6568265557289124
Age: 50-65,1,0.586078405380249,0.4872286021709442,0.4960784316062927,0.44579821825027466,0.6506666541099548
Race: White,1,0.6583069562911987,0.5943933725357056,0.5752559900283813,0.5591004490852356,0.5876068472862244
Race: Black,1,0.6250264048576355,0.5455182194709778,0.5120217800140381,0.47570881247520447,0.7170417904853821
Race: Other,1,0.5325907468795776,0.5658283829689026,0.5477310419082642,0.5251826047897339,0.570135772228241
Overall,2,0.6299442052841187,0.5791052579879761,0.5552569627761841,0.5396348834037781,0.6030000448226929
Gender: Female,2,0.6299442052841187,0.5791052579879761,0.5552569627761841,0.5396348834037781,0.6030000448226929
Age: <40,2,0.6003203392028809,0.5670843124389648,0.559711754322052,0.5467665195465088,0.5588235259056091
Age: 40-50,2,0.6622707843780518,0.5875053405761719,0.5587368011474609,0.5389193892478943,0.6015037894248962
Age: 50-65,2,0.5769009590148926,0.4969135522842407,0.49870389699935913,0.4641844630241394,0.6500000357627869
Race: White,2,0.6427379846572876,0.5595313310623169,0.5468478798866272,0.5296429395675659,0.5641548037528992
Race: Black,2,0.575234055519104,0.5037626028060913,0.5021443963050842,0.4877192974090576,0.6780821681022644
Race: Other,2,0.5993883609771729,0.6322731971740723,0.5911484956741333,0.5559107065200806,0.5898617506027222
Overall,3,0.6170068979263306,0.568286120891571,0.5477795004844666,0.5331619381904602,0.6020000576972961
