group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.7178645133972168,0.6470871567726135,0.6298814415931702,0.6291479468345642,0.652763307094574
Gender: Male,0,0.7178645133972168,0.6470871567726135,0.6298814415931702,0.6291479468345642,0.652763307094574
Age: <40,0,0.7313998937606812,0.655716598033905,0.654578685760498,0.654395580291748,0.6554054021835327
Age: 40-50,0,0.8304212689399719,0.7280294895172119,0.7100563049316406,0.7037229537963867,0.7093595862388611
Age: 50-65,0,0.6240267157554626,0.568166196346283,0.5488075017929077,0.5410566329956055,0.626086950302124
Race: White,0,0.6678277254104614,0.610418438911438,0.6029316186904907,0.5951007604598999,0.6013628244400024
Race: Black,0,0.7785812616348267,0.7023365497589111,0.6401515007019043,0.6559571027755737,0.7784091234207153
Race: Other,0,0.7588485479354858,0.6676470637321472,0.6532257795333862,0.6573426723480225,0.6938775181770325
Overall,1,0.7437041997909546,0.6685826778411865,0.644605278968811,0.646666944026947,0.6798748970031738
Gender: Male,1,0.7437041997909546,0.6685826778411865,0.644605278968811,0.646666944026947,0.6798748970031738
Age: <40,1,0.7332316637039185,0.687139630317688,0.686907172203064,0.6870136260986328,0.6891385912895203
Age: 40-50,1,0.8070459365844727,0.6617172956466675,0.6377262473106384,0.6309200525283813,0.6502242684364319
Age: 50-65,1,0.699594259262085,0.644411563873291,0.5990869998931885,0.5998480319976807,0.6886993646621704
Race: White,1,0.6870812177658081,0.6288489699363708,0.6187914609909058,0.6106042861938477,0.6178451180458069
Race: Black,1,0.8264579772949219,0.7366502285003662,0.7052315473556519,0.7187288999557495,0.8461538553237915
Race: Other,1,0.745794415473938,0.6346246004104614,0.6052336692810059,0.6099379062652588,0.6942675113677979
Overall,2,0.6960298418998718,0.6147675514221191,0.6003769636154175,0.5993414521217346,0.6308655142784119
Gender: Male,2,0.6960298418998718,0.6147675514221191,0.6003769636154175,0.5993414521217346,0.6308655142784119
Age: <40,2,0.6404383182525635,0.5905446410179138,0.5888558626174927,0.586243212223053,0.5877862572669983
Age: 40-50,2,0.763144850730896,0.661838173866272,0.6473214626312256,0.6409115195274353,0.6499999761581421
Age: 50-65,2,0.6586987972259521,0.5700508952140808,0.5538880825042725,0.5521624088287354,0.6457023024559021
Race: White,2,0.6482666730880737,0.5874597430229187,0.5821486711502075,0.578474760055542,0.5877342224121094
Race: Black,2,0.7818431854248047,0.6598803997039795,0.6063992977142334,0.6175233721733093,0.7606382966041565
Race: Other,2,0.6984918117523193,0.6050724983215332,0.5831359624862671,0.5802090764045715,0.635869562625885
Overall,3,0.7095344066619873,0.6330873966217041,0.6202638149261475,0.6207087635993958,0.6454640030860901
Gender: Male,3,0.7095344066619873,0.6330873966217041,0.6202638149261475,0.6207087635993958,0.6454640030860901
Age: <40,3,0.7289242744445801,0.6627423763275146,0.6597775220870972,0.6587949991226196,0.6607142686843872
Age: 40-50,3,0.8316929936408997,0.7306748032569885,0.7253328561782837,0.7250000238418579,0.7272726893424988
Age: 50-65,3,0.6122746467590332,0.508712112903595,0.5065689086914062,0.4977375864982605,0.5969498753547668
Race: White,3,0.6458945274353027,0.5727798938751221,0.5692330598831177,0.5633686184883118,0.5682967901229858
Race: Black,3,0.7420715093612671,0.7294670939445496,0.6852226853370667,0.7023294568061829,0.829896867275238
Race: Other,3,0.7489872574806213,0.6810686588287354,0.6652199029922485,0.669716477394104,0.7034883499145508
Overall,4,0.7123903036117554,0.6200729608535767,0.5992787480354309,0.5963183045387268,0.6350365281105042
Gender: Male,4,0.7123903036117554,0.6200729608535767,0.5992787480354309,0.5963183045387268,0.6350365281105042
Age: <40,4,0.6869128942489624,0.6079277992248535,0.6065759658813477,0.6003894805908203,0.6007326245307922
Age: 40-50,4,0.834850549697876,0.716269850730896,0.666610062122345,0.6542755365371704,0.6790122985839844
Age: 50-65,4,0.6241124868392944,0.5166611671447754,0.5122445821762085,0.5056650042533875,0.6320542097091675
Race: White,4,0.685773491859436,0.5999656319618225,0.589991569519043,0.5821568965911865,0.5948275923728943
Race: Black,4,0.7727131843566895,0.6838445663452148,0.6393798589706421,0.6536828875541687,0.787564754486084
Race: Other,4,0.6742202639579773,0.5544096827507019,0.5372806787490845,0.5224149823188782,0.602150559425354
Overall,5,0.7403643131256104,0.6528321504592896,0.6354917287826538,0.6373216509819031,0.667361855506897
Gender: Male,5,0.7403643131256104,0.6528321504592896,0.6354917287826538,0.6373216509819031,0.667361855506897
Age: <40,5,0.7533547878265381,0.6680312156677246,0.6668387055397034,0.6661281585693359,0.6666666269302368
Age: 40-50,5,0.7766227722167969,0.6720085144042969,0.6487641334533691,0.6394643783569336,0.6535087823867798
