group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6657512187957764,0.6296666860580444,0.6296666860580444,0.6296666860580444,0.6300000548362732
Gender: Male,0,0.6449167728424072,0.6135545969009399,0.6135531663894653,0.6135518550872803,0.6135531067848206
Gender: Female,0,0.6890690326690674,0.6481871604919434,0.6480976343154907,0.648139238357544,0.649779736995697
Age: <40,0,0.6017241477966309,0.6287176012992859,0.6257882118225098,0.6268534064292908,0.6460481286048889
Age: 40-50,0,0.7768208980560303,0.7196105122566223,0.7178272604942322,0.7171206474304199,0.7176470756530762
Age: 50-65,0,0.6330040693283081,0.5674266219139099,0.566253662109375,0.5658314824104309,0.5704845786094666
Race: White,0,0.6657512187957764,0.6296666860580444,0.6296666860580444,0.6296666860580444,0.6300000548362732
Overall,1,0.6988502740859985,0.6654120683670044,0.6640914082527161,0.6625866889953613,0.6630000472068787
Gender: Male,1,0.7276430130004883,0.6858915090560913,0.6850364804267883,0.6845811605453491,0.6849056482315063
Gender: Female,1,0.6658140420913696,0.6428611278533936,0.6410884261131287,0.6377665996551514,0.6382978558540344
Age: <40,1,0.6299154758453369,0.6291486024856567,0.6135306358337402,0.614990234375,0.652482271194458
Age: 40-50,1,0.788817286491394,0.7495822906494141,0.7495822906494141,0.7490347623825073,0.7490347623825073
Age: 50-65,1,0.6630460619926453,0.6160789132118225,0.6189634203910828,0.6157923936843872,0.6209149956703186
Race: White,1,0.6988502740859985,0.6654120683670044,0.6640914082527161,0.6625866889953613,0.6630000472068787
Overall,2,0.6699274778366089,0.6172266006469727,0.6170324683189392,0.6149811744689941,0.6150000095367432
Gender: Male,2,0.6471368074417114,0.6161972880363464,0.6155937910079956,0.6150519847869873,0.6155267953872681
Gender: Female,2,0.696462869644165,0.6180555820465088,0.6191176176071167,0.6141153573989868,0.6143790483474731
Age: <40,2,0.6601215600967407,0.6744744181632996,0.6614072322845459,0.6650701761245728,0.6943521499633789
Age: 40-50,2,0.7491112351417542,0.6539440155029297,0.6510097980499268,0.6500304341316223,0.6521738767623901
Age: 50-65,2,0.5771615505218506,0.5253829956054688,0.5267279148101807,0.5242116451263428,0.5458422303199768
