group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6254996061325073,0.6054759621620178,0.5936497449874878,0.5923745036125183,0.6210000514984131
Gender: Female,0,0.6254996061325073,0.6054759621620178,0.5936497449874878,0.5923745036125183,0.6210000514984131
Age: <40,0,0.6301612854003906,0.608792245388031,0.6059408187866211,0.6047737002372742,0.6088082790374756
Age: 40-50,0,0.6304111480712891,0.6270108819007874,0.6122642159461975,0.6133496165275574,0.6481481194496155
Age: 50-65,0,0.5955657362937927,0.5544406771659851,0.539209246635437,0.5298373699188232,0.6133720874786377
Race: White,0,0.6377041339874268,0.609413743019104,0.6014638543128967,0.5926287770271301,0.5991560816764832
Race: Black,0,0.5930352210998535,0.5500668883323669,0.5487858057022095,0.5493500232696533,0.6634615659713745
Race: Other,0,0.6031620502471924,0.6086912155151367,0.5940272212028503,0.5866826176643372,0.6074765920639038
Overall,1,0.6128602623939514,0.5974276065826416,0.5840854644775391,0.5824176073074341,0.6200000047683716
Gender: Female,1,0.6128602623939514,0.5974276065826416,0.5840854644775391,0.5824176073074341,0.6200000047683716
Age: <40,1,0.6033734083175659,0.5783505439758301,0.5776897668838501,0.5757837295532227,0.5762711763381958
Age: 40-50,1,0.6271382570266724,0.6016194820404053,0.587031900882721,0.5871000289916992,0.6346863508224487
Age: 50-65,1,0.5448366403579712,0.5514910817146301,0.5313725471496582,0.5193671584129333,0.6506666541099548
Race: White,1,0.6342169046401978,0.6196434497833252,0.6063348650932312,0.5999239683151245,0.6153846383094788
Race: Black,1,0.6512365341186523,0.6127985119819641,0.6083280444145203,0.6103124618530273,0.700964629650116
Race: Other,1,0.5114686489105225,0.49624669551849365,0.49694716930389404,0.4800228476524353,0.5158371329307556
Overall,2,0.6283272504806519,0.6090230941772461,0.588843822479248,0.5845109224319458,0.6260000467300415
Gender: Female,2,0.6283272504806519,0.6090230941772461,0.588843822479248,0.5845109224319458,0.6260000467300415
Age: <40,2,0.5963737964630127,0.572525143623352,0.5675474405288696,0.5595905780792236,0.5668449401855469
Age: 40-50,2,0.6755162477493286,0.6405584812164307,0.6164613366127014,0.6133720874786377,0.6466165781021118
Age: 50-65,2,0.5756409168243408,0.5817538499832153,0.5515552759170532,0.5456684827804565,0.6722222566604614
Race: White,2,0.6571886539459229,0.6223346590995789,0.6091393232345581,0.6044439077377319,0.621181309223175
Race: Black,2,0.5843552350997925,0.5923639535903931,0.578616738319397,0.5825046896934509,0.698630154132843
Race: Other,2,0.6081379652023315,0.5596370697021484,0.5404773950576782,0.49963104724884033,0.539170503616333
Overall,3,0.6030924320220947,0.5885573625564575,0.5761576890945435,0.5741225481033325,0.6140000224113464
Gender: Female,3,0.6030924320220947,0.5885573625564575,0.5761576890945435,0.5741225481033325,0.6140000224113464
