group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6223957538604736,0.5835631489753723,0.5556280016899109,0.5336491465568542,0.5954118967056274
Gender: Male,0,0.6223957538604736,0.5835631489753723,0.5556280016899109,0.5336491465568542,0.5954118967056274
Age: <40,0,0.6223338842391968,0.5678075551986694,0.5526604056358337,0.5287712812423706,0.5574324727058411
Age: 40-50,0,0.6411375999450684,0.6074386835098267,0.5679965019226074,0.5234742164611816,0.5665024518966675
Age: 50-65,0,0.5949717164039612,0.5725273489952087,0.5447299480438232,0.5299168825149536,0.6326086521148682
Race: White,0,0.619157075881958,0.5526650547981262,0.5365262031555176,0.4962604343891144,0.5332197546958923
Race: Black,0,0.6327478885650635,0.6015384197235107,0.5681818127632141,0.5720365047454834,0.7272727489471436
Race: Other,0,0.6041666269302368,0.6304486989974976,0.5911738276481628,0.5875000357627869,0.6632652878761292
Overall,1,0.6223991513252258,0.5771759748458862,0.55057692527771,0.5325928926467896,0.6079249382019043
Gender: Male,1,0.6223991513252258,0.5771759748458862,0.55057692527771,0.5325928926467896,0.6079249382019043
Age: <40,1,0.5790989398956299,0.5146135091781616,0.5102472901344299,0.4804072678089142,0.5318351984024048
Age: 40-50,1,0.696832537651062,0.6576873064041138,0.5986182689666748,0.568743884563446,0.6188341379165649
Age: 50-65,1,0.6039155721664429,0.573161780834198,0.5484479665756226,0.5402395129203796,0.6460554599761963
Race: White,1,0.6068476438522339,0.5470821857452393,0.5321977138519287,0.4910306930541992,0.5303030014038086
Race: Black,1,0.6432747840881348,0.6531614661216736,0.6183024644851685,0.6306818127632141,0.8076923489570618
Race: Other,1,0.5885981321334839,0.5427547693252563,0.5312149524688721,0.5258305668830872,0.6369426846504211
Overall,2,0.6213505268096924,0.6110861301422119,0.5698140859603882,0.5500952005386353,0.6214807033538818
Gender: Male,2,0.6213505268096924,0.6110861301422119,0.5698140859603882,0.5500952005386353,0.6214807033538818
Age: <40,2,0.5289385914802551,0.48975032567977905,0.4925103485584259,0.4538949728012085,0.4885496199131012
Age: 40-50,2,0.7266865372657776,0.7425285577774048,0.663029134273529,0.636445939540863,0.6681817770004272
Age: 50-65,2,0.5938773155212402,0.6013513803482056,0.5576623678207397,0.5477243661880493,0.6729559302330017
Race: White,2,0.6112959384918213,0.5839337110519409,0.5580095052719116,0.5277614593505859,0.5706984400749207
Race: Black,2,0.6514084339141846,0.7107214331626892,0.6131353378295898,0.6276867985725403,0.7819148898124695
Race: Other,2,0.5722298622131348,0.5779755115509033,0.5436869263648987,0.5194029808044434,0.6195652484893799
Overall,3,0.623772144317627,0.5800711512565613,0.5547198057174683,0.5367938280105591,0.6006256341934204
Gender: Male,3,0.623772144317627,0.5800711512565613,0.5547198057174683,0.5367938280105591,0.6006256341934204
