group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6438354253768921,0.614332914352417,0.6069362163543701,0.597865104675293,0.6030000448226929
Gender: Male,0,0.6125266551971436,0.5925157070159912,0.5860806107521057,0.5787554979324341,0.5860806107521057
Gender: Female,0,0.6821495294570923,0.6400202512741089,0.6320754289627075,0.620250940322876,0.6233479976654053
Age: <40,0,0.599605917930603,0.6308610439300537,0.6361083984375,0.6297532320022583,0.6357388496398926
Age: 40-50,0,0.7316067218780518,0.6710659265518188,0.6463152170181274,0.6335270404815674,0.6470588445663452
Age: 50-65,0,0.5943155288696289,0.5532757043838501,0.5456236600875854,0.5342163443565369,0.5572686791419983
Race: White,0,0.6438354253768921,0.614332914352417,0.6069362163543701,0.597865104675293,0.6030000448226929
Overall,1,0.672905683517456,0.6242526769638062,0.6200120449066162,0.6178668737411499,0.6220000386238098
Gender: Male,1,0.6624516248703003,0.6091212630271912,0.603340744972229,0.5982761383056641,0.6037735939025879
Gender: Female,1,0.6848435401916504,0.6422944068908691,0.6399092674255371,0.6396758556365967,0.6425531506538391
Age: <40,1,0.6005285382270813,0.5956790447235107,0.5983086824417114,0.5961989164352417,0.609929084777832
Age: 40-50,1,0.7659028768539429,0.6828107833862305,0.6593567132949829,0.6510893106460571,0.6640926599502563
Age: 50-65,1,0.6342306137084961,0.5886644124984741,0.5833398103713989,0.5834490656852722,0.6056644916534424
Race: White,1,0.672905683517456,0.6242526769638062,0.6200120449066162,0.6178668737411499,0.6220000386238098
Overall,2,0.6403915882110596,0.6207131147384644,0.6140684485435486,0.6117234826087952,0.6200000047683716
Gender: Male,2,0.586223840713501,0.5699222087860107,0.5672885179519653,0.5632761716842651,0.5674676895141602
Gender: Female,2,0.7037869691848755,0.6812570095062256,0.6676470637321472,0.6683000326156616,0.6819171905517578
Age: <40,2,0.6421692371368408,0.65309077501297,0.658158004283905,0.6544995307922363,0.6677740812301636
Age: 40-50,2,0.6383026838302612,0.5982207655906677,0.5818395018577576,0.5614742040634155,0.5782608389854431
Age: 50-65,2,0.5652694702148438,0.5651189088821411,0.5583716034889221,0.5584144592285156,0.609808087348938
Race: White,2,0.6403915882110596,0.6207131147384644,0.6140684485435486,0.6117234826087952,0.6200000047683716
Overall,3,0.6685864925384521,0.6311542987823486,0.6253104209899902,0.6231111288070679,0.6290000081062317
Gender: Male,3,0.668623685836792,0.62917160987854,0.6209133863449097,0.6177288889884949,0.6263940334320068
Gender: Female,3,0.6686919927597046,0.6335111856460571,0.6299859285354614,0.6286665201187134,0.6320346593856812
Age: <40,3,0.6451965570449829,0.6672839522361755,0.669330894947052,0.6680850982666016,0.6773049235343933
Age: 40-50,3,0.7191519737243652,0.6472092866897583,0.6364713907241821,0.6317306756973267,0.6398305296897888
Age: 50-65,3,0.6173581480979919,0.5731607675552368,0.5633865594863892,0.5598791837692261,0.5954357385635376
Race: White,3,0.6685864925384521,0.6311542987823486,0.6253104209899902,0.6231111288070679,0.6290000081062317
Overall,4,0.6253345012664795,0.5904566049575806,0.586621105670929,0.5818182229995728,0.5860000252723694
Gender: Male,4,0.5813308954238892,0.5622403621673584,0.5597156286239624,0.5549980401992798,0.5593525171279907
Gender: Female,4,0.6786729097366333,0.6259691715240479,0.6203328371047974,0.6154189109802246,0.619369387626648
Age: <40,4,0.589057981967926,0.6114447712898254,0.6121056079864502,0.6117401123046875,0.6263736486434937
Age: 40-50,4,0.7569618225097656,0.6936472654342651,0.6714703440666199,0.6551662683486938,0.6625000238418579
Age: 50-65,4,0.5433672666549683,0.5036311745643616,0.5032126903533936,0.49608278274536133,0.5256673693656921
Race: White,4,0.6253345012664795,0.5904566049575806,0.586621105670929,0.5818182229995728,0.5860000252723694
Overall,5,0.648807942867279,0.6177892684936523,0.6102892756462097,0.6060565114021301,0.6140000224113464
Gender: Male,5,0.6080695390701294,0.5669548511505127,0.5627422332763672,0.5589069128036499,0.569597065448761
Gender: Female,5,0.6970832347869873,0.6786661148071289,0.6674008369445801,0.6620742082595825,0.6674008369445801
Age: <40,5,0.6207239627838135,0.6292357444763184,0.6315503120422363,0.6297838687896729,0.6372881531715393
Age: 40-50,5,0.7416819334030151,0.6816017627716064,0.6600656509399414,0.6520512104034424,0.663755476474762
Age: 50-65,5,0.5805435180664062,0.550362229347229,0.5418115854263306,0.534174382686615,0.5756303071975708
