group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6434868574142456,0.6024948358535767,0.5939342975616455,0.592954158782959,0.6141814589500427
Gender: Male,0,0.6434868574142456,0.6024948358535767,0.5939342975616455,0.592954158782959,0.6141814589500427
Age: <40,0,0.6830782890319824,0.6450978517532349,0.6449189186096191,0.644942045211792,0.6452702879905701
Age: 40-50,0,0.6802562475204468,0.6463335752487183,0.6313337087631226,0.6211272478103638,0.6305418610572815
Age: 50-65,0,0.5859150886535645,0.5238572359085083,0.519506573677063,0.514217734336853,0.5869565010070801
Race: White,0,0.6214443445205688,0.5864722728729248,0.5807616710662842,0.5727890133857727,0.5792163610458374
Race: Black,0,0.698519229888916,0.6485430002212524,0.6439393758773804,0.6460919976234436,0.7386363744735718
Race: Other,0,0.6350806355476379,0.5724285840988159,0.5701164603233337,0.5708476901054382,0.6071428656578064
Overall,1,0.6628462076187134,0.6132424473762512,0.6053382158279419,0.6064172983169556,0.632951021194458
Gender: Male,1,0.6628462076187134,0.6132424473762512,0.6053382158279419,0.6064172983169556,0.632951021194458
Age: <40,1,0.6083446145057678,0.6044721603393555,0.6045900583267212,0.6045225858688354,0.6067416071891785
Age: 40-50,1,0.7087912559509277,0.6397438049316406,0.6269392371177673,0.6234129071235657,0.6367713212966919
Age: 50-65,1,0.6587543487548828,0.5898185968399048,0.5775512456893921,0.5791493654251099,0.6460554599761963
Race: White,1,0.6603820323944092,0.6144141554832458,0.6069270372390747,0.5998502969741821,0.6060605645179749
Race: Black,1,0.6797850131988525,0.5972275733947754,0.6197249889373779,0.6042283177375793,0.7403846383094788
Race: Other,1,0.6110280156135559,0.5395541191101074,0.5411214828491211,0.5399267673492432,0.5923566818237305
Overall,2,0.6497126817703247,0.6047865152359009,0.5999847650527954,0.6007421016693115,0.6204379796981812
Gender: Male,2,0.6497126817703247,0.6047865152359009,0.5999847650527954,0.6007421016693115,0.6204379796981812
Age: <40,2,0.5505625009536743,0.5381119251251221,0.5381186008453369,0.5381073951721191,0.5381679534912109
Age: 40-50,2,0.7591766119003296,0.6847494840621948,0.6752645373344421,0.6723374724388123,0.6772726774215698
Age: 50-65,2,0.6196980476379395,0.5776679515838623,0.5706326365470886,0.572259783744812,0.6394129991531372
Race: White,2,0.6431014537811279,0.6093817949295044,0.6058341264724731,0.6045742630958557,0.6098807454109192
Race: Black,2,0.6921310424804688,0.6100113391876221,0.6191059350967407,0.6135662794113159,0.7021276354789734
Race: Other,2,0.5831983089447021,0.5329775810241699,0.5300386548042297,0.5285264849662781,0.570652186870575
Overall,3,0.6503633260726929,0.5964402556419373,0.5875745415687561,0.5868284702301025,0.6131386756896973
Gender: Male,3,0.6503633260726929,0.5964402556419373,0.5875745415687561,0.5868284702301025,0.6131386756896973
Age: <40,3,0.6478363275527954,0.6297987103462219,0.6276791095733643,0.6266666650772095,0.6285714507102966
Age: 40-50,3,0.7321975231170654,0.6410818696022034,0.6276983022689819,0.6211009621620178,0.6318181753158569
