group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6115401387214661,0.5602511167526245,0.5646132230758667,0.5599792003631592,0.5893719792366028
Gender: Male,0,0.6285189390182495,0.5683814883232117,0.576797366142273,0.5597068071365356,0.5751633644104004
Gender: Female,0,0.5881094932556152,0.556139349937439,0.552645206451416,0.5532948970794678,0.6070460677146912
Age: 50-65,0,0.6115401387214661,0.5602511167526245,0.5646132230758667,0.5599792003631592,0.5893719792366028
Race: White,0,0.5631409883499146,0.540360152721405,0.5412647724151611,0.5343910455703735,0.5355648398399353
Race: Black,0,0.6934523582458496,0.5645833015441895,0.5738095045089722,0.567627489566803,0.7115384936332703
Race: Other,0,0.5441176891326904,0.4593749940395355,0.4649509787559509,0.4604297876358032,0.591549277305603
Overall,1,0.6850905418395996,0.6352485418319702,0.6448391675949097,0.6377332806587219,0.6666666865348816
Gender: Male,1,0.6908544301986694,0.6383333206176758,0.6517490744590759,0.6329459547996521,0.6430107951164246
Gender: Female,1,0.6546546220779419,0.6350942850112915,0.622962236404419,0.6272404789924622,0.6969696879386902
Age: 50-65,1,0.6850905418395996,0.6352485418319702,0.6448391675949097,0.6377332806587219,0.6666666865348816
Race: White,1,0.6561460494995117,0.6293786764144897,0.6326632499694824,0.6273635029792786,0.6298568248748779
Race: Black,1,0.6918660402297974,0.6172965168952942,0.6287081241607666,0.6221462488174438,0.7586206793785095
Race: Other,1,0.553459107875824,0.529411792755127,0.5320754647254944,0.5300480723381042,0.6617646813392639
Overall,2,0.6331266164779663,0.5887373089790344,0.594464123249054,0.5899994969367981,0.6256038546562195
Gender: Male,2,0.6175521612167358,0.5648874044418335,0.5734856128692627,0.5588326454162598,0.5808510184288025
Gender: Female,2,0.6488795280456543,0.6383331418037415,0.6241946816444397,0.6283270120620728,0.6843575239181519
Age: 50-65,2,0.6331266164779663,0.5887373089790344,0.594464123249054,0.5899994969367981,0.6256038546562195
Race: White,2,0.5949020385742188,0.5679738521575928,0.5693957805633545,0.5678313970565796,0.5754526853561401
Race: Black,2,0.6455974578857422,0.6043988466262817,0.6119496822357178,0.6076736450195312,0.7386934757232666
Race: Other,2,0.5791001319885254,0.5436372756958008,0.5605950355529785,0.5389074683189392,0.6439394354820251
Overall,3,0.6140199899673462,0.5751916766166687,0.5770525932312012,0.5757198333740234,0.5978260636329651
Gender: Male,3,0.6571156978607178,0.5917075276374817,0.6005092859268188,0.5896072387695312,0.6086065173149109
Gender: Female,3,0.5651230812072754,0.5619468688964844,0.5567648410797119,0.5552034378051758,0.5823529362678528
Age: 50-65,3,0.6140199899673462,0.5751916766166687,0.5770525932312012,0.5757198333740234,0.5978260636329651
Race: White,3,0.5942814946174622,0.5590909123420715,0.5598747134208679,0.5586622953414917,0.5619047284126282
Race: Black,3,0.6640926599502563,0.5854501128196716,0.5854501128196716,0.5854501128196716,0.7176470756530762
Race: Other,3,0.5167452096939087,0.5244185924530029,0.5247253179550171,0.5245369076728821,0.5864661931991577
Overall,4,0.5974490642547607,0.5370697975158691,0.5386680960655212,0.5370425581932068,0.5688405632972717
Gender: Male,4,0.6006097793579102,0.5475965142250061,0.55278080701828,0.5375782251358032,0.5502091646194458
Gender: Female,4,0.6000566482543945,0.5311398506164551,0.5250495672225952,0.5196025371551514,0.5942857265472412
Age: 50-65,4,0.5974490642547607,0.5370697975158691,0.5386680960655212,0.5370425581932068,0.5688405632972717
Race: White,4,0.5669156312942505,0.5332323312759399,0.5335087776184082,0.5331446528434753,0.5378323197364807
Race: Black,4,0.6690740585327148,0.5485141277313232,0.5587173104286194,0.5496103763580322,0.6666666865348816
Race: Other,4,0.4499393105506897,0.40544870495796204,0.3925970792770386,0.3980465531349182,0.5333333015441895
Overall,5,0.6329289674758911,0.5754321813583374,0.5792771577835083,0.57619309425354,0.6074879169464111
Gender: Male,5,0.6403629183769226,0.5735207796096802,0.5823519825935364,0.5647004842758179,0.5790598392486572
Gender: Female,5,0.6306309700012207,0.5956264734268188,0.5802440047264099,0.5810909271240234,0.644444465637207
Age: 50-65,5,0.6329289674758911,0.5754321813583374,0.5792771577835083,0.57619309425354,0.6074879169464111
Race: White,5,0.6154488921165466,0.5690613985061646,0.570923924446106,0.5686482787132263,0.5766283273696899
Race: Black,5,0.5978821516036987,0.5262930989265442,0.5331251621246338,0.5254964828491211,0.6730769276618958
Race: Other,5,0.6095678806304932,0.5590736269950867,0.5582010746002197,0.558603048324585,0.6466667056083679
Overall,6,0.6144660711288452,0.5660380721092224,0.568995475769043,0.5665736794471741,0.5966183543205261
Gender: Male,6,0.6525133848190308,0.5944855809211731,0.6048258543014526,0.5910689234733582,0.6094807982444763
Gender: Female,6,0.568134069442749,0.5361570119857788,0.5336734652519226,0.5334176421165466,0.581818163394928
Age: 50-65,6,0.6144660711288452,0.5660380721092224,0.568995475769043,0.5665736794471741,0.5966183543205261
Race: White,6,0.5836795568466187,0.5642671585083008,0.5650074481964111,0.5643322467803955,0.570881187915802
Race: Black,6,0.6405057311058044,0.5562015771865845,0.5691794157028198,0.5584063529968262,0.6871165633201599
Race: Other,6,0.5350782871246338,0.47965115308761597,0.47638964653015137,0.47573477029800415,0.5874125957489014
Overall,7,0.6352952718734741,0.5853469371795654,0.5870957374572754,0.5859794020652771,0.6111111044883728
Gender: Male,7,0.6792761087417603,0.6216127872467041,0.6339521408081055,0.6188353896141052,0.633891224861145
Gender: Female,7,0.5854421854019165,0.5459262728691101,0.5392857193946838,0.5348900556564331,0.5799999833106995
Age: 50-65,7,0.6352952718734741,0.5853469371795654,0.5870957374572754,0.5859794020652771,0.6111111044883728
Race: White,7,0.6206506490707397,0.590339183807373,0.5931872129440308,0.5891069173812866,0.5945419073104858
Race: Black,7,0.6836974620819092,0.580755352973938,0.5675630569458008,0.5698181986808777,0.668639063835144
Race: Other,7,0.5227272510528564,0.5097465515136719,0.5089126825332642,0.5082462430000305,0.602739691734314
Overall,8,0.6267168521881104,0.5661703944206238,0.5715473890304565,0.566136360168457,0.5990338325500488
Gender: Male,8,0.6286705732345581,0.5734156370162964,0.5805118680000305,0.5667135119438171,0.5790598392486572
Gender: Female,8,0.6003143787384033,0.5486776232719421,0.5468218922615051,0.5474818348884583,0.625
Age: 50-65,8,0.6267168521881104,0.5661703944206238,0.5715473890304565,0.566136360168457,0.5990338325500488
Race: White,8,0.5621292591094971,0.524409830570221,0.5254855155944824,0.5215104222297668,0.5297741293907166
Race: Black,8,0.6959383487701416,0.6059210300445557,0.6352940797805786,0.6127146482467651,0.7169811725616455
Race: Other,8,0.7025641202926636,0.5985662937164307,0.5940170884132385,0.5958470106124878,0.6666666865348816
Overall,9,0.6325305700302124,0.5615682601928711,0.5627453923225403,0.561978816986084,0.5917874574661255
Gender: Male,9,0.6707021594047546,0.5883646607398987,0.5972925424575806,0.5846481323242188,0.6013363003730774
Gender: Female,9,0.5930150747299194,0.5367807745933533,0.5317270755767822,0.528344988822937,0.5804749727249146
Age: 50-65,9,0.6325305700302124,0.5615682601928711,0.5627453923225403,0.561978816986084,0.5917874574661255
Race: White,9,0.6101855039596558,0.557912290096283,0.5584325790405273,0.558024525642395,0.5662650465965271
Race: Black,9,0.6739223003387451,0.5376068353652954,0.5469483733177185,0.5380844473838806,0.6800000071525574
Race: Other,9,0.5790908336639404,0.5240662097930908,0.5227272510528564,0.5224981307983398,0.57419353723526
Overall,10,0.617334246635437,0.5786314010620117,0.5822250247001648,0.5792833566665649,0.6050724387168884
Gender: Male,10,0.6378835439682007,0.5840226411819458,0.5925058722496033,0.5786317586898804,0.5928269624710083
Gender: Female,10,0.5932692289352417,0.5812918543815613,0.5733859539031982,0.5741525292396545,0.6214689016342163
Age: 50-65,10,0.617334246635437,0.5786314010620117,0.5822250247001648,0.5792833566665649,0.6050724387168884
Race: White,10,0.6130310297012329,0.5871502757072449,0.5893255472183228,0.586071252822876,0.5902912616729736
Race: Black,10,0.6218518018722534,0.5302795171737671,0.5361111164093018,0.5306980609893799,0.6774193644523621
Race: Other,10,0.5109243392944336,0.48244810104370117,0.48389357328414917,0.48193472623825073,0.5590550899505615
Overall,11,0.6419686675071716,0.5850272178649902,0.5926523208618164,0.5854396224021912,0.6171497702598572
Gender: Male,11,0.6855260729789734,0.6145762205123901,0.6328957676887512,0.6051393747329712,0.6221198439598083
Gender: Female,11,0.5929391384124756,0.5587291717529297,0.5556831359863281,0.5564727783203125,0.6116751432418823
Age: 50-65,11,0.6419686675071716,0.5850272178649902,0.5926523208618164,0.5854396224021912,0.6171497702598572
Race: White,11,0.6289572715759277,0.596027135848999,0.5984111428260803,0.5899709463119507,0.591208815574646
Race: Black,11,0.5741161704063416,0.48549965023994446,0.4842803180217743,0.4843863546848297,0.6244131326675415
Race: Other,11,0.5615234375,0.5182857513427734,0.51953125,0.5186125040054321,0.6812500357627869
Overall,12,0.6075719594955444,0.5479097366333008,0.5511870980262756,0.5478053092956543,0.5845410823822021
Gender: Male,12,0.6497213840484619,0.5666666626930237,0.5774580240249634,0.5587707757949829,0.5835095047950745
Gender: Female,12,0.5595057606697083,0.5332485437393188,0.5297012329101562,0.5283734798431396,0.5859154462814331
Age: 50-65,12,0.6075719594955444,0.5479097366333008,0.5511870980262756,0.5478053092956543,0.5845410823822021
Race: White,12,0.5676071643829346,0.5304147005081177,0.5312904715538025,0.5293437838554382,0.5375253558158875
Race: Black,12,0.6727935075759888,0.5623536705970764,0.5727024674415588,0.5656108856201172,0.71875
Race: Other,12,0.5506265163421631,0.48815789818763733,0.4864661693572998,0.48453488945961,0.5664335489273071
Overall,13,0.6527403593063354,0.595990002155304,0.6052547693252563,0.5973774194717407,0.6352657079696655
Gender: Male,13,0.6744990348815918,0.6192829608917236,0.6306461095809937,0.6186396479606628,0.6375545859336853
Gender: Female,13,0.5897240042686462,0.5566922426223755,0.5604523420333862,0.5578051805496216,0.6324324607849121
Age: 50-65,13,0.6527403593063354,0.595990002155304,0.6052547693252563,0.5973774194717407,0.6352657079696655
Race: White,13,0.6368945837020874,0.6037037372589111,0.6083752512931824,0.603212833404541,0.6133603453636169
Race: Black,13,0.5858107805252075,0.5082228183746338,0.5104729533195496,0.5031566619873047,0.6170212626457214
Race: Other,13,0.6144068241119385,0.5914454460144043,0.6032081842422485,0.5959122776985168,0.732876718044281
Overall,14,0.6196148991584778,0.5630645751953125,0.5662878751754761,0.5629587769508362,0.5845410823822021
Gender: Male,14,0.6343498826026917,0.5654181241989136,0.5717455148696899,0.5567920207977295,0.5675675868988037
Gender: Female,14,0.5966920852661133,0.5716511011123657,0.5650268793106079,0.5651628971099854,0.608069121837616
Age: 50-65,14,0.6196148991584778,0.5630645751953125,0.5662878751754761,0.5629587769508362,0.5845410823822021
Race: White,14,0.607062816619873,0.5629786252975464,0.5637412071228027,0.5623706579208374,0.5646123290061951
Race: Black,14,0.6098792552947998,0.5475744605064392,0.5503876209259033,0.5485564470291138,0.6511628031730652
Race: Other,14,0.5350964069366455,0.4887735843658447,0.4852941334247589,0.47803497314453125,0.5751634240150452
Overall,15,0.6473885774612427,0.5955803394317627,0.6007986068725586,0.5966953635215759,0.6243961453437805
Gender: Male,15,0.6986110210418701,0.6161837577819824,0.628042459487915,0.6148785352706909,0.6337719559669495
Gender: Female,15,0.5821338295936584,0.5725806355476379,0.5704545378684998,0.5712090134620667,0.6129032373428345
Age: 50-65,15,0.6473885774612427,0.5955803394317627,0.6007986068725586,0.5966953635215759,0.6243961453437805
Race: White,15,0.62920081615448,0.592801570892334,0.5941450595855713,0.5927721261978149,0.5971943736076355
Race: Black,15,0.6094992160797119,0.5472983121871948,0.5627980828285217,0.5472064018249512,0.6758241653442383
Race: Other,15,0.5764127969741821,0.5571428537368774,0.5619164705276489,0.5586105585098267,0.6530612111091614
Overall,16,0.6592273712158203,0.5905052423477173,0.59819495677948,0.590949535369873,0.6195651888847351
Gender: Male,16,0.7055315971374512,0.6106017827987671,0.6234267950057983,0.6045795679092407,0.618625283241272
Gender: Female,16,0.5880864858627319,0.5663099884986877,0.565456748008728,0.5658395886421204,0.6206896305084229
Age: 50-65,16,0.6592273712158203,0.5905052423477173,0.59819495677948,0.590949535369873,0.6195651888847351
Race: White,16,0.640053391456604,0.5830821990966797,0.5853736400604248,0.5817592144012451,0.5862786173820496
Race: Black,16,0.7424074411392212,0.6179800033569336,0.6466666460037231,0.6263988614082336,0.7365591526031494
Race: Other,16,0.5327869057655334,0.4988750219345093,0.49863386154174805,0.49349671602249146,0.5838509202003479
Overall,17,0.6108690500259399,0.5663740634918213,0.5690081715583801,0.5668700933456421,0.5942028760910034
Gender: Male,17,0.6203692555427551,0.5620590448379517,0.5674293041229248,0.55818772315979,0.5738757848739624
Gender: Female,17,0.6082583665847778,0.5782342553138733,0.5722943544387817,0.5733559727668762,0.6204985976219177
Age: 50-65,17,0.6108690500259399,0.5663740634918213,0.5690081715583801,0.5668700933456421,0.5942028760910034
Race: White,17,0.594864010810852,0.5705873966217041,0.5724642276763916,0.569960355758667,0.5766283273696899
Race: Black,17,0.6616502404212952,0.5674552321434021,0.5729977488517761,0.5695257186889648,0.6868131756782532
Race: Other,17,0.48567116260528564,0.4492078423500061,0.4506787359714508,0.44981640577316284,0.5322580337524414
Overall,18,0.6365814208984375,0.5700536966323853,0.5736507773399353,0.5700335502624512,0.5905796885490417
Gender: Male,18,0.6484963297843933,0.5710244178771973,0.5745825171470642,0.5671674609184265,0.5735607743263245
Gender: Female,18,0.6018356084823608,0.5605000853538513,0.5602363348007202,0.5603629350662231,0.6128133535385132
Age: 50-65,18,0.6365814208984375,0.5700536966323853,0.5736507773399353,0.5700335502624512,0.5905796885490417
Race: White,18,0.6480264067649841,0.5784660577774048,0.5791269540786743,0.5783810019493103,0.5809523463249207
Race: Black,18,0.5245097875595093,0.5007451772689819,0.5009803771972656,0.4957050085067749,0.650602400302887
Race: Other,18,0.5327283143997192,0.5011230707168579,0.501375138759613,0.49243849515914917,0.55474454164505
Overall,19,0.6742244362831116,0.5936719179153442,0.601642370223999,0.5936940908432007,0.6183574795722961
Gender: Male,19,0.6694638729095459,0.5994328260421753,0.6069929599761963,0.5887681245803833,0.5942350029945374
Gender: Female,19,0.6564885377883911,0.5798774361610413,0.5778626203536987,0.5787355899810791,0.6472148299217224
Age: 50-65,19,0.6742244362831116,0.5936719179153442,0.601642370223999,0.5936940908432007,0.6183574795722961
Race: White,19,0.6389175057411194,0.582959771156311,0.5858504772186279,0.5777842998504639,0.5804480910301208
Race: Black,19,0.7927075028419495,0.6359506845474243,0.6688154935836792,0.6464285850524902,0.7555555701255798
Race: Other,19,0.5567959547042847,0.4926556944847107,0.4926556944847107,0.4926556944847107,0.5796178579330444
