group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6483875513076782,0.5984753370285034,0.5981082916259766,0.5968544483184814,0.597000002861023
Gender: Male,0,0.6120436191558838,0.5609103441238403,0.5604395866394043,0.559588611125946,0.5604395866394043
Gender: Female,0,0.6857554912567139,0.6427016258239746,0.6430492401123047,0.6409256458282471,0.6409691572189331
Age: <40,0,0.5972906351089478,0.5830261707305908,0.5798768401145935,0.5805392265319824,0.6048110127449036
Age: 40-50,0,0.7290846109390259,0.6477967500686646,0.6427780389785767,0.6399478912353516,0.6431372761726379
Age: 50-65,0,0.6098416447639465,0.5622956156730652,0.5593770146369934,0.556998610496521,0.5660792589187622
Race: White,0,0.6483875513076782,0.5984753370285034,0.5981082916259766,0.5968544483184814,0.597000002861023
Overall,1,0.6799170970916748,0.6288315057754517,0.6288423538208008,0.6288363337516785,0.6290000081062317
Gender: Male,1,0.6730605363845825,0.626714289188385,0.6263101100921631,0.6260743141174316,0.6264151334762573
Gender: Female,1,0.6903582811355591,0.6324275732040405,0.6326076984405518,0.6318732500076294,0.6319148540496826
Age: <40,1,0.6328752040863037,0.5794203281402588,0.5651691555976868,0.5616059303283691,0.6134751439094543
Age: 40-50,1,0.7528344392776489,0.6761815547943115,0.6743943095207214,0.6742724180221558,0.6756756901741028
Age: 50-65,1,0.637102484703064,0.5965158939361572,0.5919453501701355,0.5924680829048157,0.6122004389762878
Race: White,1,0.6799170970916748,0.6288315057754517,0.6288423538208008,0.6288363337516785,0.6290000081062317
Overall,2,0.6548186540603638,0.6177206039428711,0.617393434047699,0.6174818277359009,0.6190000176429749
Gender: Male,2,0.6057400703430176,0.5787950754165649,0.5785021185874939,0.5781416893005371,0.5785582065582275
Gender: Female,2,0.7067474126815796,0.6630047559738159,0.6637254953384399,0.6632848381996155,0.6666666269302368
Age: <40,2,0.6742402911186218,0.6595028638839722,0.6406965851783752,0.6441028714179993,0.6810631155967712
Age: 40-50,2,0.6445049047470093,0.5719230771064758,0.5707208514213562,0.5681856870651245,0.5695651769638062
Age: 50-65,2,0.5645825862884521,0.5632158517837524,0.5595686435699463,0.5602060556411743,0.6034115552902222
Race: White,2,0.6548186540603638,0.6177206039428711,0.617393434047699,0.6174818277359009,0.6190000176429749
Overall,3,0.6662434339523315,0.630833089351654,0.6309897899627686,0.6308046579360962,0.6310000419616699
Gender: Male,3,0.6785659790039062,0.6403889060020447,0.6399670243263245,0.6400688886642456,0.6412639617919922
Gender: Female,3,0.6563338041305542,0.6202765107154846,0.6199156045913696,0.6189333200454712,0.6190476417541504
Age: <40,3,0.6601926684379578,0.6464248895645142,0.6259307265281677,0.6264282464981079,0.6595744490623474
Age: 40-50,3,0.6651096343994141,0.6231322288513184,0.6231764554977417,0.6228746175765991,0.6228813529014587
Age: 50-65,3,0.6225000023841858,0.6027926206588745,0.5981560349464417,0.5988565683364868,0.6182572841644287
Race: White,3,0.6662434339523315,0.630833089351654,0.6309897899627686,0.6308046579360962,0.6310000419616699
Overall,4,0.6425710916519165,0.5991975665092468,0.5990995764732361,0.5989322662353516,0.5990000367164612
Gender: Male,4,0.5923295021057129,0.5598697662353516,0.5594956278800964,0.558722972869873,0.5593525171279907
Gender: Female,4,0.6992694735527039,0.6486355066299438,0.6485389471054077,0.6485345363616943,0.6486486792564392
Age: <40,4,0.6210561990737915,0.6030350923538208,0.5921066999435425,0.592227041721344,0.6263736486434937
Age: 40-50,4,0.723753809928894,0.6369606256484985,0.6372179985046387,0.6369894742965698,0.6375000476837158
Age: 50-65,4,0.5733867883682251,0.5508081316947937,0.5472910404205322,0.5451164841651917,0.5646817684173584
Race: White,4,0.6425710916519165,0.5991975665092468,0.5990995764732361,0.5989322662353516,0.5990000367164612
Overall,5,0.667937159538269,0.6345839500427246,0.6343408823013306,0.6343854069709778,0.6350000500679016
Gender: Male,5,0.6415132284164429,0.6304241418838501,0.6292393207550049,0.6293504238128662,0.6318681240081787
Gender: Female,5,0.6976654529571533,0.6388096213340759,0.6387665271759033,0.6387385129928589,0.6387664675712585
Age: <40,5,0.6186866760253906,0.6113914847373962,0.5878423452377319,0.581916093826294,0.6271186470985413
Age: 40-50,5,0.7233668565750122,0.6463901996612549,0.6454517841339111,0.6453142762184143,0.6462882161140442
Age: 50-65,5,0.623641312122345,0.6215541362762451,0.607681155204773,0.6069102883338928,0.6344538331031799
Race: White,5,0.667937159538269,0.6345839500427246,0.6343408823013306,0.6343854069709778,0.6350000500679016
Overall,6,0.6839820146560669,0.6454381942749023,0.6444402933120728,0.6441456079483032,0.6450000405311584
Gender: Male,6,0.6922053098678589,0.6454607248306274,0.6440156698226929,0.6432950496673584,0.6442831158638
Gender: Female,6,0.6746079325675964,0.6456963419914246,0.6451756954193115,0.6451756954193115,0.6458797454833984
Age: <40,6,0.6400185823440552,0.6394736766815186,0.6299287676811218,0.6320916414260864,0.659649133682251
Age: 40-50,6,0.7283451557159424,0.6543257236480713,0.6533114314079285,0.6334541440010071,0.6334841847419739
Age: 50-65,6,0.6495774984359741,0.6193464994430542,0.6159953474998474,0.6171900629997253,0.6417004466056824
Race: White,6,0.6839820146560669,0.6454381942749023,0.6444402933120728,0.6441456079483032,0.6450000405311584
Overall,7,0.6470694541931152,0.6045080423355103,0.6044560670852661,0.6044796109199524,0.6060000061988831
Gender: Male,7,0.5952432155609131,0.5569733381271362,0.5571000576019287,0.5569897890090942,0.5586080551147461
Gender: Female,7,0.6995604038238525,0.6620935201644897,0.6614534854888916,0.6616148948669434,0.6629955768585205
Age: <40,7,0.6678068041801453,0.6167954206466675,0.5918419361114502,0.5858736038208008,0.6302816867828369
Age: 40-50,7,0.7101806402206421,0.6364846229553223,0.6333470344543457,0.6327515840530396,0.6363636255264282
Age: 50-65,7,0.551982581615448,0.5456466674804688,0.5419766306877136,0.5408813953399658,0.5759493112564087
Race: White,7,0.6470694541931152,0.6045080423355103,0.6044560670852661,0.6044796109199524,0.6060000061988831
Overall,8,0.6666666269302368,0.6328320503234863,0.6325530409812927,0.6325498819351196,0.6330000162124634
Gender: Male,8,0.6732565760612488,0.6370412111282349,0.6354246139526367,0.6354141235351562,0.6378986835479736
Gender: Female,8,0.6597879528999329,0.6273586750030518,0.6272745728492737,0.6272705793380737,0.6274089813232422
Age: <40,8,0.6105067133903503,0.5960865020751953,0.5860286355018616,0.5864131450653076,0.6245733499526978
Age: 40-50,8,0.7036169767379761,0.6290322542190552,0.6290658712387085,0.6290081739425659,0.6290322542190552
Age: 50-65,8,0.6316236257553101,0.6214044094085693,0.6102386713027954,0.6112266182899475,0.640522837638855
Race: White,8,0.6666666269302368,0.6328320503234863,0.6325530409812927,0.6325498819351196,0.6330000162124634
Overall,9,0.6472185850143433,0.601453959941864,0.6009284257888794,0.6004530191421509,0.6010000109672546
Gender: Male,9,0.6098901033401489,0.5783560872077942,0.5779129266738892,0.5773541331291199,0.5779816508293152
Gender: Female,9,0.688190758228302,0.6290957927703857,0.6284971237182617,0.6281116008758545,0.6285714507102966
Age: <40,9,0.6204776167869568,0.6014633178710938,0.5905487537384033,0.5890451073646545,0.6161971688270569
Age: 40-50,9,0.746523916721344,0.6590656042098999,0.6590656042098999,0.6583333611488342,0.6583333611488342
Age: 50-65,9,0.5772511959075928,0.549231231212616,0.5438075661659241,0.5383725762367249,0.5630252361297607
Race: White,9,0.6472185850143433,0.601453959941864,0.6009284257888794,0.6004530191421509,0.6010000109672546
Overall,10,0.6327990293502808,0.6063428521156311,0.606547474861145,0.6058990955352783,0.6060000061988831
Gender: Male,10,0.6051148176193237,0.5819425582885742,0.5820145606994629,0.5810439586639404,0.5810564756393433
Gender: Female,10,0.6633228063583374,0.6361222267150879,0.6364012956619263,0.6360612511634827,0.6363636255264282
Age: <40,10,0.5935642719268799,0.6104361414909363,0.5950614213943481,0.5934433937072754,0.6282894611358643
Age: 40-50,10,0.6837056875228882,0.6159852147102356,0.6167171597480774,0.6124968528747559,0.6126482486724854
Age: 50-65,10,0.592334508895874,0.5829615592956543,0.5769932270050049,0.5736912488937378,0.5869074463844299
Race: White,10,0.6327990293502808,0.6063428521156311,0.606547474861145,0.6058990955352783,0.6060000061988831
Overall,11,0.6514331102371216,0.6150808930397034,0.6147314310073853,0.6145802736282349,0.6150000095367432
