group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5897699594497681,0.5524436235427856,0.5433353185653687,0.5356493592262268,0.578000009059906
Gender: Female,0,0.5897699594497681,0.5524436235427856,0.5433353185653687,0.5356493592262268,0.578000009059906
Age: <40,0,0.593870997428894,0.5394813418388367,0.538306474685669,0.5362182855606079,0.5414507389068604
Age: 40-50,0,0.6203773021697998,0.603705644607544,0.580872654914856,0.5760316848754883,0.6296296119689941
Age: 50-65,0,0.5131425857543945,0.47309213876724243,0.48489153385162354,0.4525359272956848,0.5784883499145508
Race: White,0,0.5919184684753418,0.5680251121520996,0.559898853302002,0.5446310639381409,0.5569620132446289
Race: Black,0,0.5282229781150818,0.4905335605144501,0.49193239212036133,0.48945122957229614,0.6410256624221802
Race: Other,0,0.5877031087875366,0.520411491394043,0.5167325735092163,0.5009328126907349,0.5327102541923523
Overall,1,0.587409496307373,0.5894163846969604,0.574312686920166,0.5705748200416565,0.6140000224113464
Gender: Female,1,0.587409496307373,0.5894163846969604,0.574312686920166,0.5705748200416565,0.6140000224113464
Age: <40,1,0.5705660581588745,0.5729785561561584,0.572195291519165,0.5699488520622253,0.5706214904785156
Age: 40-50,1,0.6208391189575195,0.6349969506263733,0.6022306680679321,0.6005511283874512,0.660516619682312
Age: 50-65,1,0.5013071894645691,0.49034368991851807,0.4943627417087555,0.4728975296020508,0.6213333010673523
Race: White,1,0.5949951410293579,0.5865001082420349,0.5758513808250427,0.5672615170478821,0.5854701399803162
Race: Black,1,0.5704925060272217,0.6177024841308594,0.592475175857544,0.5984741449356079,0.7170417904853821
Race: Other,1,0.5383663177490234,0.5147799849510193,0.5125824809074402,0.5006951689720154,0.529411792755127
Overall,2,0.6083875298500061,0.586731493473053,0.5735116004943848,0.5697962045669556,0.6080000400543213
Gender: Female,2,0.6083875298500061,0.586731493473053,0.5735116004943848,0.5697962045669556,0.6080000400543213
Age: <40,2,0.5786147117614746,0.5425137281417847,0.5406657457351685,0.5353097915649414,0.5401069521903992
