group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.7056159973144531,0.6427403092384338,0.6455267667770386,0.6414130330085754,0.643378496170044
Gender: Male,0,0.7056159973144531,0.6427403092384338,0.6455267667770386,0.6414130330085754,0.643378496170044
Age: <40,0,0.7212605476379395,0.6445832252502441,0.6374514698982239,0.6313483119010925,0.6351351737976074
Age: 40-50,0,0.7877111434936523,0.7142788171768188,0.7142788171768188,0.7142788171768188,0.7142857313156128
Age: 50-65,0,0.6384722590446472,0.5970538258552551,0.6023277044296265,0.5976063013076782,0.6173912882804871
Race: White,0,0.6679321527481079,0.6140258312225342,0.6126437187194824,0.6118278503417969,0.6132878661155701
Race: Black,0,0.6907713413238525,0.62890625,0.6363636255264282,0.6321070194244385,0.7159091234207153
Race: Other,0,0.7702733278274536,0.672589898109436,0.6854838728904724,0.6637369394302368,0.668367326259613
Overall,1,0.7187469005584717,0.6661618947982788,0.6726301908493042,0.6643812656402588,0.6684045791625977
Gender: Male,1,0.7187469005584717,0.6661618947982788,0.6726301908493042,0.6643812656402588,0.6684045791625977
Age: <40,1,0.7095190286636353,0.6462686061859131,0.6367716789245605,0.6221555471420288,0.6254681944847107
Age: 40-50,1,0.7702003717422485,0.6897653341293335,0.6895200610160828,0.6860923767089844,0.6860986948013306
Age: 50-65,1,0.690971851348877,0.6550183296203613,0.6632583141326904,0.6577317714691162,0.6844350099563599
Race: White,1,0.6894506812095642,0.6605490446090698,0.656005859375,0.6539133787155151,0.6565656661987305
Race: Black,1,0.7057057023048401,0.6338405609130859,0.6737790107727051,0.6455351114273071,0.759615421295166
Race: Other,1,0.6837383508682251,0.5693159103393555,0.5784112215042114,0.5655482411384583,0.5923566818237305
Overall,2,0.6991761922836304,0.6432452201843262,0.6473708152770996,0.6424620747566223,0.6465067863464355
Gender: Male,2,0.6991761922836304,0.6432452201843262,0.6473708152770996,0.6424620747566223,0.6465067863464355
Age: <40,2,0.6294223666191101,0.5846428871154785,0.5828816294670105,0.5812793970108032,0.5839694738388062
Age: 40-50,2,0.7737268209457397,0.6923630237579346,0.6878306865692139,0.684898853302002,0.6863636374473572
Age: 50-65,2,0.6738357543945312,0.6292238235473633,0.6388390064239502,0.6316425800323486,0.6624737977981567
Race: White,2,0.6894485950469971,0.6443420648574829,0.6421591639518738,0.6381852626800537,0.6388415694236755
Race: Black,2,0.7121862173080444,0.6631205677986145,0.6654929518699646,0.6642729640007019,0.75
Race: Other,2,0.6416552066802979,0.5523192882537842,0.5544060468673706,0.5516569018363953,0.5652173757553101
Overall,3,0.7205284833908081,0.6486778259277344,0.6527721881866455,0.6462521553039551,0.6485922932624817
Gender: Male,3,0.7205284833908081,0.6486778259277344,0.6527721881866455,0.6462521553039551,0.6485922932624817
Age: <40,3,0.7147376537322998,0.6296733617782593,0.6261992454528809,0.6228786706924438,0.625
Age: 40-50,3,0.8062195181846619,0.7390798330307007,0.7376561164855957,0.7361674308776855,0.7363635897636414
Age: 50-65,3,0.6603410243988037,0.6008359789848328,0.6102436780929565,0.599981963634491,0.6209149956703186
Race: White,3,0.6880872249603271,0.6324928402900696,0.6264247894287109,0.622644305229187,0.6273187398910522
Race: Black,3,0.6686909198760986,0.5768372416496277,0.5813090801239014,0.5787964463233948,0.7268040776252747
Race: Other,3,0.7264177799224854,0.6241322755813599,0.6319444179534912,0.6230038404464722,0.6337209343910217
Overall,4,0.6909862160682678,0.6369928121566772,0.6392455101013184,0.6376305818557739,0.6454640030860901
Gender: Male,4,0.6909862160682678,0.6369928121566772,0.6392455101013184,0.6376305818557739,0.6454640030860901
Age: <40,4,0.6263902187347412,0.5578231811523438,0.5578231811523438,0.5578231811523438,0.5604395866394043
Age: 40-50,4,0.7836277484893799,0.7069929242134094,0.7063179016113281,0.7065466642379761,0.7078189253807068
Age: 50-65,4,0.647200882434845,0.6198509931564331,0.6321064233779907,0.6226726770401001,0.6636568903923035
Race: White,4,0.6747283935546875,0.6483273506164551,0.6477642059326172,0.6464245319366455,0.6465517282485962
Race: Black,4,0.6818604469299316,0.6162882447242737,0.6143410801887512,0.615282416343689,0.7357512712478638
Race: Other,4,0.6399853229522705,0.5217980146408081,0.5215643644332886,0.5216166377067566,0.5483871102333069
Overall,5,0.74062180519104,0.6788709163665771,0.6853756904602051,0.6783782243728638,0.6830031275749207
Gender: Male,5,0.74062180519104,0.6788709163665771,0.6853756904602051,0.6783782243728638,0.6830031275749207
Age: <40,5,0.7323225736618042,0.671160101890564,0.6621935367584229,0.658011794090271,0.6626505851745605
Age: 40-50,5,0.810579776763916,0.7498459219932556,0.749711275100708,0.7497641444206238,0.75
Age: 50-65,5,0.6863207817077637,0.6303694248199463,0.6457353830337524,0.6321041584014893,0.6618257761001587
Race: White,5,0.7015290260314941,0.6509914398193359,0.6497051119804382,0.6439882516860962,0.6441515684127808
Race: Black,5,0.7913867235183716,0.7532467842102051,0.7418605089187622,0.7471264600753784,0.8103448152542114
Race: Other,5,0.7933815717697144,0.6713916063308716,0.6840934753417969,0.6736992597579956,0.6910112500190735
Overall,6,0.7117025852203369,0.6506710648536682,0.6522035002708435,0.6510546207427979,0.6548488140106201
Gender: Male,6,0.7117025852203369,0.6506710648536682,0.6522035002708435,0.6510546207427979,0.6548488140106201
Age: <40,6,0.7101232409477234,0.6608784198760986,0.6602553129196167,0.660449743270874,0.6622516512870789
Age: 40-50,6,0.7903625965118408,0.7121849060058594,0.7132389545440674,0.7125781774520874,0.7149321436882019
Age: 50-65,6,0.6526576280593872,0.5963218212127686,0.5998910069465637,0.5972219109535217,0.6192660331726074
Race: White,6,0.7023216485977173,0.6476277112960815,0.6454261541366577,0.6451339721679688,0.6474464535713196
Race: Black,6,0.6882411241531372,0.6235431432723999,0.6134716272354126,0.617630660533905,0.7307692766189575
Race: Other,6,0.6398484706878662,0.5621212124824524,0.5621212124824524,0.5621212124824524,0.6000000238418579
Overall,7,0.7036617994308472,0.6394471526145935,0.6432262063026428,0.6393245458602905,0.6444212794303894
Gender: Male,7,0.7036617994308472,0.6394471526145935,0.6432262063026428,0.6393245458602905,0.6444212794303894
Age: <40,7,0.706830620765686,0.6257529258728027,0.6233062744140625,0.6223776340484619,0.6250000596046448
Age: 40-50,7,0.8043774366378784,0.7255434989929199,0.7261375188827515,0.7122577428817749,0.7122641801834106
Age: 50-65,7,0.6389517784118652,0.5967261791229248,0.5989011526107788,0.5975518226623535,0.6252465844154358
Race: White,7,0.6804544925689697,0.6243264675140381,0.6209852695465088,0.6167935132980347,0.6186440587043762
Race: Black,7,0.7057217359542847,0.6498599648475647,0.6384416818618774,0.6433237791061401,0.7487179636955261
Race: Other,7,0.6582661271095276,0.581510066986084,0.5820852518081665,0.5817757844924927,0.6149425506591797
Overall,8,0.7055625915527344,0.6432297229766846,0.6460716724395752,0.6435554027557373,0.6485922932624817
Gender: Male,8,0.7055625915527344,0.6432297229766846,0.6460716724395752,0.6435554027557373,0.6485922932624817
Age: <40,8,0.736443042755127,0.633692741394043,0.6282169222831726,0.6221319437026978,0.625
Age: 40-50,8,0.814752995967865,0.7253937125205994,0.7197513580322266,0.719118595123291,0.7214611768722534
Age: 50-65,8,0.6333101391792297,0.6031321883201599,0.6084957122802734,0.6042407751083374,0.6281512975692749
Race: White,8,0.6851768493652344,0.6417935490608215,0.6416223049163818,0.6393899917602539,0.639398992061615
Race: Black,8,0.7260857820510864,0.6829605102539062,0.6765254735946655,0.6794780492782593,0.7461139559745789
Race: Other,8,0.6957696080207825,0.5554824471473694,0.556930661201477,0.5554569959640503,0.5688623189926147
Overall,9,0.7198741436004639,0.6448652744293213,0.6488091945648193,0.6457127332687378,0.6548488140106201
Gender: Male,9,0.7198741436004639,0.6448652744293213,0.6488091945648193,0.6457127332687378,0.6548488140106201
Age: <40,9,0.7003366947174072,0.6111754179000854,0.6077440977096558,0.6040533781051636,0.6067416071891785
Age: 40-50,9,0.8279339075088501,0.7405914068222046,0.7366942167282104,0.7378737926483154,0.7420814633369446
Age: 50-65,9,0.6589404344558716,0.6000913977622986,0.6065293550491333,0.6018795967102051,0.6411889791488647
Race: White,9,0.6970512866973877,0.6347610354423523,0.6345140337944031,0.6317399740219116,0.6317567825317383
Race: Black,9,0.7112903594970703,0.6235888004302979,0.6165322661399841,0.6197253465652466,0.7589743733406067
Race: Other,9,0.6941767930984497,0.5938876867294312,0.5949676632881165,0.5943396091461182,0.6162790656089783
Overall,10,0.6708246469497681,0.6243686079978943,0.6265325546264648,0.6244478225708008,0.6287800073623657
Gender: Male,10,0.6708246469497681,0.6243686079978943,0.6265325546264648,0.6244478225708008,0.6287800073623657
Age: <40,10,0.6424769163131714,0.5579776167869568,0.5573021173477173,0.557187557220459,0.5618374347686768
Age: 40-50,10,0.7268736362457275,0.6863636374473572,0.6867494583129883,0.6862015724182129,0.6863636374473572
Age: 50-65,10,0.6372489929199219,0.6108073592185974,0.6184210777282715,0.6124854683876038,0.6425438523292542
Race: White,10,0.6448339819908142,0.6167231798171997,0.6161214113235474,0.6135386228561401,0.6136752367019653
Race: Black,10,0.7185157537460327,0.659255862236023,0.650799572467804,0.6543874740600586,0.7193877696990967
Race: Other,10,0.6623613834381104,0.5669504404067993,0.5677103996276855,0.5671627521514893,0.5786516666412354
Overall,11,0.6790753602981567,0.6266727447509766,0.6293531656265259,0.6258406043052673,0.6287800073623657
Gender: Male,11,0.6790753602981567,0.6266727447509766,0.6293531656265259,0.6258406043052673,0.6287800073623657
Age: <40,11,0.6833245754241943,0.6091117262840271,0.6047379970550537,0.6029857397079468,0.6092715263366699
Age: 40-50,11,0.7527176141738892,0.7034150958061218,0.7036345601081848,0.7035101652145386,0.7045454382896423
Age: 50-65,11,0.6145843267440796,0.5774868726730347,0.5836645364761353,0.577338695526123,0.6041189432144165
Race: White,11,0.6486438512802124,0.6133180856704712,0.6117794513702393,0.6077569723129272,0.6083333492279053
Race: Black,11,0.6741474866867065,0.6052560806274414,0.613815188407898,0.6086013913154602,0.6994818449020386
Race: Other,11,0.7119510173797607,0.6179494857788086,0.6171749830245972,0.617357611656189,0.6204819083213806
Overall,12,0.7407469153404236,0.6901718378067017,0.6973409652709961,0.6866810321807861,0.6892596483230591
Gender: Male,12,0.7407469153404236,0.6901718378067017,0.6973409652709961,0.6866810321807861,0.6892596483230591
Age: <40,12,0.7614102363586426,0.7088285088539124,0.697115421295166,0.6888889074325562,0.6920000314712524
Age: 40-50,12,0.8077681064605713,0.7684986591339111,0.7684986591339111,0.7684986591339111,0.7685185074806213
Age: 50-65,12,0.6857793927192688,0.6356310248374939,0.6533913612365723,0.633549690246582,0.6531440019607544
Race: White,12,0.6884356737136841,0.6579083204269409,0.6514219641685486,0.6479154825210571,0.6515913009643555
Race: Black,12,0.8034049868583679,0.725570797920227,0.7655913829803467,0.7414790391921997,0.8272251486778259
Race: Other,12,0.7551966905593872,0.6550824046134949,0.680524468421936,0.649350643157959,0.6666666865348816
Overall,13,0.7021422386169434,0.6538877487182617,0.6592206954956055,0.6531615257263184,0.6579770445823669
Gender: Male,13,0.7021422386169434,0.6538877487182617,0.6592206954956055,0.6531615257263184,0.6579770445823669
Age: <40,13,0.660040020942688,0.6002451181411743,0.5974923372268677,0.5915297865867615,0.5931034684181213
Age: 40-50,13,0.8157575726509094,0.7628504633903503,0.7629870176315308,0.7627701759338379,0.7627906799316406
Age: 50-65,13,0.6521971225738525,0.6172981262207031,0.6284024119377136,0.6190209984779358,0.649779736995697
Race: White,13,0.6520668268203735,0.6324107050895691,0.6292304396629333,0.6266541481018066,0.6287128925323486
Race: Black,13,0.7530288696289062,0.6773809790611267,0.6944081783294678,0.6847435235977173,0.785714328289032
Race: Other,13,0.7176470756530762,0.5820754766464233,0.5924019813537598,0.5825450420379639,0.6257309913635254
Overall,14,0.7086817026138306,0.6411651968955994,0.6461845636367798,0.6398536562919617,0.6444212794303894
Gender: Male,14,0.7086817026138306,0.6411651968955994,0.6461845636367798,0.6398536562919617,0.6444212794303894
Age: <40,14,0.7083653211593628,0.6366441249847412,0.6339800357818604,0.6288869380950928,0.629757821559906
Age: 40-50,14,0.8226455450057983,0.7614778280258179,0.7637165784835815,0.7617806196212769,0.7627906799316406
Age: 50-65,14,0.6439354419708252,0.5747584104537964,0.5811827778816223,0.5737890601158142,0.5978022217750549
Race: White,14,0.6889426708221436,0.6284643411636353,0.6266753673553467,0.6203519105911255,0.6207482814788818
Race: Black,14,0.7043859958648682,0.6469939351081848,0.6335839629173279,0.6386268138885498,0.7157360315322876
Race: Other,14,0.7194444537162781,0.6290063858032227,0.6412280797958374,0.6277432441711426,0.6436781883239746
Overall,15,0.6928576231002808,0.6276856660842896,0.6304950714111328,0.6272072196006775,0.6308655142784119
Gender: Male,15,0.6928576231002808,0.6276856660842896,0.6304950714111328,0.6272072196006775,0.6308655142784119
Age: <40,15,0.6382058262825012,0.5761986374855042,0.5759904384613037,0.5714043378829956,0.5714285969734192
Age: 40-50,15,0.7481818199157715,0.6574143171310425,0.6536363363265991,0.6533381938934326,0.6571428775787354
Age: 50-65,15,0.6836104393005371,0.6282019019126892,0.6327419281005859,0.6296958923339844,0.6521739363670349
Race: White,15,0.6873785257339478,0.6286207437515259,0.6274394989013672,0.6268526315689087,0.6279069781303406
Race: Black,15,0.6735384464263916,0.6208390593528748,0.6223077178001404,0.6215451955795288,0.694444477558136
Race: Other,15,0.6340000033378601,0.5503246784210205,0.5596153736114502,0.5426356792449951,0.5762711763381958
Overall,16,0.6807054877281189,0.6255762577056885,0.6282708644866943,0.6236464977264404,0.6256517171859741
Gender: Male,16,0.6807054877281189,0.6255762577056885,0.6282708644866943,0.6236464977264404,0.6256517171859741
Age: <40,16,0.6320455074310303,0.5476893186569214,0.545259416103363,0.5413622856140137,0.5494880080223083
Age: 40-50,16,0.8147796392440796,0.7337576150894165,0.7337576150894165,0.7281553149223328,0.7281553745269775
Age: 50-65,16,0.6262565851211548,0.6051105856895447,0.610538899898529,0.6061466932296753,0.6282608509063721
Race: White,16,0.6344373822212219,0.6106049418449402,0.607142448425293,0.6036773920059204,0.6065573692321777
Race: Black,16,0.6976743936538696,0.6274634599685669,0.6195587515830994,0.6228735446929932,0.7125000357627869
Race: Other,16,0.7029999494552612,0.5925925970077515,0.6012499928474426,0.5916234850883484,0.6137565970420837
Overall,17,0.680217981338501,0.6100281476974487,0.6120282411575317,0.6088483333587646,0.6110531687736511
Gender: Male,17,0.680217981338501,0.6100281476974487,0.6120282411575317,0.6088483333587646,0.6110531687736511
Age: <40,17,0.6849033832550049,0.5979166626930237,0.594519853591919,0.5887330770492554,0.5912162065505981
Age: 40-50,17,0.7137051820755005,0.6495097875595093,0.6470385789871216,0.6457414627075195,0.6473029255867004
Age: 50-65,17,0.636519193649292,0.5742366313934326,0.5760489702224731,0.574850857257843,0.6042654514312744
Race: White,17,0.6516884565353394,0.60198974609375,0.6004846692085266,0.5991285443305969,0.600694477558136
Race: Black,17,0.7551020383834839,0.6165093183517456,0.6445578336715698,0.6245760917663574,0.7322404384613037
Race: Other,17,0.62656569480896,0.5299999713897705,0.5303030014038086,0.5288220643997192,0.5299999713897705
Overall,18,0.693084716796875,0.632509171962738,0.6353432536125183,0.6322388052940369,0.6360792517662048
Gender: Male,18,0.693084716796875,0.632509171962738,0.6353432536125183,0.6322388052940369,0.6360792517662048
Age: <40,18,0.7270314693450928,0.6493152976036072,0.6470701694488525,0.6455863118171692,0.6468401551246643
Age: 40-50,18,0.7831196784973145,0.7178585529327393,0.7172476053237915,0.7174447178840637,0.718367338180542
Age: 50-65,18,0.6049610376358032,0.5634675025939941,0.5684093236923218,0.5621592998504639,0.584269642829895
Race: White,18,0.6465599536895752,0.6070021390914917,0.6060606241226196,0.602370023727417,0.6026490330696106
Race: Black,18,0.7783451080322266,0.6689568758010864,0.6497119665145874,0.6564748287200928,0.727748692035675
Race: Other,18,0.725156307220459,0.6421045064926147,0.6475000381469727,0.6427561044692993,0.6524389982223511
Overall,19,0.7108789682388306,0.6618131995201111,0.6676288843154907,0.6612773537635803,0.6663190722465515
Gender: Male,19,0.7108789682388306,0.6618131995201111,0.6676288843154907,0.6612773537635803,0.6663190722465515
Age: <40,19,0.6880262494087219,0.6295492053031921,0.6192141175270081,0.6101914644241333,0.617241382598877
Age: 40-50,19,0.8147302865982056,0.7603930234909058,0.7622513771057129,0.7608680129051208,0.762135922908783
Age: 50-65,19,0.6466081142425537,0.6169791221618652,0.6239811182022095,0.6191024780273438,0.6544276475906372
Race: White,19,0.6938612461090088,0.6621377468109131,0.6599172353744507,0.6569098234176636,0.6575562357902527
Race: Black,19,0.6944562196731567,0.6380072236061096,0.6464818716049194,0.6418195962905884,0.7573964595794678
Race: Other,19,0.6795424222946167,0.5735294222831726,0.5828912258148193,0.5722222328186035,0.6071428656578064
