group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5347763299942017,0.7858638763427734,0.5048426389694214,0.3733498156070709,0.5735141038894653
Gender: Male,0,0.5347763299942017,0.7858638763427734,0.5048426389694214,0.3733498156070709,0.5735141038894653
Age: <40,0,0.5561543703079224,0.2550675570964813,0.5,0.3378075957298279,0.5101351737976074
Age: 40-50,0,0.5558143854141235,0.75,0.5049019455909729,0.3430420756340027,0.5024630427360535
Age: 50-65,0,0.5191377401351929,0.8216630220413208,0.509036123752594,0.4092295169830322,0.6456521153450012
Race: White,0,0.48770463466644287,0.7487135529518127,0.5067340135574341,0.345476895570755,0.5008517503738403
Race: Black,0,0.5488981008529663,0.375,0.5,0.4285714328289032,0.75
Race: Other,0,0.5885976552963257,0.3163265287876129,0.5,0.38749998807907104,0.6326530575752258
Overall,1,0.5069355964660645,0.6570378541946411,0.5047314763069153,0.3871488571166992,0.6006256341934204
Gender: Male,1,0.5069355964660645,0.6570378541946411,0.5047314763069153,0.3871488571166992,0.6006256341934204
Age: <40,1,0.4609304666519165,0.2679245173931122,0.4930555522441864,0.347188264131546,0.5318351984024048
Age: 40-50,1,0.6020523309707642,0.7680180072784424,0.504807710647583,0.35849741101264954,0.5381166338920593
Age: 50-65,1,0.4880909025669098,0.8333333730697632,0.5125786066055298,0.4245398938655853,0.6695095896720886
Race: White,1,0.4443625807762146,0.6067169904708862,0.5049713850021362,0.34853941202163696,0.5016834735870361
Race: Black,1,0.5353248119354248,0.4110576808452606,0.5,0.4511873424053192,0.822115421295166
Race: Other,1,0.5456074476242065,0.3407643437385559,0.5,0.405303031206131,0.6815286874771118
Overall,2,0.500282347202301,0.5288185477256775,0.5020684599876404,0.387009859085083,0.5849843621253967
Gender: Male,2,0.500282347202301,0.5288185477256775,0.5020684599876404,0.387009859085083,0.5849843621253967
Age: <40,2,0.5031182765960693,0.4451361894607544,0.49589088559150696,0.3409176170825958,0.4885496199131012
Age: 40-50,2,0.5942460298538208,0.7557077407836914,0.5046296119689941,0.3475429117679596,0.5136363506317139
Age: 50-65,2,0.47162312269210815,0.5652555823326111,0.5066798329353333,0.43019425868988037,0.6708595156669617
Race: White,2,0.43734294176101685,0.5118213891983032,0.5012564063072205,0.36757373809814453,0.5229982733726501
Race: Black,2,0.48652786016464233,0.37700533866882324,0.4964788854122162,0.4285714328289032,0.75
Race: Other,2,0.6075034141540527,0.3070652186870575,0.5,0.3804713785648346,0.614130437374115
Overall,3,0.4870932102203369,0.49088048934936523,0.49980559945106506,0.3719896078109741,0.5808133482933044
Gender: Male,3,0.4870932102203369,0.49088048934936523,0.49980559945106506,0.3719896078109741,0.5808133482933044
Age: <40,3,0.5376607179641724,0.2526881694793701,0.4964788854122162,0.3349168598651886,0.5035714507102966
Age: 40-50,3,0.5567777156829834,0.25681817531585693,0.5,0.33933934569358826,0.5136363506317139
Age: 50-65,3,0.43926122784614563,0.5807692408561707,0.5031099319458008,0.40959760546684265,0.6601306796073914
Race: White,3,0.4082201421260834,0.4978777766227722,0.4999431073665619,0.3372914791107178,0.4957841634750366
Race: Black,3,0.530701756477356,0.4015544056892395,0.4967948794364929,0.44412606954574585,0.798969030380249
Race: Other,3,0.5941840410232544,0.3139534890651703,0.5,0.3857142925262451,0.6279069781303406
Overall,4,0.4584701657295227,0.5437172651290894,0.5007490515708923,0.3745652139186859,0.5870698690414429
Gender: Male,4,0.4584701657295227,0.5437172651290894,0.5007490515708923,0.3745652139186859,0.5870698690414429
Age: <40,4,0.40152251720428467,0.23076923191547394,0.5,0.31578946113586426,0.4615384638309479
Age: 40-50,4,0.517255425453186,0.2633744776248932,0.5,0.34501346945762634,0.5267489552497864
Age: 50-65,4,0.47657346725463867,0.5996583104133606,0.5042264461517334,0.42492055892944336,0.697516918182373
Race: White,4,0.4152156114578247,0.5078125,0.5002142190933228,0.34644612669944763,0.5155172348022461
Race: Black,4,0.4843410849571228,0.38860103487968445,0.5,0.43731778860092163,0.7772020697593689
Race: Other,4,0.4729532301425934,0.30645161867141724,0.5,0.3799999952316284,0.6129032373428345
Overall,5,0.5353264212608337,0.7003161311149597,0.508587658405304,0.39490458369255066,0.6027111411094666
Gender: Male,5,0.5353264212608337,0.7003161311149597,0.508587658405304,0.39490458369255066,0.6027111411094666
Age: <40,5,0.5743225812911987,0.5833333730697632,0.5039677619934082,0.34805741906166077,0.5020080208778381
Age: 40-50,5,0.6436436176300049,0.2565789520740509,0.5,0.3391304314136505,0.5131579041481018
Age: 50-65,5,0.4879654347896576,0.7759398221969604,0.51835697889328,0.4474039673805237,0.6970954537391663
Race: White,5,0.45689165592193604,0.6721943020820618,0.5112276077270508,0.3793178200721741,0.5485996603965759
Race: Black,5,0.628423810005188,0.37068966031074524,0.5,0.42574256658554077,0.7413793206214905
Race: Other,5,0.6603170037269592,0.3258427083492279,0.5,0.3945578336715698,0.6516854166984558
Overall,6,0.4906694293022156,0.5604093670845032,0.5022839903831482,0.37187057733535767,0.5651720762252808
Gender: Male,6,0.4906694293022156,0.5604093670845032,0.5022839903831482,0.37187057733535767,0.5651720762252808
Age: <40,6,0.48750001192092896,0.4848993420600891,0.4992077350616455,0.33037692308425903,0.4701986610889435
Age: 40-50,6,0.5776618719100952,0.7772727012634277,0.5050504803657532,0.3667251467704773,0.5565611124038696
Age: 50-65,6,0.45923304557800293,0.5682870149612427,0.5026792287826538,0.4001401960849762,0.6353210806846619
Race: White,6,0.4511532187461853,0.5996428728103638,0.5045488476753235,0.341444194316864,0.48764413595199585
