group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6546010971069336,0.6303302049636841,0.6281052827835083,0.627495288848877,0.6300000548362732
Gender: Male,0,0.6541479825973511,0.6428591012954712,0.6428571939468384,0.6428559422492981,0.6428571343421936
Gender: Female,0,0.6545687913894653,0.6146206855773926,0.6053913831710815,0.6018641591072083,0.6145374178886414
Age: <40,0,0.616995096206665,0.6439393758773804,0.6052955389022827,0.6002747416496277,0.6563574075698853
Age: 40-50,0,0.7198573350906372,0.6648002862930298,0.6629552245140076,0.661866307258606,0.6627451181411743
Age: 50-65,0,0.618861198425293,0.5923937559127808,0.5915298461914062,0.5915429592132568,0.5947136282920837
Race: White,0,0.6546010971069336,0.6303302049636841,0.6281052827835083,0.627495288848877,0.6300000548362732
Overall,1,0.6920309066772461,0.6427297592163086,0.6380687952041626,0.6336554288864136,0.6360000371932983
Gender: Male,1,0.6844668388366699,0.6363292336463928,0.6359506845474243,0.6356298327445984,0.6358490586280823
Gender: Female,1,0.7064489722251892,0.6603578329086304,0.6434013843536377,0.628623366355896,0.6361702084541321
Age: <40,1,0.6378964185714722,0.6154310703277588,0.5707716941833496,0.5550123453140259,0.6382978558540344
Age: 40-50,1,0.7617257237434387,0.6936851739883423,0.68943190574646,0.6860606074333191,0.6872586607933044
Age: 50-65,1,0.6463819742202759,0.5992541313171387,0.6013909578323364,0.5992658734321594,0.6056644916534424
Race: White,1,0.6920309066772461,0.6427297592163086,0.6380687952041626,0.6336554288864136,0.6360000371932983
Overall,2,0.6604458093643188,0.6319770812988281,0.6298872232437134,0.6253390908241272,0.6260000467300415
Gender: Male,2,0.6330463290214539,0.6290021538734436,0.6285226345062256,0.6281405687332153,0.6284658312797546
Gender: Female,2,0.699307918548584,0.6427485942840576,0.6372549533843994,0.6218804121017456,0.6230936646461487
Age: <40,2,0.6453015804290771,0.6859899759292603,0.62884521484375,0.627876341342926,0.6910299062728882
Age: 40-50,2,0.6778609752655029,0.608974814414978,0.6078208684921265,0.6072404384613037,0.6086956262588501
Age: 50-65,2,0.5880136489868164,0.5754348039627075,0.5798403024673462,0.5749412775039673,0.5927505493164062
Race: White,2,0.6604458093643188,0.6319770812988281,0.6298872232437134,0.6253390908241272,0.6260000467300415
Overall,3,0.6685464382171631,0.6242771148681641,0.6217858195304871,0.6178439855575562,0.6190000176429749
Gender: Male,3,0.6822078227996826,0.6374654769897461,0.6377376317977905,0.6373347043991089,0.6375464797019958
Gender: Female,3,0.6562025547027588,0.6131774187088013,0.6016315221786499,0.5884876847267151,0.5974025726318359
Age: <40,3,0.6453527212142944,0.6744147539138794,0.6086175441741943,0.595921516418457,0.6631205677986145
Age: 40-50,3,0.6776859760284424,0.6175699234008789,0.6159899234771729,0.6135672330856323,0.6144067645072937
Age: 50-65,3,0.6298404335975647,0.5861824750900269,0.5873758792877197,0.5864627361297607,0.5954357385635376
Race: White,3,0.6685464382171631,0.6242771148681641,0.6217858195304871,0.6178439855575562,0.6190000176429749
Overall,4,0.6587477326393127,0.618774950504303,0.6155061721801758,0.6131387948989868,0.6160000562667847
Gender: Male,4,0.6340204477310181,0.5993054509162903,0.5987927317619324,0.5983479022979736,0.5989208817481995
Gender: Female,4,0.691720724105835,0.6480304598808289,0.6361201405525208,0.6294456720352173,0.6373873949050903
Age: <40,4,0.6247482299804688,0.6129019260406494,0.5797438025474548,0.570105791091919,0.6336996555328369
Age: 40-50,4,0.7604427337646484,0.6849669218063354,0.6791980266571045,0.6789636611938477,0.6833333969116211
Age: 50-65,4,0.5805832743644714,0.5689681768417358,0.5697457790374756,0.5688797831535339,0.5728952884674072
Race: White,4,0.6587477326393127,0.618774950504303,0.6155061721801758,0.6131387948989868,0.6160000562667847
Overall,5,0.6581843495368958,0.6308722496032715,0.6289761066436768,0.6261742115020752,0.6270000338554382
Gender: Male,5,0.6534372568130493,0.6491541862487793,0.6495074033737183,0.648276150226593,0.6483516693115234
Gender: Female,5,0.6678375005722046,0.6076406240463257,0.6013215780258179,0.59538334608078,0.6013215780258179
Age: <40,5,0.6225718259811401,0.6228813529014587,0.5810669660568237,0.5656431913375854,0.6305084824562073
Age: 40-50,5,0.7134462594985962,0.6742598414421082,0.6733821630477905,0.6722640991210938,0.6724891066551208
Age: 50-65,5,0.602300763130188,0.593217134475708,0.5935869812965393,0.5933775305747986,0.6029412150382996
Race: White,5,0.6581843495368958,0.6308722496032715,0.6289761066436768,0.6261742115020752,0.6270000338554382
Overall,6,0.6883988976478577,0.6527221202850342,0.6482330560684204,0.6447831392288208,0.6470000147819519
Gender: Male,6,0.7035099864006042,0.669340968132019,0.6681137681007385,0.6673462986946106,0.6678766012191772
Gender: Female,6,0.6755410432815552,0.6352754831314087,0.6248660087585449,0.6151790618896484,0.6213808655738831
Age: <40,6,0.6508051156997681,0.6940199136734009,0.6507018804550171,0.6529115438461304,0.698245644569397
Age: 40-50,6,0.6997809410095215,0.6561400890350342,0.657060980796814,0.656544029712677,0.6651583909988403
Age: 50-65,6,0.6542774438858032,0.6079508066177368,0.613783597946167,0.6036581993103027,0.6093117594718933
Race: White,6,0.6883988976478577,0.6527221202850342,0.6482330560684204,0.6447831392288208,0.6470000147819519
Overall,7,0.6491489410400391,0.611201286315918,0.60999596118927,0.6056450605392456,0.6060000061988831
Gender: Male,7,0.6196472644805908,0.600716233253479,0.6004880666732788,0.5970479846000671,0.5970696210861206
