group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6324371702304915,0.6813725490196079,0.5018050541516246,0.577962577962578,0.5814432989690722
Gender: F,0,0.6390382330942848,0.6749482401656315,0.5478991596638656,0.6048237476808905,0.563971340839304
Gender: M,0,0.6321767381416505,0.6906906906906907,0.44834307992202727,0.5437352245862884,0.5991692627206646
Age: Adult,0,0.5751722561473402,0.6026200873362445,0.5092250922509225,0.552,0.5492957746478874
Age: Senior,0,0.6550806112888115,0.811377245508982,0.4990791896869245,0.6180159635119726,0.5954106280193237
Age: Young,0,0.678862822387522,0.5810276679841897,0.5,0.5374771480804388,0.5886178861788618
Race: black,0,0.5434830158139942,0.7270833333333333,1.0,0.841978287092883,0.7270833333333333
Race: others,0,0.5805809440340554,0.6130030959752322,0.8081632653061225,0.6971830985915493,0.5784313725490197
Race: white,0,0.5521024691536603,0.6923076923076923,0.017509727626459144,0.03415559772296015,0.5161596958174905
Overall,1,0.6227591231049172,0.7017543859649122,0.49733570159857904,0.5821205821205822,0.5864197530864198
Gender: F,1,0.6317670161509229,0.697286012526096,0.5439739413680782,0.6111619396157365,0.5741482965931863
Gender: M,1,0.6339510728686636,0.7084639498432602,0.44140625,0.5439229843561973,0.5993657505285412
Age: Adult,1,0.5000479478327579,0.6149425287356322,0.45147679324894513,0.5206812652068127,0.5230024213075061
Age: Senior,1,0.6296279695203945,0.8111111111111111,0.5078260869565218,0.6245989304812835,0.5946882217090069
Age: Young,1,0.667011450450941,0.6098484848484849,0.5127388535031847,0.5570934256055363,0.6150375939849624
Race: black,1,0.45266602809706263,0.7341772151898734,1.0,0.8467153284671532,0.7341772151898734
Race: others,1,0.5580795208359883,0.6557377049180327,0.847457627118644,0.7393715341959335,0.6178861788617886
Race: white,1,0.533332453181419,0.631578947368421,0.02214022140221402,0.0427807486631016,0.5122615803814714
Overall,2,0.6158477662555231,0.6888888888888889,0.4951197870452529,0.5761486835312338,0.5708311552535285
Gender: F,2,0.6647533584665214,0.6911447084233261,0.6286836935166994,0.6584362139917695,0.6222980659840728
Gender: M,2,0.558363284167289,0.6858789625360231,0.3851132686084142,0.49326424870466323,0.5270793036750484
Age: Adult,2,0.6505470229328845,0.6473429951690821,0.5469387755102041,0.5929203539823009,0.5808656036446469
Age: Senior,2,0.5755026223776224,0.7492877492877493,0.4597902097902098,0.5698808234019501,0.5296208530805687
Age: Young,2,0.6586290322580645,0.6388888888888888,0.5193548387096775,0.5729537366548043,0.6190476190476191
Race: black,2,0.45920175438596494,0.7210626185958254,1.0,0.8379272326350606,0.7226415094339622
