group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6032794076649338,0.6124338624338624,0.801038062283737,0.6941529235382309,0.592
Gender: Female,0,0.5852862403749581,0.6133720930232558,0.7275862068965517,0.6656151419558359,0.5725806451612904
Gender: Male,0,0.631663130144033,0.6116504854368932,0.875,0.72,0.6111111111111112
Age: Adult,0,0.6124554901533319,0.591715976331361,0.7194244604316546,0.6493506493506493,0.5462184873949579
Age: Senior,0,0.5797008097591755,0.6345679012345679,1.0,0.7764350453172205,0.6345679012345679
Age: Young,0,0.5871271585557299,0.5824175824175825,0.5824175824175825,0.5824175824175825,0.5742296918767507
Race: Black,0,0.4019060138021689,0.7782608695652173,1.0,0.8753056234718827,0.7782608695652173
Race: Others,0,0.5374822479204707,0.5326633165829145,1.0,0.6950819672131148,0.5326633165829145
Race: White,0,0.5244186903037297,0.5443425076452599,0.6075085324232082,0.5741935483870968,0.5376532399299475
Overall,1,0.6063284982691042,0.6012820512820513,0.8184991273996509,0.6932742054693274,0.585
Gender: Female,1,0.6016158260344308,0.6196808510638298,0.7740863787375415,0.6883308714918759,0.5950095969289827
Gender: Male,1,0.6131358340437625,0.5841584158415841,0.8676470588235294,0.6982248520710059,0.5741127348643006
Age: Adult,1,0.547965830875123,0.5555555555555556,0.7291666666666666,0.6306306306306306,0.5214007782101168
Age: Senior,1,0.5999945795051088,0.6306532663316583,1.0,0.773497688751926,0.6306532663316583
Age: Young,1,0.6313160196461011,0.5854922279792746,0.6348314606741573,0.6091644204851752,0.5797101449275363
Race: Black,1,0.4580170777988614,0.7322834645669292,1.0,0.8454545454545455,0.7322834645669292
Race: Others,1,0.5650239234449761,0.5365853658536586,1.0,0.6984126984126984,0.5365853658536586
Race: White,1,0.5419196477409474,0.5389408099688473,0.6245487364620939,0.5785953177257525,0.5341959334565619
Overall,2,0.5871761266256679,0.5804816223067174,0.8403669724770643,0.6866566716641679,0.582
Gender: Female,2,0.6038553831386979,0.5656836461126006,0.793233082706767,0.6604068857589984,0.5668662674650699
Gender: Male,2,0.5900456174649723,0.59375,0.8853046594982079,0.7107913669064748,0.5971943887775552
Age: Adult,2,0.542081381733021,0.5146198830409356,0.7213114754098361,0.6006825938566553,0.5
Age: Senior,2,0.5628966346153846,0.6190476190476191,1.0,0.7647058823529411,0.6190476190476191
Age: Young,2,0.6172349056287505,0.5555555555555556,0.6748466257668712,0.6094182825484764,0.5924855491329479
Race: Black,2,0.4034090909090909,0.6752767527675276,1.0,0.8061674008810573,0.6752767527675276
Race: Others,2,0.5370792492971659,0.5347826086956522,1.0,0.6968838526912181,0.5347826086956522
Race: White,2,0.5508207273897652,0.5277777777777778,0.6359832635983264,0.5768500948766604,0.5531062124248497
Overall,3,0.6049411184064145,0.5959339263024143,0.8481012658227848,0.7,0.598
Gender: Female,3,0.5837030616442381,0.587431693989071,0.7517482517482518,0.6595092024539877,0.5763358778625954
Gender: Male,3,0.643666111140978,0.6033254156769596,0.951310861423221,0.7383720930232558,0.6218487394957983
Age: Adult,3,0.5473431498079385,0.5674157303370787,0.7112676056338029,0.63125,0.5317460317460317
Age: Senior,3,0.5736105011467331,0.6096385542168675,1.0,0.7574850299401198,0.6096385542168675
Age: Young,3,0.6360036166365279,0.5927835051546392,0.7278481012658228,0.6534090909090909,0.6336336336336337
Race: Black,3,0.4456867057673509,0.6788321167883211,1.0,0.808695652173913,0.6788321167883211
Race: Others,3,0.4907245532245532,0.5707317073170731,1.0,0.7267080745341615,0.5707317073170731
Race: White,3,0.577409594095941,0.538961038961039,0.664,0.5949820788530465,0.5662188099808061
Overall,4,0.6532832792207791,0.6124338624338624,0.8267857142857142,0.7036474164133738,0.61
Gender: Female,4,0.6438820646394279,0.6519174041297935,0.7391304347826086,0.6927899686520376,0.6201550387596899
Gender: Male,4,0.660086249849664,0.580335731414868,0.9272030651340997,0.7138643067846607,0.5991735537190083
Age: Adult,4,0.605430902600714,0.6309523809523809,0.7162162162162162,0.6708860759493671,0.5905511811023622
Age: Senior,4,0.6594282774838329,0.6086956521739131,1.0,0.7567567567567568,0.6086956521739131
Age: Young,4,0.6402071220930232,0.603448275862069,0.65625,0.6287425149700598,0.6265060240963856
Race: Black,4,0.4569043506867341,0.75390625,1.0,0.8596881959910914,0.75390625
Race: Others,4,0.602050919377652,0.5906432748538012,1.0,0.7426470588235294,0.5906432748538012
Race: White,4,0.5717592025666773,0.513677811550152,0.6353383458646616,0.5680672268907563,0.5514834205933682
Overall,5,0.5973376991424691,0.6078431372549019,0.8172231985940246,0.697151424287856,0.596
Gender: Female,5,0.6193151642208246,0.6329787234042553,0.7484276729559748,0.6858789625360231,0.5985267034990792
Gender: Male,5,0.5678547944145748,0.583547557840617,0.9043824701195219,0.709375,0.5929978118161926
Age: Adult,5,0.5871712864250178,0.5652173913043478,0.6791044776119403,0.6169491525423729,0.5271966527196653
Age: Senior,5,0.5568308928208257,0.639225181598063,1.0,0.7799113737075333,0.639225181598063
Age: Young,5,0.6182806356758186,0.5759162303664922,0.6432748538011696,0.6077348066298343,0.5919540229885057
Race: Black,5,0.4577783362653933,0.7148760330578512,1.0,0.8337349397590361,0.7148760330578512
Race: Others,5,0.5670315951214828,0.5679611650485437,1.0,0.7244582043343654,0.5679611650485437
Race: White,5,0.5383236834849738,0.5520504731861199,0.6272401433691757,0.587248322147651,0.5543478260869565
Overall,6,0.5885358800078426,0.5989717223650386,0.8146853146853147,0.6903703703703704,0.582
Gender: Female,6,0.5743620606644199,0.6366120218579235,0.7516129032258064,0.6893491124260355,0.589041095890411
Gender: Male,6,0.5939822443420654,0.5655339805825242,0.8893129770992366,0.6913946587537092,0.5746421267893661
Age: Adult,6,0.4962815039250792,0.5329341317365269,0.6496350364963503,0.5855263157894737,0.48148148148148145
Age: Senior,6,0.566045362158167,0.616822429906542,1.0,0.7630057803468208,0.616822429906542
Age: Young,6,0.641072618254497,0.6174863387978142,0.6608187134502924,0.6384180790960452,0.6109422492401215
Race: Black,6,0.44282919889748373,0.7025862068965517,1.0,0.8253164556962025,0.7025862068965517
Race: Others,6,0.5866366366366367,0.5522388059701493,1.0,0.7115384615384616,0.5522388059701493
Race: White,6,0.5455203213492678,0.5565217391304348,0.6442953020134228,0.5972006220839814,0.5432098765432098
Overall,7,0.6191013499071015,0.6242038216560509,0.8419243986254296,0.7168983174835406,0.613
Gender: Female,7,0.6167002012072434,0.6100278551532033,0.7711267605633803,0.6811819595645412,0.590818363273453
Gender: Male,7,0.6290276803899963,0.636150234741784,0.9093959731543624,0.7486187845303868,0.6352705410821643
Age: Adult,7,0.5653177225029149,0.5852534562211982,0.7650602409638554,0.6631853785900783,0.5551724137931034
Age: Senior,7,0.60625,0.6534653465346535,1.0,0.7904191616766467,0.6534653465346535
Age: Young,7,0.639524948735475,0.6036585365853658,0.6513157894736842,0.6265822784810127,0.6143790849673203
Race: Black,7,0.427165991902834,0.7450980392156863,1.0,0.8539325842696629,0.7450980392156863
Race: Others,7,0.6098560079443893,0.5824175824175825,1.0,0.7361111111111112,0.5824175824175825
Race: White,7,0.5565751937593093,0.5574712643678161,0.6783216783216783,0.61198738170347,0.5630550621669627
Overall,8,0.6009953706576644,0.6321989528795812,0.817258883248731,0.7129151291512915,0.611
Gender: Female,8,0.5947130550837175,0.6349206349206349,0.7570977917981072,0.6906474820143885,0.5904761904761905
Gender: Male,8,0.6089080146711696,0.6295336787564767,0.8868613138686131,0.7363636363636363,0.6336842105263157
Age: Adult,8,0.6021883074935401,0.5740740740740741,0.7209302325581395,0.6391752577319587,0.5333333333333333
Age: Senior,8,0.5467575772657144,0.6658823529411765,1.0,0.7994350282485876,0.6658823529411765
Age: Young,8,0.6002646280505733,0.6045197740112994,0.5977653631284916,0.601123595505618,0.5942857142857143
Race: Black,8,0.45686013767209016,0.734375,1.0,0.8468468468468469,0.734375
Race: Others,8,0.6287105751391465,0.5925925925925926,1.0,0.7441860465116279,0.5925925925925926
Race: White,8,0.5256104863063626,0.5736677115987461,0.6288659793814433,0.6,0.5603603603603604
Overall,9,0.6006214039125432,0.6309677419354839,0.8082644628099174,0.7086956521739131,0.598
Gender: Female,9,0.5999245852187027,0.6580459770114943,0.7339743589743589,0.693939393939394,0.5951903807615231
Gender: Male,9,0.5986725518508795,0.6088992974238876,0.8873720136518771,0.7222222222222222,0.6007984031936128
Age: Adult,9,0.5768027210884353,0.5942857142857143,0.6933333333333334,0.64,0.5282258064516129
Age: Senior,9,0.5913944802346276,0.6737089201877934,1.0,0.8050490883590463,0.6737089201877934
Age: Young,9,0.5952004219409283,0.5632183908045977,0.5833333333333334,0.5730994152046783,0.5521472392638037
Race: Black,9,0.40825953022718525,0.7871485943775101,1.0,0.8808988764044944,0.7871485943775101
Race: Others,9,0.622068612391193,0.5303030303030303,1.0,0.693069306930693,0.5303030303030303
Race: White,9,0.5174910166983724,0.573170731707317,0.618421052631579,0.5949367088607594,0.5370705244122965
Overall,10,0.6118198369930472,0.6103896103896104,0.8289241622574955,0.7030665669409125,0.603
Gender: Female,10,0.5945238216301418,0.6115942028985507,0.7617328519855595,0.6784565916398714,0.5918367346938775
Gender: Male,10,0.6299529780564264,0.6094117647058823,0.8931034482758621,0.7244755244755244,0.6137254901960785
Age: Adult,10,0.5830223880597014,0.5535714285714286,0.6940298507462687,0.6158940397350994,0.5206611570247934
Age: Senior,10,0.5740296118447379,0.649164677804296,1.0,0.7872648335745297,0.649164677804296
Age: Young,10,0.6300509456347267,0.5737704918032787,0.6521739130434783,0.6104651162790697,0.6047197640117994
Race: Black,10,0.4460436470745749,0.7158671586715867,1.0,0.8344086021505376,0.7158671586715867
Race: Others,10,0.590405482581382,0.5478723404255319,1.0,0.7079037800687286,0.5478723404255319
Race: White,10,0.5619447861145278,0.5562700964630225,0.6407407407407407,0.5955249569707401,0.5656192236598891
Overall,11,0.6098413788311651,0.6176470588235294,0.806282722513089,0.6994700984102953,0.603
Gender: Female,11,0.6009745293466223,0.6573816155988857,0.7492063492063492,0.7002967359050445,0.6188679245283019
Gender: Male,11,0.6089750621617668,0.5809768637532133,0.875968992248062,0.6986089644513137,0.5851063829787234
Age: Adult,11,0.6225379310344827,0.5666666666666667,0.7034482758620689,0.6276923076923077,0.5518518518518518
Age: Senior,11,0.6052408014998828,0.648578811369509,1.0,0.786833855799373,0.648578811369509
Age: Young,11,0.5896977741474372,0.6022099447513812,0.615819209039548,0.6089385474860335,0.5918367346938775
Race: Black,11,0.3545696324951644,0.7401574803149606,1.0,0.8506787330316742,0.7401574803149606
Race: Others,11,0.5487012987012987,0.5792349726775956,1.0,0.7335640138408305,0.5792349726775956
Race: White,11,0.5373504467666212,0.5401929260450161,0.6021505376344086,0.5694915254237288,0.5488454706927176
Overall,12,0.5872603129686988,0.6687898089171974,0.8454106280193237,0.7467994310099573,0.644
Gender: Female,12,0.6071268237934904,0.6693333333333333,0.7968253968253968,0.7275362318840579,0.6335282651072125
Gender: Male,12,0.5592297692557686,0.6682926829268293,0.8954248366013072,0.7653631284916201,0.6550308008213552
Age: Adult,12,0.5704569236135333,0.5706806282722513,0.7730496453900709,0.6566265060240963,0.5665399239543726
Age: Senior,12,0.5312534435261709,0.7125890736342043,1.0,0.8321775312066574,0.7125890736342043
Age: Young,12,0.6161151960784313,0.6705202312138728,0.6444444444444445,0.6572237960339944,0.6170886075949367
Race: Black,12,0.4242134353741497,0.7313432835820896,1.0,0.8448275862068966,0.7313432835820896
Race: Others,12,0.5497874924104433,0.6009852216748769,1.0,0.7507692307692307,0.6009852216748769
Race: White,12,0.5769371184906101,0.6592356687898089,0.6831683168316832,0.6709886547811994,0.6162570888468809
Overall,13,0.5910658016682113,0.6243589743589744,0.8324786324786325,0.7135531135531136,0.609
Gender: Female,13,0.589450354609929,0.6090225563909775,0.7788461538461539,0.6835443037974683,0.5886654478976234
Gender: Male,13,0.611039886039886,0.6404199475065617,0.8937728937728938,0.746177370030581,0.6335540838852097
Age: Adult,13,0.5448622793996372,0.5751633986928104,0.6821705426356589,0.624113475177305,0.5246636771300448
Age: Senior,13,0.5546077000785723,0.6614349775784754,1.0,0.796221322537112,0.6614349775784754
Age: Young,13,0.6218487394957983,0.574585635359116,0.6459627329192547,0.6081871345029239,0.595166163141994
Race: Black,13,0.4118100128369705,0.6985294117647058,1.0,0.8225108225108225,0.6985294117647058
Race: Others,13,0.5458152173913045,0.5897435897435898,1.0,0.7419354838709677,0.5897435897435898
Race: White,13,0.5639963297571993,0.5814696485623003,0.65,0.6138279932546374,0.5703564727954972
Overall,14,0.6424123137167794,0.6357868020304569,0.8593481989708405,0.7308533916849015,0.631
Gender: Female,14,0.5957993220807969,0.6171428571428571,0.7769784172661871,0.6878980891719745,0.5967078189300411
Gender: Male,14,0.7091222841007138,0.6506849315068494,0.9344262295081968,0.7671601615074024,0.6634241245136187
Age: Adult,14,0.5703637447823495,0.5843373493975904,0.751937984496124,0.6576271186440678,0.5409090909090909
Age: Senior,14,0.6198859979773835,0.6621315192743764,1.0,0.7967257844474761,0.6621315192743764
Age: Young,14,0.6550882332426589,0.6187845303867403,0.691358024691358,0.6530612244897959,0.6489675516224189
Race: Black,14,0.39521881627144784,0.7615062761506276,1.0,0.8646080760095012,0.7615062761506276
Race: Others,14,0.5391548749757704,0.6350710900473934,1.0,0.7768115942028986,0.6350710900473934
Race: White,14,0.5771562049205279,0.5473372781065089,0.6928838951310862,0.6115702479338843,0.5727272727272728
Overall,15,0.6523907928388748,0.6254826254826255,0.8452173913043478,0.7189349112426036,0.62
Gender: Female,15,0.6752737900247294,0.6424581005586593,0.7903780068728522,0.7087827426810478,0.6257425742574257
Gender: Male,15,0.6349042120018691,0.6109785202863962,0.9014084507042254,0.7283072546230441,0.6141414141414141
Age: Adult,15,0.5587591966593756,0.5573770491803278,0.723404255319149,0.6296296296296297,0.5161290322580645
Age: Senior,15,0.5973098591549296,0.6377551020408163,1.0,0.778816199376947,0.6377551020408163
Age: Young,15,0.7183948863636365,0.6633663366336634,0.7282608695652174,0.694300518134715,0.6722222222222223
Race: Black,15,0.4524313668224299,0.7697841726618705,1.0,0.8699186991869918,0.7697841726618705
Race: Others,15,0.5845366379310345,0.5918367346938775,1.0,0.7435897435897436,0.5918367346938775
Race: White,15,0.5630328999927373,0.5148514851485149,0.636734693877551,0.5693430656934306,0.5513307984790875
Overall,16,0.5978636043905711,0.6119205298013245,0.8048780487804879,0.6952595936794582,0.595
Gender: Female,16,0.5920972793912658,0.6133720930232558,0.7301038062283737,0.6666666666666666,0.578
Gender: Male,16,0.6091636066911464,0.610705596107056,0.8807017543859649,0.7212643678160919,0.612
Age: Adult,16,0.5785958678773523,0.5898876404494382,0.7046979865771812,0.6422018348623854,0.5338645418326693
Age: Senior,16,0.5577385620915032,0.6296296296296297,1.0,0.7727272727272727,0.6296296296296297
Age: Young,16,0.6030764029749831,0.5930232558139535,0.6,0.5964912280701754,0.5988372093023255
Race: Black,16,0.497364953886693,0.7183673469387755,1.0,0.836104513064133,0.7183673469387755
Race: Others,16,0.51695163654128,0.5637254901960784,1.0,0.7210031347962382,0.5637254901960784
Race: White,16,0.5517245925847793,0.5588235294117647,0.6042402826855123,0.5806451612903226,0.5517241379310345
Overall,17,0.6198041530267443,0.6100131752305665,0.8282647584973166,0.7025796661608498,0.608
Gender: Female,17,0.6240740196366629,0.6123595505617978,0.7465753424657534,0.6728395061728395,0.5961904761904762
