group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5737061970633157,0.607428987618354,0.7527075812274369,0.6723095525997581,0.5809278350515464
Gender: F,0,0.6148444718201417,0.6605890603085554,0.7915966386554621,0.7201834862385321,0.6253838280450358
Gender: M,0,0.5188910547974874,0.55,0.7076023391812866,0.618925831202046,0.5358255451713395
Age: Adult,0,0.5344349018711427,0.5432432432432432,0.7416974169741697,0.6271450858034321,0.5191146881287726
Age: Senior,0,0.5388905043455785,0.6641901931649331,0.8232044198895028,0.7351973684210527,0.6111111111111112
Age: Young,0,0.6284040095789094,0.5636363636363636,0.6326530612244898,0.5961538461538461,0.5902439024390244
Race: black,0,0.5089896979374001,0.727069351230425,0.9312320916905444,0.8165829145728644,0.6958333333333333
Race: others,0,0.5143608363590836,0.6051873198847262,0.8571428571428571,0.7094594594594594,0.5784313725490197
Race: white,0,0.5326363675813287,0.5164075993091537,0.5817120622568094,0.5471180237877402,0.529467680608365
Overall,1,0.5787015725223329,0.6150474799123448,0.7477797513321492,0.6749498997995992,0.5828189300411523
Gender: F,1,0.6038697747014115,0.6648575305291723,0.7980456026058632,0.7253886010362695,0.6282565130260521
Gender: M,1,0.5368123559907833,0.5569620253164557,0.6875,0.6153846153846154,0.5348837209302325
Age: Adult,1,0.5153313195243575,0.5622895622895623,0.7046413502109705,0.6254681647940075,0.5157384987893463
Age: Senior,1,0.5675003735245779,0.6797752808988764,0.8417391304347827,0.7521367521367521,0.6316397228637414
Age: Young,1,0.6134338650262217,0.5305555555555556,0.60828025477707,0.5667655786350149,0.5609022556390978
Race: black,1,0.4301336434957125,0.7256235827664399,0.9195402298850575,0.8111533586818758,0.6856540084388185
Race: others,1,0.4641423473939085,0.6314102564102564,0.8347457627118644,0.718978102189781,0.5826558265582655
Race: white,1,0.5710893200166349,0.5275974025974026,0.5996309963099631,0.5613126079447323,0.5386012715712988
Overall,2,0.5530642725062146,0.6217616580310881,0.7453416149068323,0.6779661016949152,0.5828541557762676
Gender: F,2,0.612337386502416,0.6423017107309487,0.8113948919449901,0.7170138888888888,0.6291240045506257
Gender: M,2,0.4949297516803584,0.6031073446327684,0.6909385113268608,0.6440422322775264,0.5435203094777563
Age: Adult,2,0.5609825373448348,0.5808383233532934,0.7918367346938775,0.6701208981001727,0.5649202733485194
Age: Senior,2,0.48834070341423286,0.6822995461422088,0.7884615384615384,0.7315490673154906,0.6078199052132701
Age: Young,2,0.600498991935484,0.547752808988764,0.6290322580645161,0.5855855855855856,0.5619047619047619
Race: black,2,0.3608508771929824,0.7106299212598425,0.95,0.8130630630630631,0.6867924528301886
Race: others,2,0.5013615912858157,0.6127819548872181,0.7912621359223301,0.690677966101695,0.5562310030395137
Race: white,2,0.5680009224128302,0.5476603119584056,0.5841035120147874,0.5652951699463328,0.538899430740038
Overall,3,0.5966536402528306,0.662589928057554,0.76814011676397,0.7114716106604867,0.6180981595092024
Gender: F,3,0.6228618897435072,0.6955958549222798,0.8338509316770186,0.7584745762711864,0.6679611650485436
Gender: M,3,0.5546732716544037,0.6213592233009708,0.6918918918918919,0.6547314578005116,0.562634989200864
Age: Adult,3,0.6243543388429752,0.6984536082474226,0.8212121212121212,0.754874651810585,0.6521739130434783
Age: Senior,3,0.5017130997607993,0.6591639871382636,0.7961165048543689,0.7211961301671064,0.5992414664981036
Age: Young,3,0.6506761137352969,0.631578947368421,0.6779661016949152,0.6539509536784741,0.6145675265553869
Race: black,3,0.5220313398504889,0.7690631808278867,0.9388297872340425,0.8455089820359282,0.7351129363449692
Race: others,3,0.5770601050877867,0.6705882352941176,0.8941176470588236,0.7663865546218488,0.6593137254901961
Race: white,3,0.5425909922006685,0.5752961082910322,0.5985915492957746,0.5867126833477135,0.5485391140433553
Overall,4,0.5726673315602836,0.6221098265895953,0.7632978723404256,0.6855095541401274,0.5936213991769548
Gender: F,4,0.6087050104291483,0.6340136054421769,0.8396396396396396,0.7224806201550388,0.627471383975026
Gender: M,4,0.5331375303281828,0.6086286594761171,0.6893542757417103,0.646481178396072,0.560528992878942
Age: Adult,4,0.5713811420982736,0.5828402366863905,0.7848605577689243,0.6689303904923599,0.5714285714285714
Age: Senior,4,0.516897193775768,0.6483180428134556,0.8233009708737864,0.7254063301967494,0.6022304832713755
Age: Young,4,0.6184349102209944,0.6122448979591837,0.6629834254143646,0.636604774535809,0.5982404692082112
Race: black,4,0.4615915119363395,0.7489626556016598,0.9575596816976127,0.840512223515716,0.7270916334661355
Race: others,4,0.47701448973209626,0.5491525423728814,0.8950276243093923,0.680672268907563,0.5529411764705883
Race: white,4,0.5576688431605329,0.556836902800659,0.5929824561403508,0.5743415463041631,0.5453720508166969
Overall,5,0.5681198317133324,0.5975702353834472,0.6964601769911505,0.6432366162648141,0.5599798387096774
Gender: F,5,0.6089576508285707,0.6329479768786127,0.7436332767402377,0.6838407494145199,0.6009852216748769
Gender: M,5,0.5146189990844231,0.5584,0.6451016635859519,0.5986277873070326,0.5170278637770898
