group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6282727454179395,0.6851168511685117,0.5027075812274369,0.5799062988027069,0.5840206185567011
Gender: F,0,0.6317831844779797,0.6749482401656315,0.5478991596638656,0.6048237476808905,0.563971340839304
Gender: M,0,0.6449426034221356,0.7,0.4502923976608187,0.5480427046263345,0.6043613707165109
Age: Adult,0,0.5788378016523528,0.6164383561643836,0.4981549815498155,0.5510204081632653,0.5573440643863179
Age: Senior,0,0.6343866110949565,0.811377245508982,0.4990791896869245,0.6180159635119726,0.5954106280193237
Age: Young,0,0.6749475491131032,0.5807692307692308,0.5136054421768708,0.5451263537906137,0.5902439024390244
Race: black,0,0.5484918742754654,0.7270833333333333,1.0,0.841978287092883,0.7270833333333333
Race: others,0,0.5896957556028547,0.621875,0.8122448979591836,0.7044247787610619,0.5906862745098039
Race: white,0,0.5491010082015824,0.6923076923076923,0.017509727626459144,0.03415559772296015,0.5161596958174905
Overall,1,0.6160283496983936,0.7049180327868853,0.49644760213143874,0.5825951016154247,0.5879629629629629
Gender: F,1,0.6195520324375678,0.697286012526096,0.5439739413680782,0.6111619396157365,0.5741482965931863
Gender: M,1,0.6351864019297234,0.7165605095541401,0.439453125,0.5447941888619855,0.6025369978858351
Age: Adult,1,0.5145521672420407,0.6204819277108434,0.4345991561181435,0.511166253101737,0.5230024213075061
Age: Senior,1,0.6100761990138951,0.8111111111111111,0.5078260869565218,0.6245989304812835,0.5946882217090069
Age: Young,1,0.6584825884188942,0.6142322097378277,0.5222929936305732,0.5645438898450946,0.6195488721804512
Race: black,1,0.43377120963327864,0.7341772151898734,1.0,0.8467153284671532,0.7341772151898734
Race: others,1,0.5924875748693768,0.6633333333333333,0.8432203389830508,0.7425373134328358,0.6260162601626016
Race: white,1,0.5197770135125322,0.631578947368421,0.02214022140221402,0.0427807486631016,0.5122615803814714
Overall,2,0.6219285590107269,0.6905055487053021,0.4968944099378882,0.5779153766769866,0.5723993727130162
Gender: F,2,0.6498088461742685,0.6911447084233261,0.6286836935166994,0.6584362139917695,0.6222980659840728
Gender: M,2,0.5879018079412497,0.6896551724137931,0.3883495145631068,0.4968944099378882,0.5299806576402321
Age: Adult,2,0.6690826846202399,0.6633165829145728,0.5387755102040817,0.5945945945945946,0.5899772209567198
Age: Senior,2,0.5813676213492389,0.7492877492877493,0.4597902097902098,0.5698808234019501,0.5296208530805687
Age: Young,2,0.6502167338709678,0.632183908045977,0.532258064516129,0.5779334500875657,0.6174603174603175
Race: black,2,0.4736666666666666,0.7210626185958254,1.0,0.8379272326350606,0.7226415094339622
Race: others,2,0.4813718525534771,0.64453125,0.8009708737864077,0.7142857142857143,0.5987841945288754
Race: white,2,0.62308266044038,0.5357142857142857,0.027726432532347505,0.05272407732864675,0.48861480075901326
Overall,3,0.6344901023860703,0.7253521126760564,0.5154295246038365,0.6026328620185275,0.5833333333333334
Gender: F,3,0.6186681363241399,0.702247191011236,0.5822981366459627,0.6366723259762309,0.5844660194174758
Gender: M,3,0.649666108156674,0.7641509433962265,0.43783783783783786,0.5567010309278351,0.58207343412527
Age: Adult,3,0.6259297520661157,0.7385892116182573,0.5393939393939394,0.6234676007005254,0.575098814229249
Age: Senior,3,0.5909138877163359,0.7538461538461538,0.47572815533980584,0.5833333333333334,0.5575221238938053
Age: Young,3,0.6939751782902659,0.6818181818181818,0.5508474576271186,0.609375,0.6206373292867982
Race: black,3,0.5391987732413265,0.7720739219712526,1.0,0.8713789107763615,0.7720739219712526
Race: others,3,0.6221965910547225,0.6676300578034682,0.9058823529411765,0.7687188019966722,0.6593137254901961
Race: white,3,0.57454896723138,0.5789473684210527,0.01936619718309859,0.03747870528109029,0.46748350612629597
Overall,4,0.6206722161382283,0.6721105527638191,0.47429078014184395,0.5561330561330561,0.5606995884773662
Gender: F,4,0.62137087826743,0.6592292089249493,0.5855855855855856,0.6202290076335878,0.5858480749219563
Gender: M,4,0.6049291278253097,0.693069306930693,0.36649214659685864,0.4794520547945205,0.5361139369277721
Age: Adult,4,0.6204593391141318,0.6307692307692307,0.4900398406374502,0.5515695067264574,0.5604395604395604
Age: Senior,4,0.5792991089240591,0.7170418006430869,0.4330097087378641,0.5399515738498789,0.5291201982651796
Age: Young,4,0.6790573204419889,0.6517241379310345,0.5220994475138122,0.5797546012269938,0.5982404692082112
Race: black,4,0.4941962864721485,0.7555110220440882,1.0,0.860730593607306,0.7569721115537849
Race: others,4,0.5189895409847458,0.5362318840579711,0.8176795580110497,0.6477024070021882,0.5264705882352941
Race: white,4,0.5742926394934705,0.47619047619047616,0.017543859649122806,0.0338409475465313,0.48185117967332125
Overall,5,0.5861204949120226,0.6412315930388219,0.42389380530973453,0.5103889184869472,0.5367943548387096
Gender: F,5,0.6176259594920969,0.6434426229508197,0.533106960950764,0.5831012070566388,0.5576354679802956
Gender: M,5,0.5492684022319346,0.637065637065637,0.3049907578558225,0.4125,0.5149638802889577
Age: Adult,5,0.6170594787910768,0.6280193236714976,0.4744525547445255,0.5405405405405406,0.5774378585086042
Age: Senior,5,0.5605705073943137,0.6910299003322259,0.39097744360902253,0.49939975990396157,0.5
Age: Young,5,0.5931986717190237,0.5899581589958159,0.4351851851851852,0.5008880994671403,0.5518341307814992
Race: black,5,0.5921630094043887,0.6995614035087719,1.0,0.8232258064516129,0.7015250544662309
Race: others,5,0.5938436563436563,0.5467625899280576,0.8351648351648352,0.6608695652173913,0.5642458100558659
Race: white,5,0.5465481882494785,0.6153846153846154,0.012718600953895072,0.024922118380062305,0.46358183376178236
Overall,6,0.6455803438717949,0.7055214723926381,0.522252497729337,0.6002087682672234,0.5912486659551761
Gender: F,6,0.6485076899649765,0.6964980544747081,0.5996649916247906,0.6444644464446445,0.5932028836251287
Gender: M,6,0.6428049289891395,0.7209302325581395,0.4305555555555556,0.5391304347826087,0.5891472868217055
Age: Adult,6,0.6401164063640344,0.6367521367521367,0.6008064516129032,0.6182572614107884,0.6076759061833689
Age: Senior,6,0.6169549851190476,0.7857142857142857,0.501984126984127,0.612590799031477,0.5789473684210527
Age: Young,6,0.696734879578719,0.667953667953668,0.49570200573065903,0.569078947368421,0.5937984496124031
Race: black,6,0.5220352671961233,0.8095238095238095,1.0,0.8947368421052632,0.8106995884773662
Race: others,6,0.5689779703864212,0.5641025641025641,0.8262910798122066,0.6704761904761904,0.5620253164556962
Race: white,6,0.5471457778931653,0.4,0.01609657947686117,0.030947775628626693,0.4954682779456193
Overall,7,0.6221345905362071,0.7224824355971897,0.5111847555923777,0.5987384764677341,0.5821121778676099
Gender: F,7,0.6131737240403222,0.7328519855595668,0.5702247191011236,0.641390205371248,0.5876475930971844
Gender: M,7,0.6467653031621701,0.7033333333333334,0.4262626262626263,0.5308176100628931,0.5751708428246014
