group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5996593089424228,0.6858638743455497,0.4532871972318339,0.5458333333333333,0.564
Gender: Female,0,0.5881151657181118,0.6300813008130082,0.5344827586206896,0.5783582089552238,0.5443548387096774
Gender: Male,0,0.6304414223251029,0.7867647058823529,0.3715277777777778,0.5047169811320755,0.5833333333333334
Age: Adult,0,0.6124554901533319,0.6909090909090909,0.5467625899280576,0.6104417670682731,0.592436974789916
Age: Senior,0,0.5692633294773373,0.7518248175182481,0.40077821011673154,0.5228426395939086,0.5358024691358024
Age: Young,0,0.5871271585557299,0.6148148148148148,0.45604395604395603,0.5236593059936908,0.5770308123249299
Race: Black,0,0.46631613539270456,0.7782608695652173,1.0,0.8753056234718827,0.7782608695652173
Race: Others,0,0.44364982755122745,0.5460526315789473,0.7830188679245284,0.6434108527131783,0.5376884422110553
Race: White,0,0.5254499472094679,0.0,0.0,0.0,0.4868651488616462
Overall,1,0.5921625366308226,0.6777251184834123,0.49912739965095987,0.5748743718592965,0.577
Gender: Female,1,0.5966324373301117,0.6306620209059234,0.6013289036544851,0.6156462585034014,0.5662188099808061
Gender: Male,1,0.597080136402387,0.7777777777777778,0.3860294117647059,0.515970515970516,0.5887265135699373
Age: Adult,1,0.547965830875123,0.6078431372549019,0.4305555555555556,0.5040650406504065,0.5252918287937743
Age: Senior,1,0.5688267338808033,0.7378048780487805,0.4820717131474104,0.5831325301204819,0.5653266331658291
Age: Young,1,0.6313160196461011,0.6602564102564102,0.5786516853932584,0.6167664670658682,0.6289855072463768
Race: Black,1,0.46197027197975965,0.7322834645669292,1.0,0.8454545454545455,0.7322834645669292
Race: Others,1,0.506555023923445,0.5952380952380952,0.9090909090909091,0.7194244604316546,0.6195121951219512
Race: White,1,0.5337422054479816,0.0,0.0,0.0,0.4879852125693161
Overall,2,0.5887246698255872,0.6143790849673203,0.5174311926605505,0.5617529880478087,0.56
Gender: Female,2,0.6014397696368582,0.5838926174496645,0.6541353383458647,0.6170212765957447,0.5688622754491018
Gender: Male,2,0.5890192245030955,0.6708074534161491,0.3870967741935484,0.4909090909090909,0.5511022044088176
Age: Adult,2,0.542081381733021,0.5564516129032258,0.5655737704918032,0.5609756097560976,0.5384615384615384
Age: Senior,2,0.5762139423076924,0.7094972067039106,0.48846153846153845,0.5785876993166287,0.5595238095238095
Age: Young,2,0.6172349056287505,0.5512820512820513,0.5276073619631901,0.5391849529780565,0.5751445086705202
Race: Black,2,0.41887108792846495,0.6752767527675276,1.0,0.8061674008810573,0.6752767527675276
Race: Others,2,0.4614770914064281,0.526595744680851,0.8048780487804879,0.6366559485530546,0.508695652173913
Race: White,2,0.5678467975539105,0.0,0.0,0.0,0.5210420841683366
