iter	Logloss
0	0.6914738799
1	0.689891719
2	0.6885940864
3	0.6875594218
4	0.6864245545
5	0.6856612157
6	0.6846482392
7	0.6838814607
8	0.683101702
9	0.6825601588
10	0.6818537659
11	0.681217448
12	0.6806903868
13	0.6802459846
14	0.6799050855
15	0.679597198
16	0.6791846174
17	0.6788837456
18	0.6786093847
19	0.6782943931
20	0.6780124854
21	0.6777932
22	0.6776275514
23	0.6774792591
24	0.6772761596
25	0.6770948623
26	0.6769304586
27	0.6768440607
28	0.6767053841
29	0.6766293427
30	0.6765584491
31	0.6764472682
32	0.6764048587
33	0.67634661
34	0.6762892659
35	0.67625539
36	0.6762062516
37	0.6761300599
38	0.676078339
39	0.6760355724
40	0.6760068654
41	0.675987499
42	0.6759545986
43	0.6759332878
44	0.675898907
45	0.6758775808
46	0.6758472805
47	0.6758372473
48	0.6757973887
49	0.6757882124
50	0.6757703027
51	0.6757519822
52	0.6757387455
53	0.6757287493
54	0.6757153871
55	0.6757081614
56	0.6757050585
57	0.6757046048
58	0.6756994616
59	0.6756933554
60	0.6756775766
61	0.6756759216
62	0.6756670491
63	0.675666438
64	0.6756432906
65	0.6756420082
66	0.6756369327
67	0.6756158769
68	0.6756061892
69	0.6755967271
70	0.6755965351
71	0.67558924
72	0.6755750883
73	0.675569323
74	0.675566177
75	0.675566186
76	0.6755626696
77	0.6755605599
78	0.6755585913
79	0.6755567919
80	0.6755518738
81	0.6755483321
82	0.675547964
83	0.6755454791
84	0.6755432266
85	0.6755397219
86	0.6755373494
87	0.6755343996
88	0.6755326079
89	0.6755219983
90	0.6755237304
91	0.6755196368
92	0.675518909
93	0.6755109709
94	0.6755039522
95	0.6754987453
96	0.6754987053
97	0.6754987617
98	0.6754911003
99	0.67548933
100	0.6754883321
101	0.6754889198
102	0.6754866667
103	0.6754887679
104	0.6754867749
105	0.6754864705
106	0.6754818073
107	0.6754804988
108	0.6754805803
109	0.6754793691
110	0.675480449
111	0.6754778933
112	0.6754767563
113	0.6754766768
114	0.6754766623
115	0.6754748121
116	0.6754752197
117	0.6754759452
118	0.6754731414
119	0.6754700216
120	0.6754691819
121	0.6754681154
122	0.6754690471
123	0.675467332
124	0.6754669286
125	0.675467777
126	0.6754681229
127	0.6754673205
128	0.6754665416
129	0.6754634722
130	0.6754624466
131	0.6754632698
132	0.6754625058
133	0.675459909
134	0.6754597116
135	0.6754597133
136	0.6754587724
137	0.6754575891
138	0.6754559369
139	0.6754559369
140	0.6754556344
141	0.6754548211
142	0.6754549457
143	0.6754566594
144	0.675455074
145	0.6754541075
146	0.6754528428
147	0.6754535679
148	0.6754534538
149	0.6754530166
150	0.6754511802
151	0.6754503805
152	0.6754502406
153	0.6754512988
154	0.6754520315
155	0.675450884
156	0.6754511243
157	0.6754514865
158	0.6754492971
159	0.6754487818
160	0.6754489391
161	0.6754478882
162	0.6754476464
163	0.6754473185
164	0.67544738
165	0.6754460667
166	0.6754465092
167	0.6754472912
168	0.6754461249
169	0.6754464854
170	0.6754449288
171	0.6754449288
172	0.6754442687
173	0.6754440978
174	0.6754454225
175	0.6754451472
176	0.6754448008
177	0.6754433828
178	0.6754433828
179	0.6754433828
180	0.6754433828
181	0.6754433828
182	0.6754432828
183	0.6754439659
184	0.6754436111
185	0.6754430926
186	0.6754435083
187	0.6754425979
188	0.6754428061
189	0.6754428157
190	0.6754437124
191	0.6754417308
192	0.6754427394
193	0.6754432423
194	0.675442714
195	0.675442833
196	0.6754421209
197	0.6754418295
198	0.6754431498
199	0.6754421766
200	0.6754413037
201	0.6754413037
202	0.6754413037
203	0.6754413037
204	0.6754416013
205	0.6754415977
206	0.6754417716
207	0.6754408934
208	0.6754411002
209	0.675441174
210	0.675440936
211	0.675440936
212	0.6754399852
213	0.6754402427
214	0.6754410829
215	0.675440197
216	0.6754406125
217	0.6754397272
218	0.6754399412
219	0.6754400503
220	0.6754394589
221	0.6754388986
222	0.6754389426
223	0.6754387867
224	0.6754382889
225	0.6754372879
226	0.6754370681
227	0.6754373939
228	0.6754371151
229	0.6754371305
230	0.6754371305
231	0.6754370456
232	0.6754368282
233	0.6754371025
234	0.675437464
235	0.6754379139
236	0.675435802
237	0.675435802
238	0.675435802
239	0.675435802
240	0.675435802
241	0.675435802
242	0.6754358561
243	0.6754358561
244	0.6754358561
245	0.6754358561
246	0.6754358561
247	0.6754358561
248	0.6754358959
249	0.675435562
250	0.675435562
251	0.675435562
252	0.675435562
253	0.675435562
254	0.675435562
255	0.675435562
256	0.675435562
257	0.675435562
258	0.675435562
259	0.675435562
260	0.675435562
261	0.675435562
262	0.675435562
263	0.675435562
264	0.675435562
265	0.675435562
266	0.675435562
267	0.675435562
268	0.675435562
269	0.675435562
270	0.675435562
271	0.675435562
272	0.675435562
273	0.675435562
274	0.675435562
275	0.675435562
276	0.675435562
277	0.675435562
278	0.675435562
279	0.675435562
280	0.675435562
281	0.675435562
282	0.675435562
283	0.675435562
284	0.675435562
285	0.675435562
286	0.675435562
287	0.675435562
288	0.675435562
289	0.675435562
290	0.675435562
291	0.675435562
292	0.675435562
293	0.675435562
294	0.675435562
295	0.675435562
296	0.675435562
297	0.675435562
298	0.675435562
299	0.675435562
300	0.675435562
301	0.675435562
302	0.675435562
303	0.675435562
304	0.675435562
305	0.675435562
306	0.675435562
307	0.675435562
308	0.675435562
309	0.675435562
310	0.675435562
311	0.675435562
312	0.675435562
313	0.675435562
314	0.675435562
315	0.675435562
316	0.675435562
317	0.675435562
318	0.675435562
319	0.675435562
320	0.675435562
321	0.675435562
322	0.675435562
323	0.675435562
324	0.675435562
325	0.675435562
326	0.675435562
327	0.675435562
328	0.675435562
329	0.675435562
330	0.675435562
331	0.675435562
332	0.675435562
333	0.675435562
334	0.675435562
335	0.675435562
336	0.675435562
337	0.675435562
338	0.675435562
339	0.675435562
340	0.675435562
341	0.675435562
342	0.675435562
343	0.675435562
344	0.675435562
345	0.675435562
346	0.675435562
347	0.675435562
348	0.675435562
349	0.675435562
350	0.675435562
351	0.675435562
352	0.675435562
353	0.675435562
354	0.675435562
355	0.675435562
356	0.675435562
357	0.675435562
358	0.675435562
359	0.675435562
360	0.675435562
361	0.675435562
362	0.675435562
363	0.675435562
364	0.675435562
365	0.675435562
366	0.675435562
367	0.675435562
368	0.675435562
369	0.675435562
370	0.675435562
371	0.675435562
372	0.675435562
373	0.675435562
374	0.675435562
375	0.675435562
376	0.675435562
377	0.675435562
378	0.675435562
379	0.675435562
380	0.675435562
381	0.675435562
382	0.675435562
383	0.675435562
384	0.675435562
385	0.675435562
386	0.675435562
387	0.675435562
388	0.675435562
389	0.675435562
390	0.675435562
391	0.675435562
392	0.675435562
393	0.675435562
394	0.675435562
395	0.675435562
396	0.675435562
397	0.675435562
398	0.675435562
399	0.675435562
400	0.675435562
401	0.675435562
402	0.675435562
403	0.675435562
404	0.675435562
405	0.675435562
406	0.675435562
407	0.675435562
408	0.675435562
409	0.675435562
410	0.675435562
411	0.675435562
412	0.675435562
413	0.675435562
414	0.675435562
415	0.675435562
416	0.675435562
417	0.675435562
418	0.675435562
419	0.675435562
420	0.675435562
421	0.675435562
422	0.675435562
423	0.675435562
424	0.675435562
425	0.675435562
426	0.675435562
427	0.675435562
428	0.675435562
429	0.675435562
430	0.675435562
431	0.675435562
432	0.675435562
433	0.675435562
434	0.675435562
435	0.675435562
436	0.675435562
437	0.675435562
438	0.675435562
439	0.675435562
440	0.675435562
441	0.675435562
442	0.675435562
443	0.675435562
444	0.675435562
445	0.675435562
446	0.675435562
447	0.675435562
448	0.675435562
449	0.675435562
450	0.675435562
451	0.675435562
452	0.675435562
