iter	Passed	Remaining
0	92	46329
1	96	24071
2	102	16937
3	104	12914
4	111	11044
5	113	9349
6	118	8352
7	124	7671
8	143	7835
9	152	7465
10	159	7107
11	166	6784
12	173	6503
13	176	6137
14	187	6055
15	192	5831
16	198	5647
17	203	5457
18	217	5501
19	233	5608
20	236	5399
21	238	5190
22	243	5044
23	245	4862
24	249	4744
25	253	4614
26	257	4503
27	265	4470
28	270	4391
29	275	4310
30	280	4236
31	285	4172
32	289	4096
33	294	4030
34	298	3964
35	301	3888
36	304	3815
37	307	3740
38	310	3665
39	312	3595
40	314	3523
41	316	3454
42	318	3388
43	320	3322
44	322	3263
45	324	3203
46	326	3148
47	328	3092
48	330	3044
49	332	2995
50	334	2948
51	336	2902
52	338	2858
53	340	2814
54	342	2772
55	344	2730
56	346	2691
57	347	2651
58	349	2613
59	351	2578
60	354	2549
61	356	2517
62	358	2485
63	360	2453
64	362	2426
65	364	2395
66	366	2366
67	368	2340
68	370	2315
69	373	2293
70	375	2268
71	377	2244
72	379	2222
73	381	2197
74	383	2174
75	385	2152
76	387	2131
77	389	2109
78	395	2108
79	399	2097
80	403	2086
81	407	2075
82	415	2088
83	421	2085
84	427	2089
85	434	2094
86	442	2099
87	447	2095
88	451	2082
89	460	2097
90	465	2092
91	470	2085
92	472	2066
93	475	2052
94	481	2052
95	486	2046
96	492	2044
97	494	2030
98	509	2065
99	514	2057
100	517	2044
101	523	2041
102	527	2032
103	529	2014
104	531	1997
105	534	1986
106	543	1994
107	552	2004
108	555	1992
109	557	1976
110	577	2022
111	582	2019
112	587	2013
113	592	2004
114	595	1992
115	598	1980
116	602	1971
117	606	1963
118	611	1956
119	614	1947
120	619	1939
121	625	1938
122	631	1934
123	634	1923
124	643	1929
125	647	1922
126	653	1920
127	660	1919
128	667	1918
129	673	1917
130	679	1915
131	684	1907
132	689	1901
133	691	1888
134	698	1889
135	700	1876
136	713	1890
137	715	1876
138	717	1862
139	719	1848
140	721	1836
141	732	1847
142	746	1863
143	750	1855
144	753	1844
145	757	1836
146	759	1823
147	767	1824
148	774	1824
149	778	1816
150	787	1820
151	794	1817
152	797	1808
153	805	1809
154	809	1801
155	815	1799
156	818	1788
157	821	1777
158	829	1779
159	832	1770
160	834	1757
161	838	1750
162	848	1754
163	851	1744
164	858	1742
165	866	1742
166	872	1740
167	875	1730
168	889	1742
169	891	1730
170	893	1718
171	894	1706
172	896	1695
173	898	1683
174	900	1671
175	902	1660
176	903	1649
177	905	1637
178	907	1627
179	909	1616
180	911	1605
181	912	1594
182	914	1583
183	920	1581
184	925	1575
185	934	1577
186	939	1572
187	944	1566
188	946	1557
189	950	1550
190	953	1542
191	957	1536
192	961	1529
193	966	1524
194	974	1524
195	980	1520
196	984	1514
197	993	1515
198	998	1510
199	1003	1505
200	1009	1501
201	1016	1499
202	1021	1494
203	1025	1488
204	1029	1481
205	1034	1475
206	1036	1466
207	1042	1464
208	1047	1459
209	1054	1455
210	1058	1450
211	1066	1448
212	1074	1447
213	1076	1438
214	1085	1438
215	1089	1432
216	1096	1429
217	1098	1421
218	1101	1413
219	1106	1408
220	1108	1399
221	1110	1390
222	1117	1388
223	1123	1384
224	1128	1379
225	1131	1371
226	1137	1367
227	1141	1362
228	1146	1357
229	1148	1348
230	1150	1339
231	1158	1337
232	1162	1332
233	1164	1324
234	1172	1322
235	1174	1314
236	1181	1311
237	1185	1305
238	1190	1300
239	1197	1297
240	1203	1292
241	1210	1290
242	1215	1285
243	1223	1283
244	1229	1279
245	1243	1283
246	1246	1276
247	1252	1272
248	1256	1266
249	1259	1259
250	1263	1253
251	1271	1250
252	1278	1247
253	1282	1242
254	1286	1235
255	1295	1234
256	1299	1229
257	1307	1226
258	1314	1223
259	1321	1219
260	1324	1213
261	1328	1207
262	1332	1200
263	1334	1192
264	1340	1188
265	1344	1182
266	1348	1176
267	1352	1170
268	1356	1164
269	1361	1159
270	1367	1155
271	1375	1152
272	1377	1144
273	1378	1137
274	1380	1129
275	1382	1122
276	1385	1115
277	1387	1108
278	1389	1100
279	1391	1093
280	1393	1086
281	1395	1078
282	1397	1071
283	1399	1064
284	1401	1057
285	1403	1049
286	1404	1042
287	1406	1035
288	1408	1028
289	1410	1021
290	1412	1014
291	1414	1007
292	1422	1004
293	1429	1001
294	1431	995
295	1435	989
296	1440	984
297	1444	979
298	1452	976
299	1460	973
300	1465	968
301	1475	967
302	1482	963
303	1494	963
304	1499	958
305	1504	953
306	1506	946
307	1515	944
308	1517	938
309	1529	937
310	1535	933
311	1542	929
312	1548	925
313	1550	918
314	1559	915
315	1565	911
316	1577	910
317	1580	904
318	1584	899
319	1589	894
320	1597	890
321	1600	884
322	1604	879
323	1607	873
324	1613	868
325	1616	862
326	1618	856
327	1625	852
328	1628	846
329	1633	841
330	1637	836
331	1641	830
332	1645	825
333	1648	819
334	1650	813
335	1653	806
336	1657	801
337	1660	796
338	1663	789
339	1676	788
340	1679	783
341	1685	778
342	1692	774
343	1709	775
344	1712	769
345	1716	763
346	1721	758
347	1723	752
348	1726	747
349	1728	740
350	1745	741
351	1747	734
352	1753	730
353	1759	725
354	1774	724
355	1779	719
356	1782	714
357	1787	708
358	1801	707
359	1807	702
360	1811	697
361	1817	692
362	1822	687
363	1826	682
364	1830	677
365	1834	671
366	1838	666
367	1845	661
368	1851	657
369	1854	651
370	1856	645
371	1860	640
372	1864	634
373	1868	629
374	1873	624
375	1880	620
376	1907	622
377	1914	617
378	1919	612
379	1929	609
380	1935	604
381	1942	599
382	1950	595
383	1954	590
384	1959	585
385	1962	579
386	1969	574
387	1973	569
388	1975	563
389	1996	563
390	2000	557
391	2008	553
392	2012	547
393	2021	543
394	2027	538
395	2034	534
396	2040	529
397	2046	524
398	2053	519
399	2067	516
400	2069	511
401	2073	505
402	2080	500
403	2087	496
404	2106	494
405	2108	488
406	2110	482
407	2112	476
408	2115	470
409	2121	465
410	2127	460
411	2131	455
412	2133	449
413	2135	443
414	2137	437
415	2139	431
416	2142	426
417	2150	421
418	2160	417
419	2163	412
420	2165	406
421	2168	400
422	2173	395
423	2176	390
424	2178	384
425	2180	378
426	2181	373
427	2183	367
428	2185	361
429	2187	356
430	2188	350
431	2190	344
432	2192	339
433	2194	333
434	2195	328
435	2197	322
436	2199	317
437	2201	311
438	2202	306
439	2204	300
440	2206	295
441	2208	289
442	2209	284
443	2211	278
444	2213	273
445	2215	268
446	2220	263
447	2223	258
448	2225	252
449	2228	247
450	2231	242
451	2234	237
452	2239	232
453	2243	227
454	2247	222
455	2251	217
456	2253	212
457	2257	206
458	2271	202
459	2276	197
460	2283	193
461	2286	188
462	2295	183
463	2301	178
464	2311	174
465	2324	169
466	2326	164
467	2333	159
468	2335	154
469	2340	149
470	2343	144
471	2345	139
472	2361	134
473	2365	129
474	2369	124
475	2374	119
476	2378	114
477	2380	109
478	2386	104
479	2388	99
480	2391	94
481	2396	89
482	2404	84
483	2411	79
484	2419	74
485	2421	69
486	2431	64
487	2437	59
488	2445	55
489	2452	50
490	2461	45
491	2466	40
492	2471	35
493	2476	30
494	2478	25
495	2494	20
496	2498	15
497	2505	10
498	2510	5
499	2514	0
